# t[days] u g r i z y J H K
0.20202 -11.285 -12.210 -12.891 -12.735 -13.193 -13.140 -12.503 -12.272 -11.654 
0.40404 -13.101 -13.598 -13.995 -14.286 -13.858 -13.746 -13.608 -12.448 -12.356 
0.60606 -13.012 -13.955 -14.420 -14.551 -14.638 -14.521 -14.162 -13.590 -13.239 
0.80808 -12.307 -13.700 -14.440 -14.727 -15.013 -14.832 -14.538 -14.347 -13.824 
1.01010 -11.739 -13.392 -14.199 -14.678 -14.989 -14.853 -14.726 -14.416 -14.087 
1.21212 -11.228 -12.903 -14.080 -14.745 -15.024 -14.984 -14.727 -14.557 -14.255 
1.41414 -10.576 -12.574 -13.710 -14.498 -15.033 -15.078 -14.706 -14.572 -14.431 
1.61616 -10.121 -12.135 -13.504 -14.289 -14.686 -14.858 -14.691 -14.539 -14.212 
1.81818 -9.926 -11.868 -13.191 -14.087 -14.546 -14.673 -14.566 -14.387 -14.174 
2.02020 -9.602 -11.472 -12.910 -13.948 -14.323 -14.452 -14.367 -14.204 -14.147 
2.22222 -9.325 -11.213 -12.769 -13.712 -14.194 -14.359 -14.184 -14.130 -13.971 
2.42424 -8.955 -10.971 -12.511 -13.508 -14.044 -14.110 -14.098 -14.021 -13.891 
2.62626 -8.822 -10.710 -12.266 -13.254 -13.864 -13.847 -13.892 -13.899 -13.815 
2.82828 -8.661 -10.543 -12.080 -13.134 -13.659 -13.762 -13.742 -13.692 -13.721 
3.03030 -8.327 -10.428 -11.943 -12.877 -13.413 -13.563 -13.532 -13.464 -13.433 
3.23232 -7.990 -10.145 -11.838 -12.719 -13.303 -13.396 -13.354 -13.372 -13.276 
3.43434 -7.713 -10.111 -11.586 -12.615 -13.101 -13.222 -13.202 -13.140 -13.223 
3.63636 -7.406 -9.807 -11.423 -12.413 -12.971 -13.032 -12.967 -13.101 -13.025 
3.83838 -7.252 -9.770 -11.272 -12.328 -12.800 -12.873 -12.858 -12.943 -12.876 
4.04040 -7.136 -9.576 -11.207 -12.174 -12.637 -12.757 -12.748 -12.737 -12.756 
4.24242 -6.560 -9.357 -11.033 -11.965 -12.544 -12.611 -12.678 -12.628 -12.684 
4.44444 -6.391 -9.146 -10.834 -11.889 -12.391 -12.530 -12.485 -12.578 -12.463 
4.64646 -6.271 -9.007 -10.754 -11.767 -12.271 -12.377 -12.364 -12.373 -12.405 
4.84848 -5.925 -8.927 -10.665 -11.658 -12.150 -12.242 -12.342 -12.258 -12.312 
5.05051 -5.758 -8.805 -10.552 -11.564 -12.059 -12.211 -12.215 -12.282 -12.283 
5.25253 -5.475 -8.549 -10.385 -11.443 -11.934 -12.062 -12.170 -12.062 -12.256 
5.45455 -5.204 -8.424 -10.217 -11.313 -11.841 -11.972 -12.033 -12.069 -12.102 
5.65657 -4.967 -8.175 -10.130 -11.294 -11.792 -11.907 -12.042 -12.046 -12.068 
5.85859 -4.534 -8.112 -10.009 -11.194 -11.657 -11.867 -11.947 -11.966 -11.980 
