# t[days] u g r i z y J H K
0.20202 -11.951 -12.357 -12.295 -12.697 -11.216 -11.889 -8.922 -9.947 -7.220 
0.40404 -13.869 -14.815 -14.978 -14.687 -14.280 -13.856 -13.440 -13.350 -13.342 
0.60606 -14.741 -15.623 -15.841 -15.586 -15.414 -15.102 -13.991 -13.960 -13.283 
0.80808 -14.804 -15.935 -16.208 -15.914 -15.326 -15.078 -15.044 -14.384 -13.861 
1.01010 -14.610 -15.951 -16.355 -16.178 -15.804 -15.564 -15.226 -14.819 -14.528 
1.21212 -14.320 -15.819 -16.363 -16.102 -15.872 -15.770 -15.566 -15.079 -14.562 
1.41414 -13.720 -15.596 -16.167 -16.000 -15.772 -15.785 -15.334 -15.307 -14.982 
1.61616 -13.247 -15.263 -15.916 -15.898 -15.680 -15.723 -15.261 -15.316 -14.704 
1.81818 -12.720 -14.958 -15.566 -15.559 -15.537 -15.576 -15.333 -15.120 -14.710 
2.02020 -12.304 -14.541 -15.197 -15.353 -15.410 -15.347 -15.224 -14.904 -14.649 
2.22222 -11.997 -14.154 -14.867 -15.017 -15.031 -15.256 -14.998 -14.778 -14.459 
2.42424 -11.358 -13.815 -14.599 -14.818 -15.047 -14.990 -14.873 -14.691 -14.717 
2.62626 -10.969 -13.463 -14.336 -14.590 -14.740 -14.906 -14.756 -14.532 -14.442 
2.82828 -10.663 -13.128 -14.156 -14.437 -14.657 -14.709 -14.676 -14.450 -14.245 
3.03030 -10.287 -12.816 -13.771 -14.340 -14.530 -14.605 -14.491 -14.520 -14.343 
3.23232 -10.120 -12.721 -13.578 -14.098 -14.417 -14.492 -14.376 -14.364 -14.234 
3.43434 -9.991 -12.308 -13.425 -13.901 -14.260 -14.369 -14.348 -14.221 -14.288 
3.63636 -9.767 -12.022 -13.230 -13.762 -14.139 -14.259 -14.244 -14.174 -14.077 
3.83838 -9.179 -11.707 -12.917 -13.613 -14.025 -14.165 -14.127 -14.087 -14.052 
4.04040 -8.992 -11.604 -12.844 -13.439 -13.896 -13.971 -14.102 -14.065 -13.955 
4.24242 -8.988 -11.501 -12.607 -13.405 -13.725 -13.964 -13.929 -13.919 -13.929 
