# t[days] u g r i z y J H K
0.20202 -10.415 -12.094 -13.124 -12.485 -12.356 -12.366 -11.055 -7.173 nan 
0.40404 -13.414 -13.772 -14.087 -13.696 -14.387 -14.271 -12.451 -13.595 -1.641 
0.60606 -11.914 -13.765 -14.178 -14.585 -14.163 -13.497 -14.184 -14.004 -14.290 
0.80808 -12.010 -13.786 -14.474 -14.226 -14.453 -14.263 -14.571 -13.176 -14.243 
1.01010 -12.479 -12.925 -14.097 -14.246 -14.726 -13.989 -14.588 -13.813 -13.665 
1.21212 -10.113 -13.293 -13.966 -13.869 -14.172 -14.752 -14.011 -14.308 -14.447 
1.41414 -8.840 -12.556 -14.161 -14.685 -15.155 -14.957 -14.808 -15.258 -14.790 
1.61616 -9.757 -13.015 -14.339 -15.484 -15.691 -15.830 -15.472 -15.331 -15.312 
1.81818 -10.833 -12.972 -14.695 -15.545 -16.028 -16.140 -16.042 -16.161 -16.004 
2.02020 -11.395 -13.275 -14.791 -15.661 -15.988 -16.163 -16.148 -15.944 -16.024 
2.22222 -11.461 -13.358 -14.686 -15.667 -16.081 -16.200 -16.042 -16.153 -15.979 
2.42424 -11.683 -13.183 -14.801 -15.745 -16.089 -16.143 -16.197 -16.199 -16.213 
2.62626 -11.833 -13.234 -14.591 -15.505 -16.042 -16.176 -16.115 -16.101 -15.962 
2.82828 -11.740 -13.007 -14.419 -15.354 -15.855 -16.010 -16.081 -15.971 -15.978 
3.03030 -11.666 -12.954 -14.152 -15.104 -15.752 -16.055 -15.873 -15.887 -15.933 
3.23232 -11.593 -12.955 -14.131 -15.055 -15.735 -15.860 -15.791 -15.786 -15.831 
3.43434 -11.662 -12.873 -14.080 -14.931 -15.436 -15.816 -15.698 -15.615 -15.628 
3.63636 -11.483 -12.589 -13.814 -14.754 -15.436 -15.590 -15.525 -15.477 -15.578 
3.83838 -11.499 -12.535 -13.784 -14.601 -15.193 -15.478 -15.423 -15.339 -15.435 
4.04040 -11.426 -12.723 -13.658 -14.406 -15.063 -15.393 -15.230 -15.273 -15.202 
4.24242 -11.451 -12.660 -13.720 -14.451 -15.246 -15.376 -15.184 -15.265 -15.053 
4.44444 -11.319 -12.509 -13.545 -14.438 -14.932 -15.168 -15.136 -15.148 -15.073 
4.64646 -11.133 -12.529 -13.566 -14.363 -14.939 -15.149 -15.053 -14.924 -14.972 
4.84848 -11.101 -12.519 -13.434 -14.321 -14.794 -15.096 -15.027 -14.912 -14.956 
5.05051 -10.718 -12.148 -13.242 -14.222 -14.755 -14.958 -14.969 -14.746 -14.689 
5.25253 -10.828 -12.358 -13.357 -14.153 -14.696 -15.001 -14.817 -14.809 -14.611 
5.45455 -10.469 -12.148 -13.299 -14.044 -14.511 -14.856 -14.770 -14.647 -14.293 
5.65657 -10.481 -12.049 -13.119 -13.908 -14.523 -14.711 -14.682 -14.599 -14.703 
5.85859 -9.975 -11.823 -13.022 -13.879 -14.419 -14.794 -14.634 -14.538 -14.374 
6.06061 -9.979 -11.812 -13.008 -13.724 -14.376 -14.657 -14.591 -14.543 -14.302 
6.26263 -9.739 -11.706 -12.834 -13.663 -14.247 -14.635 -14.606 -14.338 -14.297 
6.46465 -9.910 -11.686 -12.753 -13.554 -14.211 -14.465 -14.424 -14.252 -14.177 
6.66667 -9.588 -11.261 -12.622 -13.393 -14.019 -14.394 -14.356 -14.196 -14.140 
6.86869 -9.193 -11.138 -12.421 -13.379 -13.916 -14.285 -14.333 -14.134 -13.996 
7.07071 -9.117 -11.122 -12.398 -13.283 -13.830 -14.177 -14.169 -14.098 -13.887 
7.27273 -8.848 -11.128 -12.301 -13.291 -13.819 -14.087 -14.213 -14.111 -13.889 
7.47475 -8.520 -10.907 -12.201 -13.107 -13.809 -14.036 -14.123 -13.943 -13.742 
7.67677 -8.463 -10.710 -12.024 -13.026 -13.613 -13.962 -13.967 -13.951 -13.834 
7.87879 -8.645 -10.681 -12.104 -13.106 -13.623 -14.034 -14.015 -14.042 -13.781 
8.08081 -8.231 -10.562 -11.938 -13.041 -13.591 -13.847 -13.989 -13.774 -13.775 
8.28283 -8.524 -10.341 -11.708 -12.880 -13.463 -13.842 -13.980 -13.845 -13.552 
8.48485 -7.653 -10.225 -11.619 -12.880 -13.496 -13.715 -13.858 -13.769 -13.442 
8.68687 -7.555 -10.137 -11.552 -12.695 -13.363 -13.700 -13.693 -13.682 -13.565 
8.88889 -7.434 -9.820 -11.610 -12.624 -13.309 -13.567 -13.731 -13.691 -13.514 
9.09091 -7.399 -9.613 -11.238 -12.420 -13.204 -13.505 -13.651 -13.584 -13.362 
9.29293 -6.863 -9.747 -11.246 -12.366 -13.060 -13.486 -13.641 -13.622 -13.517 
9.49495 -6.866 -9.326 -11.112 -12.265 -13.021 -13.410 -13.613 -13.585 -13.425 
9.69697 -6.602 -9.619 -11.120 -12.294 -13.003 -13.370 -13.496 -13.501 -13.467 
9.89899 -6.285 -9.224 -10.843 -12.027 -12.811 -13.172 -13.425 -13.434 -13.312 
10.10101 -6.063 -9.007 -10.856 -12.059 -12.939 -13.303 -13.457 -13.423 -13.215 
10.30303 -6.154 -8.805 -10.743 -11.927 -12.788 -13.101 -13.302 -13.344 -13.273 
10.50505 -5.857 -8.766 -10.641 -11.855 -12.608 -13.110 -13.340 -13.309 -13.195 
10.70707 -5.771 -8.574 -10.548 -11.927 -12.629 -12.988 -13.254 -13.323 -13.197 
10.90909 -5.827 -8.419 -10.406 -11.696 -12.579 -12.920 -13.198 -13.377 -13.123 
11.11111 -5.490 -8.334 -10.392 -11.759 -12.403 -12.877 -13.145 -13.263 -13.154 
11.31313 -5.952 -8.272 -10.241 -11.485 -12.342 -12.755 -13.120 -13.277 -13.060 
11.51515 -4.838 -7.986 -10.092 -11.433 -12.308 -12.676 -13.065 -13.211 -12.947 
11.71717 -4.838 -7.947 -9.955 -11.298 -12.131 -12.611 -12.997 -13.075 -13.065 
11.91919 -4.705 -7.780 -9.806 -11.220 -12.159 -12.536 -12.960 -13.109 -13.022 
12.12121 -4.304 -7.932 -9.853 -11.184 -12.045 -12.517 -12.887 -13.060 -12.941 
12.32323 -4.445 -7.500 -9.655 -11.059 -11.977 -12.452 -12.873 -12.968 -13.086 
12.52525 -4.574 -7.265 -9.547 -10.979 -11.920 -12.372 -12.861 -13.003 -12.950 
12.72727 -4.050 -7.224 -9.490 -10.986 -11.849 -12.318 -12.765 -12.919 -12.919 
12.92929 -3.849 -7.021 -9.446 -10.963 -11.833 -12.272 -12.740 -12.933 -12.866 
13.13131 -3.530 -6.918 -9.226 -10.729 -11.775 -12.260 -12.650 -12.866 -12.888 
13.33333 -3.630 -6.669 -9.101 -10.772 -11.692 -12.242 -12.650 -12.789 -12.924 
13.53535 -3.506 -6.586 -9.042 -10.648 -11.538 -12.192 -12.586 -12.856 -12.847 
13.73737 -3.107 -6.471 -9.009 -10.614 -11.592 -12.075 -12.565 -12.791 -12.868 
13.93939 -3.196 -6.749 -8.951 -10.578 -11.440 -12.030 -12.485 -12.765 -12.757 
14.14141 -3.525 -6.233 -8.900 -10.432 -11.467 -11.946 -12.452 -12.701 -12.707 
14.34343 -2.702 -6.820 -8.710 -10.338 -11.400 -11.958 -12.426 -12.684 -12.763 
14.54545 -2.809 -6.189 -8.510 -10.297 -11.322 -11.875 -12.395 -12.760 -12.671 
14.74747 -2.374 -5.809 -8.448 -10.272 -11.322 -11.795 -12.364 -12.651 -12.680 
