# t[days] u g r i z y J H K
0.20202 -11.697 -12.387 -13.029 -12.479 -9.903 -12.560 -11.194 -13.199 -2.061 
0.40404 -13.051 -14.127 -13.910 -13.977 -14.021 -13.893 -13.303 -13.181 -11.769 
0.60606 -13.091 -14.313 -14.881 -14.717 -14.678 -14.781 -13.185 -14.217 -12.501 
0.80808 -12.643 -13.961 -14.626 -14.972 -14.614 -14.230 -14.723 -14.367 -13.588 
1.01010 -12.368 -13.967 -14.597 -14.943 -14.761 -14.921 -15.040 -14.698 -14.400 
1.21212 -11.502 -13.406 -14.620 -15.087 -15.087 -15.381 -14.942 -14.881 -14.789 
1.41414 -12.349 -13.817 -14.829 -15.257 -15.856 -15.714 -15.464 -15.497 -15.177 
1.61616 -12.055 -13.934 -14.844 -15.369 -15.738 -15.912 -15.714 -15.691 -15.398 
1.81818 -11.631 -13.439 -14.558 -15.316 -15.873 -15.819 -15.807 -15.716 -15.361 
2.02020 -12.019 -13.393 -14.492 -15.273 -15.763 -15.847 -15.772 -15.708 -15.558 
2.22222 -11.904 -13.217 -14.358 -15.278 -15.731 -15.932 -15.730 -15.709 -15.496 
2.42424 -11.535 -13.042 -14.205 -15.092 -15.591 -15.756 -15.808 -15.671 -15.567 
2.62626 -11.426 -12.672 -13.982 -14.916 -15.420 -15.664 -15.539 -15.642 -15.586 
2.82828 -11.333 -12.748 -13.947 -14.766 -15.300 -15.460 -15.438 -15.370 -15.393 
3.03030 -11.224 -12.444 -13.634 -14.623 -15.209 -15.468 -15.405 -15.268 -15.370 
3.23232 -11.019 -12.491 -13.662 -14.554 -15.096 -15.347 -15.385 -15.225 -15.199 
3.43434 -11.056 -12.401 -13.553 -14.331 -14.979 -15.263 -15.190 -15.219 -15.039 
3.63636 -10.840 -12.302 -13.412 -14.264 -14.950 -15.126 -14.953 -14.929 -14.904 
3.83838 -10.462 -12.040 -13.178 -14.078 -14.694 -15.018 -14.827 -14.879 -14.786 
4.04040 -10.626 -11.966 -13.208 -14.047 -14.608 -14.940 -14.710 -14.746 -14.756 
4.24242 -10.453 -11.883 -13.099 -13.915 -14.465 -14.734 -14.738 -14.611 -14.580 
4.44444 -10.215 -11.888 -13.047 -13.829 -14.394 -14.649 -14.513 -14.576 -14.434 
4.64646 -10.125 -11.741 -12.812 -13.678 -14.254 -14.579 -14.474 -14.383 -14.207 
4.84848 -9.672 -11.668 -12.707 -13.650 -14.224 -14.453 -14.424 -14.278 -14.162 
5.05051 -9.732 -11.669 -12.722 -13.508 -13.979 -14.255 -14.419 -14.160 -14.091 
5.25253 -9.378 -11.249 -12.489 -13.429 -14.002 -14.198 -14.132 -14.050 -14.092 
5.45455 -9.253 -11.027 -12.381 -13.250 -13.824 -14.148 -14.048 -14.032 -13.933 
5.65657 -9.101 -10.926 -12.222 -13.307 -13.838 -14.123 -14.055 -13.872 -13.854 
5.85859 -8.792 -10.748 -12.162 -13.155 -13.730 -13.913 -13.952 -13.872 -13.564 
6.06061 -8.533 -10.736 -12.079 -13.073 -13.593 -13.924 -13.882 -13.688 -13.630 
6.26263 -8.303 -10.654 -12.111 -12.989 -13.569 -13.821 -13.802 -13.660 -13.636 
6.46465 -8.172 -10.520 -11.798 -12.813 -13.422 -13.686 -13.718 -13.623 -13.354 
6.66667 -7.773 -10.295 -11.752 -12.713 -13.329 -13.728 -13.646 -13.488 -13.474 
6.86869 -7.683 -10.239 -11.553 -12.702 -13.314 -13.531 -13.562 -13.451 -13.431 
7.07071 -7.412 -9.951 -11.471 -12.497 -13.175 -13.395 -13.546 -13.451 -13.183 
7.27273 -7.357 -9.895 -11.358 -12.487 -13.055 -13.432 -13.432 -13.398 -13.301 
7.47475 -7.054 -9.684 -11.110 -12.349 -12.988 -13.260 -13.472 -13.339 -13.224 
7.67677 -6.730 -9.442 -11.097 -12.239 -12.881 -13.168 -13.242 -13.165 -13.093 
7.87879 -6.582 -9.219 -10.994 -12.250 -12.826 -13.072 -13.259 -13.174 -12.947 
8.08081 -6.309 -9.098 -10.993 -12.015 -12.639 -12.967 -13.138 -13.084 -13.019 
8.28283 -6.059 -8.974 -10.789 -11.928 -12.589 -12.922 -13.077 -13.097 -12.936 
8.48485 -6.153 -8.865 -10.640 -11.766 -12.537 -12.896 -13.007 -13.008 -12.816 
8.68687 -5.613 -8.618 -10.524 -11.697 -12.487 -12.737 -13.053 -12.989 -12.778 
8.88889 -5.641 -8.414 -10.378 -11.631 -12.360 -12.709 -12.959 -12.946 -12.945 
9.09091 -5.189 -8.350 -10.262 -11.547 -12.238 -12.611 -12.821 -13.019 -12.708 
9.29293 -5.360 -8.275 -10.181 -11.502 -12.217 -12.600 -12.784 -12.829 -12.802 
9.49495 -5.229 -8.546 -10.122 -11.462 -12.246 -12.462 -12.696 -12.881 -12.793 
9.69697 -4.600 -8.061 -10.000 -11.292 -12.069 -12.404 -12.780 -12.803 -12.659 
9.89899 -4.578 -7.831 -9.928 -11.361 -11.992 -12.399 -12.735 -12.766 -12.608 
10.10101 -4.477 -7.575 -9.732 -11.160 -11.916 -12.424 -12.637 -12.739 -12.579 
10.30303 -4.373 -7.490 -9.756 -11.112 -11.859 -12.317 -12.543 -12.695 -12.613 
10.50505 -3.495 -7.199 -9.735 -10.992 -11.809 -12.287 -12.555 -12.642 -12.579 
10.70707 -3.482 -7.124 -9.415 -10.865 -11.770 -12.242 -12.494 -12.621 -12.624 
10.90909 -3.289 -6.992 -9.396 -10.890 -11.652 -12.098 -12.447 -12.549 -12.580 
11.11111 -3.308 -6.733 -9.233 -10.716 -11.661 -12.140 -12.417 -12.594 -12.603 
11.31313 -2.990 -6.863 -9.178 -10.678 -11.591 -12.009 -12.452 -12.519 -12.517 
11.51515 -3.690 -6.588 -8.975 -10.691 -11.540 -11.952 -12.376 -12.567 -12.532 
11.71717 -2.710 -6.338 -8.909 -10.514 -11.419 -11.926 -12.318 -12.563 -12.487 
11.91919 -3.035 -6.284 -8.830 -10.481 -11.434 -11.935 -12.302 -12.527 -12.549 
12.12121 -2.724 -6.418 -8.811 -10.464 -11.385 -11.842 -12.303 -12.469 -12.433 
12.32323 -2.737 -6.234 -8.672 -10.298 -11.285 -11.783 -12.224 -12.459 -12.452 
12.52525 -2.263 -6.129 -8.634 -10.336 -11.379 -11.796 -12.282 -12.488 -12.552 
12.72727 -2.036 -5.707 -8.536 -10.221 -11.227 -11.744 -12.214 -12.419 -12.531 
12.92929 -1.999 -5.663 -8.402 -10.173 -11.194 -11.627 -12.174 -12.440 -12.410 
13.13131 -2.179 -5.706 -8.335 -10.066 -11.134 -11.642 -12.145 -12.376 -12.436 
13.33333 -1.691 -5.426 -8.119 -10.054 -11.098 -11.562 -12.095 -12.366 -12.425 
13.53535 -2.208 -5.404 -8.183 -9.965 -11.065 -11.580 -12.072 -12.351 -12.389 
13.73737 -1.446 -5.517 -8.112 -9.904 -10.950 -11.471 -12.029 -12.343 -12.398 
13.93939 -1.413 -5.102 -7.910 -9.813 -10.920 -11.487 -12.010 -12.371 -12.390 
14.14141 -1.248 -5.089 -7.839 -9.838 -10.905 -11.467 -11.933 -12.309 -12.416 
14.34343 -1.182 -5.009 -7.693 -9.699 -10.819 -11.457 -11.900 -12.272 -12.328 
14.54545 -0.881 -4.812 -7.603 -9.668 -10.814 -11.256 -11.874 -12.270 -12.379 
14.74747 -0.771 -4.549 -7.623 -9.543 -10.710 -11.257 -11.857 -12.195 -12.311 
14.94949 -0.661 -4.622 -7.496 -9.460 -10.674 -11.219 -11.810 -12.204 -12.312 
15.15152 -0.482 -4.220 -7.411 -9.414 -10.581 -11.182 -11.780 -12.159 -12.301 
15.35354 -0.403 -3.883 -7.440 -9.366 -10.577 -11.207 -11.747 -12.159 -12.236 
15.55556 -0.169 -4.307 -7.167 -9.287 -10.593 -11.136 -11.693 -12.092 -12.237 
15.75758 -0.006 -4.247 -7.229 -9.185 -10.405 -11.048 -11.724 -12.082 -12.259 
15.95960 0.125 -4.356 -7.201 -9.096 -10.485 -11.049 -11.658 -12.082 -12.245 
16.16162 -0.150 -3.552 -6.909 -9.107 -10.311 -10.910 -11.626 -12.034 -12.207 
16.36364 0.386 -3.423 -7.063 -8.995 -10.224 -10.890 -11.556 -12.051 -12.206 
16.56566 0.487 -3.520 -6.852 -8.929 -10.228 -10.829 -11.478 -11.970 -12.184 
16.76768 0.623 -3.381 -6.808 -8.838 -10.057 -10.805 -11.478 -12.011 -12.161 
16.96970 0.822 -3.596 -6.761 -8.798 -10.246 -10.760 -11.448 -11.927 -12.121 
17.17172 0.922 -2.794 -6.493 -8.757 -9.969 -10.724 -11.345 -11.838 -12.070 
17.37374 0.987 -2.895 -6.390 -8.742 -9.934 -10.705 -11.298 -11.841 -12.043 
17.57576 1.141 -2.856 -6.256 -8.558 -9.898 -10.513 -11.327 -11.851 -12.041 
17.77778 1.378 -1.915 -6.164 -8.523 -9.810 -10.462 -11.205 -11.772 -11.981 
17.97980 1.436 -2.599 -6.045 -8.507 -9.796 -10.409 -11.198 -11.711 -12.001 
18.18182 1.561 -2.469 -6.145 -8.402 -9.699 -10.478 -11.218 -11.704 -11.985 
18.38384 1.738 -2.660 -6.118 -8.320 -9.596 -10.381 -11.105 -11.640 -11.892 
18.58586 1.729 -2.515 -5.873 -8.308 -9.537 -10.226 -11.044 -11.633 -11.930 
18.78788 2.106 -2.230 -5.721 -8.154 -9.592 -10.164 -11.051 -11.667 -11.926 
18.98990 2.075 -2.154 -5.716 -8.148 -9.418 -10.096 -10.987 -11.580 -11.852 
19.19192 2.309 -2.027 -5.629 -8.031 -9.320 -10.077 -10.897 -11.507 -11.782 
19.39394 2.417 -1.894 -5.437 -7.926 -9.281 -10.037 -10.857 -11.492 -11.778 
19.59596 2.597 -1.258 -5.399 -7.795 -9.198 -9.960 -10.784 -11.334 -11.666 
19.79798 2.738 -0.919 -5.210 -7.643 -9.023 -9.828 -10.687 -11.294 -11.610 
20.00000 2.833 -1.343 -5.127 -7.478 -9.005 -9.619 -10.564 -11.179 -11.539 
