# t[days] u g r i z y J H K
0.20202 -10.744 -11.655 -11.093 -8.840 -8.619 -8.170 -8.726 -6.319 -6.889 
0.40404 -13.753 -14.242 -14.644 -14.341 -14.465 -14.359 -13.725 -12.285 -8.304 
0.60606 -14.547 -14.942 -15.146 -15.319 -14.857 -15.414 -14.702 -13.900 -13.014 
0.80808 -14.486 -15.463 -15.810 -15.688 -15.667 -16.250 -15.270 -15.138 -13.534 
1.01010 -14.518 -15.437 -16.109 -16.310 -16.492 -16.242 -16.029 -15.489 -15.047 
1.21212 -14.150 -15.571 -16.268 -16.492 -16.509 -16.647 -16.221 -15.747 -15.376 
1.41414 -14.035 -15.364 -16.081 -16.526 -16.661 -16.523 -16.490 -16.319 -16.146 
1.61616 -13.490 -15.193 -16.082 -16.370 -16.612 -16.647 -16.476 -16.276 -15.854 
1.81818 -12.888 -14.980 -15.949 -16.390 -16.555 -16.665 -16.605 -16.482 -16.135 
2.02020 -12.528 -14.569 -15.542 -16.174 -16.444 -16.533 -16.592 -16.622 -16.493 
2.22222 -12.320 -14.224 -15.286 -15.943 -16.447 -16.466 -16.512 -16.455 -16.218 
2.42424 -11.824 -13.615 -15.024 -15.754 -16.071 -16.418 -16.436 -16.293 -16.204 
2.62626 -11.715 -13.500 -14.628 -15.560 -15.944 -16.002 -16.448 -16.382 -16.239 
2.82828 -11.391 -13.185 -14.446 -15.359 -15.809 -16.047 -16.124 -16.345 -16.224 
3.03030 -11.215 -12.854 -14.152 -15.183 -15.697 -15.834 -16.090 -16.087 -16.108 
3.23232 -11.037 -12.702 -13.990 -14.803 -15.465 -15.619 -15.939 -16.110 -16.168 
3.43434 -10.886 -12.478 -13.786 -14.587 -15.295 -15.575 -15.850 -15.943 -15.819 
3.63636 -10.694 -11.975 -13.546 -14.535 -15.108 -15.387 -15.707 -16.067 -15.738 
3.83838 -10.544 -11.787 -13.099 -14.410 -14.938 -15.337 -15.641 -15.771 -15.922 
4.04040 -10.391 -11.603 -13.038 -14.112 -14.830 -15.038 -15.555 -15.763 -15.743 
4.24242 -10.258 -11.699 -12.887 -13.899 -14.609 -15.026 -15.313 -15.691 -15.759 
4.44444 -10.124 -11.279 -12.798 -13.798 -14.569 -14.890 -15.308 -15.555 -15.717 
4.64646 -9.952 -11.091 -12.554 -13.559 -14.410 -14.723 -15.123 -15.463 -15.599 
4.84848 -9.841 -11.132 -12.395 -13.586 -14.131 -14.646 -15.050 -15.402 -15.631 
5.05051 -9.700 -11.025 -12.337 -13.353 -14.106 -14.590 -15.027 -15.297 -15.581 
