# t[days] u g r i z y J H K
0.20202 -10.746 -10.255 -9.802 -9.292 -9.545 -11.339 -10.524 -10.279 -8.211 
0.40404 -13.839 -13.164 -13.760 -14.656 -14.390 -14.447 -12.880 -11.431 -12.890 
0.60606 -13.256 -14.271 -14.652 -15.207 -15.224 -15.278 -15.118 -14.227 -14.194 
0.80808 -12.788 -14.018 -15.177 -15.663 -15.830 -15.460 -15.272 -14.668 -14.835 
1.01010 -12.554 -14.117 -15.193 -15.563 -16.043 -15.919 -15.681 -15.148 -14.962 
1.21212 -11.976 -13.841 -15.201 -15.778 -15.984 -16.198 -15.997 -15.885 -15.184 
1.41414 -10.660 -13.617 -14.933 -15.518 -16.096 -16.218 -15.964 -15.959 -15.435 
1.61616 -10.242 -13.163 -14.768 -15.595 -16.152 -15.995 -16.158 -16.120 -15.816 
1.81818 -10.915 -12.624 -14.483 -15.431 -16.031 -16.244 -16.266 -16.199 -15.950 
2.02020 -10.940 -12.303 -14.159 -15.328 -15.974 -16.084 -16.184 -16.321 -16.278 
2.22222 -11.158 -12.387 -14.040 -15.352 -15.930 -16.229 -16.275 -16.248 -16.284 
2.42424 -11.286 -12.046 -13.992 -15.072 -15.847 -16.055 -16.148 -16.162 -16.042 
2.62626 -11.241 -11.922 -13.642 -14.968 -15.699 -15.932 -16.097 -16.346 -16.081 
2.82828 -11.158 -11.806 -13.310 -14.735 -15.579 -15.666 -16.114 -16.055 -15.977 
3.03030 -11.051 -11.494 -13.139 -14.684 -15.510 -15.692 -15.936 -16.051 -15.948 
3.23232 -10.914 -11.442 -12.985 -14.399 -15.294 -15.409 -15.856 -15.812 -15.979 
3.43434 -10.768 -11.305 -12.800 -14.319 -15.045 -15.404 -15.763 -15.812 -15.835 
3.63636 -10.599 -11.095 -12.516 -14.137 -15.031 -15.347 -15.586 -15.843 -15.843 
3.83838 -10.436 -10.997 -12.517 -13.973 -14.965 -15.242 -15.545 -15.787 -15.797 
4.04040 -10.274 -10.825 -12.222 -13.937 -14.734 -15.073 -15.440 -15.620 -15.722 
4.24242 -10.105 -10.793 -12.215 -13.648 -14.665 -15.001 -15.286 -15.592 -15.704 
4.44444 -9.932 -10.750 -12.017 -13.625 -14.639 -14.943 -15.217 -15.485 -15.665 
4.64646 -9.762 -10.510 -11.905 -13.389 -14.466 -14.718 -15.082 -15.357 -15.594 
4.84848 -9.595 -10.482 -11.992 -13.440 -14.294 -14.677 -15.011 -15.234 -15.503 
5.05051 -9.420 -10.346 -11.803 -13.317 -14.267 -14.699 -14.847 -15.124 -15.327 
5.25253 -9.256 -10.223 -11.666 -13.173 -14.164 -14.515 -14.834 -14.992 -15.191 
5.45455 -9.096 -10.147 -11.669 -13.100 -14.128 -14.488 -14.651 -15.007 -15.124 
5.65657 -8.934 -10.086 -11.720 -13.188 -14.005 -14.433 -14.611 -14.886 -15.179 
5.85859 -8.799 -10.039 -11.587 -13.059 -13.858 -14.327 -14.539 -14.934 -15.050 
6.06061 -8.645 -10.031 -11.595 -12.944 -13.861 -14.257 -14.528 -14.738 -14.898 
6.26263 -8.499 -9.885 -11.471 -12.923 -13.721 -14.111 -14.359 -14.555 -14.895 
6.46465 -8.377 -9.905 -11.514 -12.858 -13.605 -14.065 -14.327 -14.546 -14.718 
6.66667 -8.185 -9.794 -11.429 -12.781 -13.556 -13.977 -14.184 -14.432 -14.790 
6.86869 -8.091 -9.829 -11.402 -12.625 -13.514 -13.973 -14.114 -14.483 -14.665 
7.07071 -7.929 -9.670 -11.260 -12.614 -13.461 -13.897 -13.982 -14.345 -14.601 
7.27273 -7.763 -9.535 -11.322 -12.521 -13.438 -13.857 -13.971 -14.290 -14.321 
7.47475 -7.595 -9.383 -11.128 -12.690 -13.322 -13.702 -13.962 -14.088 -14.299 
7.67677 -7.610 -9.402 -11.096 -12.502 -13.330 -13.703 -13.904 -14.082 -14.270 
7.87879 -7.327 -9.167 -10.966 -12.311 -13.232 -13.637 -13.739 -14.013 -14.261 
8.08081 -7.239 -9.150 -10.929 -12.284 -13.081 -13.525 -13.674 -13.912 -14.126 
8.28283 -7.047 -9.015 -10.890 -12.241 -13.001 -13.414 -13.737 -13.855 -14.200 
8.48485 -6.867 -8.864 -10.847 -12.194 -12.990 -13.348 -13.660 -13.705 -13.960 
8.68687 -6.838 -8.738 -10.757 -12.031 -12.944 -13.327 -13.578 -13.615 -13.933 
8.88889 -6.525 -8.937 -10.860 -12.041 -12.825 -13.187 -13.482 -13.680 -13.892 
9.09091 -6.629 -8.638 -10.573 -11.881 -12.795 -13.215 -13.466 -13.694 -14.000 
9.29293 -6.196 -8.573 -10.494 -11.845 -12.657 -13.143 -13.448 -13.500 -13.756 
9.49495 -6.380 -8.375 -10.290 -11.787 -12.677 -13.050 -13.252 -13.440 -13.746 
9.69697 -5.897 -8.206 -10.152 -11.638 -12.557 -13.033 -13.210 -13.361 -13.701 
9.89899 -5.757 -8.309 -10.163 -11.641 -12.491 -12.964 -13.270 -13.374 -13.634 
10.10101 -5.845 -8.292 -10.185 -11.594 -12.492 -12.957 -13.150 -13.295 -13.588 
10.30303 -5.598 -8.014 -10.043 -11.402 -12.390 -12.798 -13.094 -13.173 -13.340 
10.50505 -5.326 -7.918 -9.890 -11.377 -12.349 -12.771 -13.051 -13.175 -13.388 
10.70707 -5.207 -7.651 -9.900 -11.329 -12.316 -12.655 -12.995 -13.168 -13.417 
10.90909 -5.150 -7.667 -9.714 -11.201 -12.236 -12.670 -12.939 -13.139 -13.244 
11.11111 -4.819 -7.464 -9.690 -11.349 -12.148 -12.631 -12.897 -13.165 -13.206 
11.31313 -4.825 -7.595 -9.669 -11.119 -12.047 -12.566 -13.020 -13.097 -13.236 
11.51515 -4.673 -7.396 -9.657 -11.105 -11.977 -12.490 -12.837 -13.072 -13.141 
11.71717 -4.376 -7.128 -9.467 -10.959 -12.030 -12.371 -12.730 -13.006 -13.147 
11.91919 -4.282 -7.046 -9.297 -10.793 -11.827 -12.293 -12.761 -12.992 -13.010 
12.12121 -4.153 -6.952 -9.303 -10.800 -11.805 -12.359 -12.631 -12.800 -12.981 
12.32323 -4.134 -6.905 -9.131 -10.786 -11.763 -12.241 -12.647 -12.830 -12.988 
12.52525 -3.862 -6.745 -9.012 -10.612 -11.656 -12.268 -12.585 -12.769 -12.878 
12.72727 -3.822 -6.294 -8.846 -10.607 -11.521 -12.053 -12.537 -12.749 -12.872 
12.92929 -3.662 -6.452 -8.812 -10.518 -11.474 -12.120 -12.477 -12.717 -12.850 
13.13131 -3.534 -6.314 -8.807 -10.433 -11.450 -11.991 -12.460 -12.750 -12.806 
13.33333 -3.583 -6.286 -8.688 -10.354 -11.353 -11.955 -12.397 -12.644 -12.739 
13.53535 -3.453 -5.909 -8.493 -10.294 -11.407 -11.944 -12.348 -12.616 -12.743 
13.73737 -3.427 -6.084 -8.514 -10.282 -11.373 -11.892 -12.389 -12.606 -12.738 
13.93939 -2.971 -5.835 -8.482 -10.230 -11.295 -11.824 -12.293 -12.562 -12.724 
14.14141 -3.042 -6.045 -8.408 -10.057 -11.161 -11.765 -12.263 -12.580 -12.689 
14.34343 -2.733 -5.886 -8.269 -10.108 -11.177 -11.715 -12.263 -12.546 -12.648 
14.54545 -2.899 -5.506 -8.379 -10.019 -11.088 -11.644 -12.201 -12.518 -12.569 
14.74747 -2.383 -5.704 -8.081 -9.896 -11.083 -11.753 -12.170 -12.560 -12.606 
14.94949 -2.303 -5.097 -7.955 -9.776 -11.013 -11.674 -12.143 -12.501 -12.556 
15.15152 -2.132 -5.304 -7.891 -9.807 -10.973 -11.559 -12.134 -12.464 -12.669 
15.35354 -1.962 -4.931 -7.796 -9.714 -10.863 -11.453 -12.050 -12.446 -12.570 
15.55556 -1.869 -5.150 -7.677 -9.696 -10.842 -11.460 -12.070 -12.419 -12.463 
15.75758 -1.761 -4.996 -7.751 -9.634 -10.768 -11.427 -12.030 -12.384 -12.548 
15.95960 -1.634 -4.923 -7.501 -9.630 -10.720 -11.426 -11.998 -12.420 -12.485 
16.16162 -1.510 -4.917 -7.430 -9.464 -10.671 -11.355 -12.014 -12.415 -12.557 
16.36364 -1.435 -4.550 -7.550 -9.520 -10.665 -11.325 -11.961 -12.328 -12.528 
16.56566 -1.875 -4.772 -7.850 -9.433 -10.691 -11.267 -11.955 -12.330 -12.475 
16.76768 -1.263 -4.720 -7.348 -9.333 -10.603 -11.218 -11.933 -12.342 -12.551 
16.96970 -1.195 -4.299 -7.197 -9.420 -10.527 -11.247 -11.899 -12.326 -12.440 
17.17172 -1.118 -3.797 -7.241 -9.222 -10.611 -11.195 -11.857 -12.253 -12.444 
17.37374 -0.985 -4.290 -7.012 -9.285 -10.477 -11.182 -11.890 -12.274 -12.476 
17.57576 -0.921 -4.314 -6.996 -9.073 -10.494 -11.137 -11.823 -12.270 -12.446 
17.77778 -1.770 -3.897 -7.020 -9.126 -10.288 -11.007 -11.752 -12.251 -12.488 
17.97980 -0.855 -3.801 -6.778 -9.068 -10.334 -10.996 -11.754 -12.221 -12.459 
18.18182 -0.804 -3.481 -6.620 -8.998 -10.257 -11.040 -11.740 -12.228 -12.405 
18.38384 -0.666 -3.871 -6.505 -8.882 -10.238 -10.937 -11.711 -12.183 -12.423 
18.58586 -0.575 -3.929 -6.469 -8.801 -10.330 -10.910 -11.730 -12.194 -12.405 
18.78788 -0.633 -3.403 -6.669 -8.760 -10.234 -10.891 -11.684 -12.144 -12.407 
18.98990 -0.433 -3.606 -6.408 -8.789 -10.078 -10.852 -11.588 -12.127 -12.312 
19.19192 -0.360 -3.186 -6.365 -8.718 -10.024 -10.892 -11.617 -12.135 -12.330 
19.39394 -0.270 -3.198 -6.419 -8.587 -9.985 -10.691 -11.511 -12.047 -12.297 
19.59596 -0.087 -2.903 -6.050 -8.476 -9.886 -10.621 -11.503 -12.008 -12.300 
19.79798 -0.083 -2.758 -6.020 -8.457 -9.815 -10.659 -11.446 -11.946 -12.235 
20.00000 -0.037 -2.652 -5.702 -8.303 -9.802 -10.560 -11.361 -11.861 -12.130 
