# t[days] u g r i z y J H K
0.20202 -11.058 -12.845 -12.917 -11.403 -10.610 -8.802 -6.670 -6.504 -5.655 
0.40404 -14.139 -14.112 -14.585 -13.946 -13.712 -14.120 -14.192 -13.841 -10.819 
0.60606 -14.425 -15.255 -15.482 -15.323 -15.396 -15.162 -14.726 -14.108 -14.234 
0.80808 -14.597 -15.677 -15.894 -16.003 -15.931 -15.626 -15.449 -15.297 -14.162 
1.01010 -14.385 -15.510 -16.021 -16.129 -16.094 -16.094 -15.855 -15.491 -14.641 
1.21212 -14.046 -15.518 -16.149 -16.247 -16.160 -16.231 -15.876 -15.517 -15.243 
1.41414 -13.696 -15.437 -16.068 -16.259 -16.337 -16.413 -16.223 -16.059 -15.314 
1.61616 -13.123 -15.209 -15.892 -16.184 -16.358 -16.366 -16.317 -16.161 -15.668 
1.81818 -12.790 -15.039 -15.805 -16.078 -16.249 -16.364 -16.222 -16.198 -16.049 
2.02020 -12.540 -14.733 -15.533 -15.983 -16.154 -16.204 -16.238 -16.112 -16.063 
2.22222 -12.290 -14.402 -15.211 -15.710 -16.032 -16.135 -16.122 -16.167 -15.909 
2.42424 -11.916 -13.985 -14.829 -15.502 -15.808 -15.866 -16.003 -16.079 -15.976 
2.62626 -11.497 -13.547 -14.616 -15.177 -15.625 -15.692 -15.780 -15.737 -15.701 
2.82828 -11.246 -13.308 -14.268 -14.924 -15.422 -15.596 -15.642 -15.705 -15.712 
3.03030 -11.022 -12.870 -14.073 -14.805 -15.260 -15.338 -15.610 -15.663 -15.505 
3.23232 -10.744 -12.797 -13.899 -14.523 -15.109 -15.237 -15.422 -15.564 -15.638 
3.43434 -10.535 -12.605 -13.559 -14.326 -15.050 -15.196 -15.327 -15.500 -15.595 
3.63636 -10.406 -12.337 -13.449 -14.172 -14.785 -15.025 -15.166 -15.385 -15.468 
3.83838 -10.174 -12.106 -13.236 -14.108 -14.636 -14.926 -15.220 -15.423 -15.263 
4.04040 -10.012 -11.975 -13.041 -13.891 -14.564 -14.725 -15.107 -15.227 -15.244 
4.24242 -9.743 -11.624 -12.805 -13.755 -14.486 -14.717 -15.022 -15.148 -15.191 
4.44444 -9.576 -11.422 -12.607 -13.616 -14.222 -14.703 -14.707 -15.092 -15.250 
4.64646 -9.450 -11.148 -12.636 -13.383 -14.130 -14.526 -14.799 -14.924 -15.056 
4.84848 -9.255 -11.009 -12.451 -13.417 -14.139 -14.490 -14.647 -14.958 -15.113 
5.05051 -9.076 -10.877 -12.383 -13.257 -14.010 -14.230 -14.544 -14.675 -14.852 
5.25253 -8.990 -10.727 -12.108 -13.084 -13.789 -14.155 -14.550 -14.698 -14.950 
5.45455 -8.777 -10.626 -11.974 -12.970 -13.737 -14.147 -14.450 -14.725 -14.988 
5.65657 -8.600 -10.342 -11.794 -12.933 -13.607 -13.982 -14.348 -14.656 -14.739 
5.85859 -8.393 -10.360 -11.785 -12.816 -13.634 -13.859 -14.223 -14.478 -14.824 
6.06061 -8.310 -10.349 -11.555 -12.695 -13.517 -13.887 -14.182 -14.479 -14.693 
6.26263 -8.343 -10.050 -11.756 -12.737 -13.314 -13.712 -14.095 -14.421 -14.610 
6.46465 -8.147 -9.889 -11.449 -12.640 -13.303 -13.666 -14.023 -14.327 -14.658 
6.66667 -7.735 -9.716 -11.295 -12.480 -13.195 -13.541 -13.934 -14.216 -14.501 
6.86869 -7.540 -9.535 -11.119 -12.295 -13.156 -13.500 -13.852 -14.226 -14.369 
7.07071 -7.391 -9.353 -11.103 -12.284 -13.060 -13.407 -13.760 -14.027 -14.413 
7.27273 -7.485 -9.287 -10.971 -12.150 -12.926 -13.430 -13.729 -14.015 -14.312 
7.47475 -7.136 -8.978 -11.003 -12.063 -12.936 -13.259 -13.602 -13.927 -14.212 
7.67677 -6.933 -9.129 -10.914 -11.972 -12.846 -13.332 -13.510 -13.939 -14.201 
7.87879 -6.713 -9.028 -10.616 -11.852 -12.717 -13.096 -13.428 -13.821 -13.992 
8.08081 -6.639 -8.655 -10.443 -11.815 -12.666 -13.102 -13.405 -13.738 -13.915 
8.28283 -6.512 -8.692 -10.507 -11.815 -12.641 -12.980 -13.261 -13.533 -13.935 
8.48485 -6.209 -8.586 -10.345 -11.677 -12.538 -12.946 -13.289 -13.545 -13.857 
8.68687 -5.915 -8.337 -10.163 -11.638 -12.520 -12.979 -13.168 -13.529 -13.831 
8.88889 -5.707 -8.220 -10.076 -11.501 -12.317 -12.747 -13.159 -13.432 -13.692 
9.09091 -5.785 -8.203 -9.956 -11.343 -12.304 -12.743 -13.093 -13.396 -13.589 
9.29293 -5.511 -7.930 -9.896 -11.365 -12.250 -12.651 -12.943 -13.321 -13.636 
9.49495 -5.269 -8.063 -9.798 -11.282 -12.177 -12.597 -12.928 -13.210 -13.538 
9.69697 -5.443 -7.645 -9.735 -11.210 -12.057 -12.507 -12.883 -13.215 -13.480 
9.89899 -4.921 -7.563 -9.598 -11.051 -12.072 -12.389 -12.839 -13.112 -13.456 
10.10101 -4.894 -7.431 -9.465 -11.060 -12.038 -12.410 -12.808 -13.140 -13.394 
10.30303 -4.935 -7.425 -9.441 -10.926 -11.836 -12.334 -12.669 -13.060 -13.300 
10.50505 -4.662 -7.151 -9.494 -10.943 -11.804 -12.277 -12.716 -12.974 -13.249 
10.70707 -4.610 -7.093 -9.152 -10.752 -11.745 -12.201 -12.580 -12.936 -13.153 
10.90909 -4.285 -6.707 -9.220 -10.808 -11.696 -12.176 -12.486 -12.923 -13.185 
11.11111 -4.118 -6.758 -9.064 -10.685 -11.587 -12.112 -12.529 -12.842 -13.113 
