# t[days] u g r i z y J H K
0.20202 -11.105 -10.771 -12.618 -10.460 -7.579 -6.961 -6.968 -8.249 nan 
0.40404 -14.884 -15.250 -15.695 -15.266 -14.206 -11.848 -14.921 -13.073 -11.003 
0.60606 -15.031 -16.321 -16.745 -16.424 -15.637 -15.430 -14.492 -9.360 -10.486 
0.80808 -15.599 -16.673 -17.139 -16.874 -16.245 -15.536 -14.316 -14.972 -13.410 
1.01010 -15.793 -16.977 -17.392 -17.117 -16.612 -16.068 -13.655 -12.346 -1.814 
1.21212 -15.729 -17.095 -17.479 -17.227 -16.303 -15.352 -14.484 -13.460 -12.782 
1.41414 -15.425 -17.103 -17.573 -17.203 -16.292 -15.688 -14.863 -14.315 -14.090 
1.61616 -15.280 -17.049 -17.593 -17.195 -16.711 -16.051 -15.359 -14.738 -14.878 
1.81818 -14.832 -16.947 -17.474 -17.210 -16.481 -16.185 -15.495 -15.365 -15.019 
2.02020 -14.442 -16.745 -17.384 -17.034 -16.544 -16.024 -15.681 -15.380 -15.198 
2.22222 -14.220 -16.562 -17.334 -17.105 -16.771 -16.338 -15.658 -15.783 -15.210 
2.42424 -13.808 -16.298 -17.084 -16.932 -16.574 -16.243 -15.815 -15.514 -15.138 
2.62626 -13.326 -16.001 -16.887 -16.772 -16.590 -16.201 -15.770 -15.434 -15.076 
2.82828 -12.833 -15.711 -16.620 -16.550 -16.203 -16.130 -15.849 -15.487 -15.213 
3.03030 -12.432 -15.503 -16.411 -16.297 -16.165 -15.939 -15.825 -15.248 -15.217 
3.23232 -12.215 -15.071 -16.136 -16.125 -15.932 -15.699 -15.514 -15.505 -15.350 
3.43434 -11.953 -14.871 -15.841 -15.960 -15.930 -15.724 -15.507 -15.276 -15.307 
3.63636 -11.759 -14.574 -15.598 -15.723 -15.628 -15.748 -15.387 -15.238 -15.112 
3.83838 -11.327 -14.349 -15.247 -15.477 -15.578 -15.653 -15.369 -15.100 -15.089 
4.04040 -11.058 -14.007 -15.114 -15.246 -15.387 -15.428 -15.328 -15.122 -14.542 
4.24242 -10.934 -13.794 -14.863 -15.135 -15.394 -15.357 -15.187 -15.034 -14.679 
4.44444 -10.895 -13.576 -14.769 -15.028 -15.238 -15.459 -15.165 -14.900 -14.976 
4.64646 -10.619 -13.426 -14.521 -14.990 -15.077 -15.224 -15.069 -14.991 -14.663 
4.84848 -10.457 -13.312 -14.264 -14.854 -15.056 -15.159 -15.086 -14.908 -14.729 
5.05051 -10.172 -12.989 -14.160 -14.629 -14.862 -15.147 -14.953 -14.788 -14.535 
5.25253 -10.058 -12.828 -14.011 -14.535 -14.878 -15.044 -14.863 -14.645 -14.542 
5.45455 -10.044 -12.757 -13.891 -14.467 -14.757 -14.907 -14.860 -14.640 -14.630 
5.65657 -9.832 -12.622 -13.974 -14.329 -14.830 -14.897 -14.831 -14.577 -14.612 
5.85859 -9.682 -12.440 -13.791 -14.323 -14.564 -14.747 -14.771 -14.706 -14.375 
6.06061 -9.662 -12.357 -13.705 -14.149 -14.591 -14.756 -14.703 -14.728 -14.486 
6.26263 -9.672 -12.261 -13.480 -14.129 -14.546 -14.713 -14.683 -14.587 -14.320 
6.46465 -9.487 -12.182 -13.391 -14.042 -14.388 -14.665 -14.663 -14.504 -14.439 
6.66667 -9.245 -11.964 -13.274 -13.895 -14.292 -14.593 -14.556 -14.416 -14.320 
6.86869 -9.487 -11.830 -13.187 -13.847 -14.339 -14.496 -14.511 -14.445 -14.225 
7.07071 -9.013 -11.642 -13.062 -13.715 -14.229 -14.439 -14.474 -14.382 -14.269 
7.27273 -8.792 -11.566 -12.923 -13.628 -14.139 -14.361 -14.458 -14.286 -14.152 
