# t[days] u g r i z y J H K
0.20202 -12.089 -10.276 -12.093 -13.544 -10.043 -11.546 -11.858 -7.733 nan 
0.40404 -13.566 -13.957 -13.854 -13.910 -14.562 -14.322 -14.124 -11.767 -13.106 
0.60606 -13.326 -14.179 -14.505 -14.645 -14.251 -14.090 -13.137 -13.791 -13.379 
0.80808 -13.006 -14.094 -14.239 -15.021 -14.885 -14.363 -15.038 -13.719 -14.194 
1.01010 -12.535 -14.064 -14.403 -14.509 -14.864 -14.684 -14.311 -14.495 -14.773 
1.21212 -11.320 -13.169 -14.389 -14.287 -14.485 -14.514 -13.994 -14.311 -13.271 
1.41414 -11.561 -12.985 -14.105 -14.913 -14.714 -13.866 -14.370 -15.480 -14.546 
1.61616 -12.147 -13.857 -14.426 -14.790 -15.557 -15.556 -15.711 -15.086 -14.877 
1.81818 -12.839 -14.154 -14.957 -15.667 -16.018 -15.977 -16.079 -16.114 -15.749 
2.02020 -12.997 -14.324 -15.054 -15.747 -15.985 -16.292 -16.214 -16.149 -16.036 
2.22222 -12.771 -14.195 -15.184 -15.851 -16.266 -16.451 -16.185 -16.185 -16.003 
2.42424 -12.977 -14.040 -14.858 -15.812 -16.239 -16.384 -16.308 -16.465 -16.283 
2.62626 -12.398 -13.722 -14.918 -15.571 -16.114 -16.289 -16.276 -16.167 -16.378 
2.82828 -12.688 -13.701 -14.759 -15.483 -16.049 -16.176 -16.212 -16.497 -16.480 
3.03030 -12.426 -13.411 -14.722 -15.320 -15.986 -16.178 -16.186 -16.211 -16.197 
3.23232 -12.377 -13.365 -14.330 -15.235 -15.704 -15.979 -16.139 -15.936 -15.983 
3.43434 -12.446 -13.230 -14.272 -14.989 -15.705 -15.976 -15.935 -16.101 -15.948 
3.63636 -12.160 -13.113 -14.134 -15.097 -15.590 -15.918 -15.775 -15.603 -15.806 
3.83838 -12.410 -13.191 -13.966 -14.918 -15.499 -15.818 -15.717 -15.781 -15.587 
4.04040 -12.124 -13.186 -14.041 -14.820 -15.429 -15.729 -15.705 -15.417 -15.468 
4.24242 -12.082 -13.203 -13.983 -14.686 -15.278 -15.454 -15.539 -15.480 -15.409 
4.44444 -11.638 -12.937 -13.858 -14.680 -15.169 -15.518 -15.399 -15.291 -15.305 
4.64646 -11.775 -12.991 -13.821 -14.595 -15.121 -15.452 -15.236 -15.239 -15.098 
4.84848 -11.986 -13.043 -13.880 -14.629 -15.174 -15.336 -15.243 -15.182 -15.141 
5.05051 -11.381 -12.755 -13.700 -14.401 -14.998 -15.209 -15.186 -15.092 -15.168 
5.25253 -11.501 -12.805 -13.644 -14.351 -14.837 -15.090 -15.055 -14.947 -14.961 
5.45455 -11.385 -12.527 -13.384 -14.346 -14.875 -15.251 -15.019 -14.787 -14.908 
5.65657 -10.969 -12.597 -13.499 -14.274 -14.821 -15.039 -14.915 -14.816 -14.825 
