# t[days] u g r i z y J H K
0.20202 -11.618 -11.049 -11.973 -11.407 -11.915 -11.396 -11.504 -11.034 -9.651 
0.40404 -12.751 -13.787 -13.998 -14.334 -14.676 -14.161 -13.641 -12.736 -13.027 
0.60606 -12.914 -14.191 -14.609 -14.890 -14.480 -15.153 -14.416 -14.187 -12.372 
0.80808 -12.123 -13.532 -14.673 -15.161 -15.068 -14.893 -14.889 -14.839 -14.170 
1.01010 -11.218 -13.016 -14.458 -14.916 -14.526 -15.065 -14.806 -14.418 -14.655 
1.21212 -9.408 -12.451 -13.898 -14.547 -15.015 -15.069 -14.669 -14.651 -14.868 
1.41414 -10.578 -12.815 -14.206 -14.997 -15.343 -15.690 -15.402 -15.434 -15.454 
1.61616 -10.372 -12.605 -14.524 -15.462 -15.872 -15.757 -15.760 -15.702 -15.370 
1.81818 -11.316 -12.963 -14.699 -15.625 -16.055 -16.163 -16.225 -15.904 -15.836 
2.02020 -11.486 -13.056 -14.633 -15.612 -16.026 -16.242 -16.112 -16.137 -16.007 
2.22222 -11.499 -12.967 -14.501 -15.589 -15.999 -16.122 -16.162 -16.218 -16.146 
2.42424 -11.506 -12.767 -14.339 -15.470 -15.935 -16.075 -16.079 -16.023 -16.149 
2.62626 -11.497 -12.688 -14.086 -15.135 -15.858 -15.991 -16.055 -15.944 -15.847 
2.82828 -11.351 -12.669 -14.067 -15.052 -15.636 -15.977 -15.950 -15.864 -15.972 
3.03030 -11.286 -12.442 -13.881 -14.811 -15.483 -15.833 -15.755 -15.801 -15.877 
3.23232 -11.215 -12.393 -13.730 -14.723 -15.386 -15.622 -15.593 -15.425 -15.691 
3.43434 -11.090 -12.379 -13.651 -14.591 -15.292 -15.524 -15.507 -15.587 -15.581 
3.63636 -11.161 -12.466 -13.636 -14.585 -15.083 -15.505 -15.412 -15.405 -15.509 
3.83838 -11.235 -12.448 -13.615 -14.471 -15.194 -15.338 -15.285 -15.247 -15.211 
4.04040 -10.763 -12.202 -13.527 -14.318 -14.979 -15.247 -15.044 -15.183 -15.288 
4.24242 -10.679 -12.146 -13.251 -14.231 -14.855 -15.099 -15.206 -15.120 -15.118 
4.44444 -10.674 -12.124 -13.275 -14.201 -14.692 -15.105 -14.966 -15.218 -15.009 
4.64646 -10.608 -12.125 -13.307 -14.155 -14.667 -14.928 -14.866 -14.840 -14.793 
4.84848 -10.499 -12.062 -13.130 -13.888 -14.531 -14.776 -14.704 -14.711 -14.802 
5.05051 -10.261 -11.871 -13.109 -13.928 -14.526 -14.777 -14.642 -14.713 -14.518 
5.25253 -10.047 -11.850 -13.053 -13.784 -14.390 -14.684 -14.585 -14.444 -14.493 
5.45455 -10.172 -11.764 -12.810 -13.759 -14.255 -14.541 -14.475 -14.362 -14.518 
5.65657 -9.567 -11.410 -12.612 -13.600 -14.237 -14.498 -14.435 -14.474 -14.283 
5.85859 -9.677 -11.285 -12.613 -13.498 -14.127 -14.359 -14.370 -14.312 -14.158 
6.06061 -9.422 -11.250 -12.511 -13.460 -14.155 -14.320 -14.376 -14.125 -14.225 
6.26263 -9.068 -11.212 -12.465 -13.330 -13.909 -14.218 -14.165 -14.091 -14.023 
6.46465 -9.243 -11.119 -12.334 -13.173 -13.904 -14.188 -14.167 -14.074 -13.780 
6.66667 -8.702 -10.936 -12.202 -13.281 -13.848 -14.040 -14.165 -13.918 -13.996 
6.86869 -8.770 -10.719 -12.110 -13.117 -13.805 -14.030 -14.057 -13.867 -13.798 
7.07071 -8.528 -10.787 -11.987 -12.970 -13.674 -13.868 -13.981 -13.899 -13.723 
7.27273 -8.038 -10.457 -11.830 -12.859 -13.514 -13.840 -13.879 -13.766 -13.713 
7.47475 -8.066 -10.301 -11.785 -12.789 -13.411 -13.837 -13.777 -13.757 -13.572 
7.67677 -7.847 -10.211 -11.682 -12.704 -13.381 -13.785 -13.794 -13.697 -13.565 
7.87879 -7.766 -10.046 -11.655 -12.602 -13.332 -13.726 -13.742 -13.617 -13.604 
