# t[days] u g r i z y J H K
0.20202 66.710 137.910 nan nan nan nan nan nan nan 
0.40404 -11.177 -11.378 -11.578 -13.249 -13.541 -13.450 -13.972 -13.712 -12.028 
0.60606 -14.519 -14.138 -14.472 -15.256 -15.447 -15.507 -14.970 -14.986 -13.658 
0.80808 -15.337 -15.512 -15.247 -15.721 -16.027 -16.112 -15.746 -15.439 -15.174 
1.01010 -15.529 -15.533 -15.755 -16.065 -16.178 -16.524 -15.936 -15.650 -14.820 
1.21212 -15.687 -15.653 -15.923 -16.339 -16.629 -16.733 -16.295 -15.922 -15.598 
1.41414 -15.375 -15.491 -15.834 -16.340 -16.609 -16.603 -16.500 -16.059 -15.637 
1.61616 -15.295 -15.457 -15.761 -16.240 -16.526 -16.671 -16.401 -16.145 -15.788 
1.81818 -15.294 -15.492 -15.815 -16.140 -16.661 -16.732 -16.391 -16.116 -15.636 
2.02020 -15.044 -15.344 -15.689 -16.281 -16.542 -16.788 -16.533 -16.028 -15.717 
2.22222 -14.903 -15.421 -15.793 -16.196 -16.562 -16.755 -16.591 -16.158 -15.606 
2.42424 -14.906 -15.357 -15.812 -16.221 -16.507 -16.728 -16.553 -16.285 -15.753 
2.62626 -14.621 -15.224 -15.700 -16.165 -16.548 -16.741 -16.607 -16.287 -15.796 
2.82828 -14.502 -15.160 -15.680 -16.167 -16.580 -16.741 -16.580 -16.250 -15.848 
3.03030 -14.355 -15.086 -15.676 -16.090 -16.463 -16.705 -16.544 -16.363 -15.943 
3.23232 -14.020 -14.866 -15.518 -16.123 -16.459 -16.730 -16.556 -16.300 -16.050 
3.43434 -13.950 -14.866 -15.478 -15.993 -16.472 -16.592 -16.605 -16.267 -16.031 
3.63636 -13.713 -14.768 -15.479 -15.954 -16.371 -16.581 -16.523 -16.330 -15.975 
3.83838 -13.282 -14.519 -15.394 -15.925 -16.363 -16.554 -16.540 -16.344 -16.127 
4.04040 -13.205 -14.479 -15.229 -15.819 -16.293 -16.555 -16.512 -16.382 -16.105 
4.24242 -12.725 -14.156 -15.118 -15.702 -16.204 -16.381 -16.455 -16.306 -15.975 
4.44444 -12.445 -14.063 -14.954 -15.656 -16.086 -16.382 -16.360 -16.302 -16.051 
4.64646 -12.462 -14.019 -14.913 -15.633 -16.141 -16.364 -16.338 -16.289 -16.074 
4.84848 -12.052 -13.695 -14.728 -15.458 -15.951 -16.170 -16.285 -16.201 -16.105 
5.05051 -11.897 -13.513 -14.614 -15.424 -15.918 -16.168 -16.272 -16.254 -16.108 
5.25253 -11.548 -13.340 -14.526 -15.263 -15.823 -16.121 -16.230 -16.212 -15.987 
5.45455 -11.290 -13.259 -14.355 -15.313 -15.743 -16.005 -16.201 -16.175 -15.931 
5.65657 -10.900 -12.909 -14.348 -15.108 -15.644 -15.996 -16.070 -16.064 -15.911 
5.85859 -10.949 -12.961 -14.155 -14.970 -15.539 -15.841 -16.004 -16.030 -15.998 
6.06061 -10.801 -12.725 -13.889 -14.852 -15.473 -15.784 -15.986 -16.041 -15.914 
6.26263 -10.074 -12.401 -13.811 -14.773 -15.334 -15.642 -15.916 -16.000 -15.833 
6.46465 -10.156 -12.171 -13.647 -14.651 -15.262 -15.611 -15.854 -15.897 -15.805 
6.66667 -9.392 -12.179 -13.678 -14.608 -15.170 -15.529 -15.775 -15.845 -15.783 
6.86869 -9.173 -11.807 -13.474 -14.419 -15.021 -15.420 -15.670 -15.874 -15.820 
7.07071 -8.965 -11.882 -13.445 -14.294 -15.008 -15.392 -15.636 -15.756 -15.686 
7.27273 -8.748 -11.570 -13.107 -14.215 -14.925 -15.223 -15.564 -15.690 -15.777 
7.47475 -8.339 -11.092 -13.002 -14.142 -14.839 -15.128 -15.504 -15.696 -15.711 
7.67677 -8.296 -11.404 -12.783 -13.967 -14.715 -15.064 -15.351 -15.508 -15.610 
7.87879 -8.971 -10.846 -12.601 -13.948 -14.539 -14.973 -15.321 -15.509 -15.561 
8.08081 -7.877 -10.863 -12.482 -13.715 -14.512 -14.909 -15.243 -15.514 -15.595 
8.28283 -7.399 -10.478 -12.415 -13.662 -14.418 -14.810 -15.139 -15.465 -15.529 
8.48485 -7.890 -10.364 -12.304 -13.449 -14.298 -14.639 -15.103 -15.298 -15.491 
8.68687 -7.551 -9.943 -12.129 -13.365 -14.209 -14.597 -15.014 -15.359 -15.368 
8.88889 -6.977 -9.721 -11.947 -13.260 -13.949 -14.411 -14.859 -15.214 -15.295 
9.09091 -6.574 -9.506 -11.875 -13.112 -13.950 -14.390 -14.834 -15.154 -15.292 
9.29293 -5.928 -9.203 -11.687 -13.015 -13.875 -14.278 -14.760 -15.097 -15.225 
9.49495 -6.160 -9.240 -11.368 -12.833 -13.685 -14.128 -14.655 -15.058 -15.206 
9.69697 -5.660 -9.050 -11.302 -12.728 -13.636 -14.023 -14.655 -14.944 -15.106 
9.89899 -8.139 -8.771 -11.014 -12.611 -13.441 -13.962 -14.516 -14.950 -15.072 
10.10101 -5.302 -8.440 -11.132 -12.475 -13.403 -13.922 -14.459 -14.888 -15.067 
10.30303 -4.967 -8.276 -11.057 -12.414 -13.334 -13.788 -14.338 -14.791 -15.027 
10.50505 -4.779 -8.457 -10.646 -12.412 -13.180 -13.716 -14.300 -14.716 -14.970 
10.70707 -5.275 -8.484 -10.708 -12.260 -13.214 -13.544 -14.230 -14.648 -14.968 
10.90909 -5.362 -7.934 -10.459 -12.034 -12.993 -13.571 -14.152 -14.582 -14.853 
11.11111 -4.630 -7.910 -10.261 -11.851 -12.881 -13.345 -14.067 -14.571 -14.798 
11.31313 -4.226 -7.455 -10.084 -11.742 -12.797 -13.233 -13.972 -14.538 -14.760 
11.51515 -3.491 -7.561 -10.045 -11.729 -12.664 -13.194 -13.865 -14.444 -14.682 
11.71717 -5.030 -6.964 -9.903 -11.609 -12.539 -13.105 -13.846 -14.389 -14.734 
11.91919 -3.423 -6.750 -9.716 -11.471 -12.570 -13.047 -13.820 -14.368 -14.613 
12.12121 -3.517 -6.905 -9.609 -11.460 -12.495 -13.041 -13.685 -14.337 -14.533 
12.32323 -2.876 -6.922 -9.487 -11.397 -12.243 -12.849 -13.581 -14.261 -14.629 
12.52525 -6.335 -6.353 -9.224 -11.179 -12.215 -12.798 -13.575 -14.191 -14.489 
12.72727 -2.540 -6.812 -9.263 -11.117 -12.166 -12.738 -13.494 -14.093 -14.451 
12.92929 -4.745 -7.788 -9.109 -11.041 -12.123 -12.758 -13.406 -14.048 -14.418 
13.13131 -4.787 -6.394 -9.089 -10.955 -11.909 -12.670 -13.315 -13.941 -14.325 
13.33333 -4.591 -6.473 -8.816 -10.735 -11.919 -12.594 -13.294 -13.910 -14.339 
13.53535 -2.573 -5.880 -8.955 -10.683 -11.816 -12.432 -13.191 -13.865 -14.305 
13.73737 -1.928 -5.386 -8.650 -10.656 -11.808 -12.351 -13.118 -13.876 -14.249 
13.93939 -3.409 -5.224 -8.441 -10.569 -11.638 -12.224 -13.070 -13.744 -14.214 
14.14141 -3.843 -4.781 -8.197 -10.415 -11.604 -12.241 -13.025 -13.718 -14.167 
14.34343 -4.405 -5.108 -8.328 -10.275 -11.551 -12.088 -13.013 -13.687 -14.148 
14.54545 -1.621 -4.939 -8.144 -10.305 -11.442 -12.140 -12.885 -13.655 -14.117 
14.74747 -4.598 -4.774 -8.289 -10.172 -11.426 -12.056 -12.825 -13.568 -14.027 
14.94949 -4.066 -4.837 -7.853 -10.009 -11.367 -11.959 -12.884 -13.527 -14.016 
15.15152 -1.251 -4.795 -7.742 -9.964 -11.203 -11.870 -12.809 -13.533 -13.953 
15.35354 -1.249 -5.284 -7.835 -9.768 -11.119 -11.860 -12.655 -13.472 -13.909 
15.55556 -5.143 -4.806 -7.615 -9.819 -11.178 -11.769 -12.660 -13.398 -13.864 
15.75758 -0.948 -4.901 -7.553 -9.875 -11.023 -11.743 -12.629 -13.342 -13.808 
15.95960 -0.822 -3.987 -7.367 -9.691 -11.098 -11.702 -12.530 -13.353 -13.798 
16.16162 -1.658 -4.408 -7.268 -9.635 -10.835 -11.605 -12.474 -13.305 -13.844 
16.36364 -0.481 -4.874 -7.149 -9.442 -10.850 -11.523 -12.476 -13.236 -13.747 
16.56566 -3.660 -4.144 -6.937 -9.584 -10.790 -11.467 -12.473 -13.204 -13.689 
16.76768 -1.261 -4.446 -7.014 -9.436 -10.769 -11.452 -12.417 -13.122 -13.703 
16.96970 -0.148 -3.406 -7.127 -9.380 -10.607 -11.404 -12.303 -13.134 -13.701 
17.17172 -4.973 -4.624 -6.810 -9.322 -10.581 -11.369 -12.247 -13.090 -13.677 
17.37374 -3.309 -3.708 -6.730 -9.171 -10.561 -11.203 -12.229 -12.992 -13.514 
17.57576 -3.726 -2.792 -6.686 -9.081 -10.420 -11.247 -12.100 -12.989 -13.531 
17.77778 -2.299 -3.417 -6.479 -9.037 -10.490 -11.160 -12.079 -12.997 -13.456 
17.97980 -3.573 -2.758 -6.549 -8.978 -10.389 -11.125 -12.014 -12.847 -13.432 
18.18182 -1.187 -4.043 -6.780 -9.091 -10.241 -10.999 -11.952 -12.818 -13.403 
18.38384 0.828 -3.609 -6.273 -8.793 -10.204 -11.053 -11.982 -12.800 -13.430 
18.58586 -3.299 -3.465 -6.231 -8.712 -10.055 -10.915 -11.884 -12.688 -13.390 
18.78788 0.925 -2.500 -6.172 -8.625 -9.877 -10.790 -11.820 -12.704 -13.369 
18.98990 0.253 -3.318 -6.063 -8.746 -10.110 -10.979 -11.813 -12.690 -13.292 
19.19192 -3.555 -2.034 -5.901 -8.363 -9.912 -10.640 -11.709 -12.601 -13.241 
19.39394 1.525 -3.164 -5.958 -8.455 -9.952 -10.585 -11.650 -12.473 -13.142 
19.59596 1.605 -2.122 -5.652 -8.256 -9.843 -10.577 -11.582 -12.507 -13.055 
19.79798 1.667 -2.294 -5.563 -8.068 -9.686 -10.423 -11.486 -12.407 -13.007 
20.00000 1.746 -1.558 -5.127 -7.905 -9.675 -10.392 -11.383 -12.298 -12.960 
