# t[days] u g r i z y J H K
0.20202 20.696 7.543 2.254 nan nan nan nan nan nan 
0.40404 -12.282 -13.357 -12.995 -13.529 -13.276 -13.164 -13.135 -12.921 -11.312 
0.60606 -14.344 -14.262 -14.110 -14.695 -14.611 -14.670 -14.623 -14.253 -14.476 
0.80808 -14.083 -14.444 -14.775 -15.128 -15.429 -15.405 -15.010 -14.969 -14.314 
1.01010 -14.414 -14.577 -15.063 -15.434 -15.707 -15.471 -15.446 -15.108 -15.009 
1.21212 -14.127 -14.632 -15.137 -15.497 -15.753 -15.855 -15.538 -15.402 -15.137 
1.41414 -13.902 -14.435 -14.993 -15.509 -15.806 -15.771 -15.758 -15.484 -14.869 
1.61616 -13.529 -14.330 -14.897 -15.348 -15.690 -15.869 -15.694 -15.322 -14.875 
1.81818 -13.437 -14.219 -14.777 -15.267 -15.741 -16.020 -15.599 -15.394 -15.014 
2.02020 -13.262 -14.088 -14.758 -15.166 -15.735 -15.759 -15.607 -15.394 -14.999 
2.22222 -13.355 -13.886 -14.710 -15.132 -15.572 -15.738 -15.602 -15.291 -15.108 
2.42424 -12.776 -13.878 -14.528 -15.150 -15.536 -15.619 -15.569 -15.354 -15.085 
2.62626 -12.855 -13.673 -14.420 -14.979 -15.376 -15.566 -15.450 -15.494 -15.038 
2.82828 -12.745 -13.569 -14.406 -14.866 -15.250 -15.412 -15.366 -15.195 -15.014 
3.03030 -12.134 -13.361 -14.160 -14.767 -15.095 -15.357 -15.394 -15.205 -14.988 
3.23232 -11.931 -13.090 -14.078 -14.699 -15.019 -15.299 -15.326 -15.217 -15.110 
3.43434 -11.830 -13.018 -13.927 -14.546 -14.986 -15.250 -15.250 -15.209 -15.078 
3.63636 -11.790 -12.825 -13.647 -14.473 -14.934 -15.055 -15.150 -15.057 -15.017 
3.83838 -11.238 -12.541 -13.551 -14.345 -14.827 -14.989 -15.142 -14.990 -15.041 
4.04040 -10.901 -12.480 -13.462 -14.207 -14.698 -14.918 -15.068 -14.984 -14.855 
4.24242 -10.821 -12.514 -13.379 -14.179 -14.654 -14.829 -15.011 -14.951 -14.973 
4.44444 -10.268 -12.178 -13.286 -13.976 -14.475 -14.800 -14.907 -14.981 -14.835 
4.64646 -10.185 -11.982 -13.073 -13.837 -14.362 -14.710 -14.826 -14.887 -14.778 
4.84848 -9.708 -11.647 -13.004 -13.704 -14.210 -14.544 -14.699 -14.789 -14.823 
5.05051 -9.328 -11.453 -12.575 -13.614 -14.144 -14.404 -14.657 -14.782 -14.763 
5.25253 -9.079 -11.318 -12.597 -13.539 -14.103 -14.270 -14.555 -14.739 -14.638 
5.45455 -8.891 -10.969 -12.392 -13.320 -13.951 -14.250 -14.491 -14.639 -14.554 
5.65657 -8.630 -10.855 -12.320 -13.234 -13.890 -14.115 -14.424 -14.599 -14.584 
5.85859 -8.435 -10.661 -12.126 -13.058 -13.787 -14.052 -14.325 -14.525 -14.604 
6.06061 -8.600 -10.638 -11.937 -12.989 -13.628 -13.980 -14.312 -14.377 -14.516 
6.26263 -8.482 -10.087 -11.664 -12.750 -13.574 -13.840 -14.076 -14.431 -14.548 
6.46465 -7.273 -9.965 -11.579 -12.701 -13.369 -13.726 -14.126 -14.274 -14.536 
6.66667 -7.401 -9.918 -11.500 -12.523 -13.371 -13.614 -13.965 -14.326 -14.324 
6.86869 -7.669 -9.529 -11.212 -12.402 -13.182 -13.606 -13.936 -14.185 -14.296 
7.07071 -7.035 -9.626 -11.129 -12.360 -13.091 -13.428 -13.766 -14.165 -14.252 
7.27273 -6.167 -9.107 -10.984 -12.159 -12.988 -13.354 -13.725 -14.052 -14.161 
7.47475 -6.122 -9.206 -10.790 -12.027 -12.914 -13.225 -13.657 -13.927 -14.065 
7.67677 -6.178 -8.508 -10.733 -11.949 -12.619 -13.050 -13.498 -13.946 -14.093 
7.87879 -5.798 -8.373 -10.358 -11.873 -12.627 -12.947 -13.437 -13.829 -14.124 
