# t[days] u g r i z y J H K
0.20202 -11.826 -9.493 -8.821 -12.390 -11.523 -11.172 -6.501 -7.318 -4.287 
0.40404 -13.278 -13.190 -12.832 -13.339 -13.298 -13.394 -14.232 -12.700 -12.315 
0.60606 -13.750 -14.010 -14.381 -14.687 -14.953 -14.695 -14.475 -14.409 -13.570 
0.80808 -13.993 -14.359 -14.898 -15.315 -15.354 -15.510 -15.155 -14.759 -14.776 
1.01010 -14.047 -14.636 -15.117 -15.562 -15.923 -15.785 -15.640 -15.194 -15.122 
1.21212 -14.008 -14.591 -15.170 -15.720 -15.832 -15.893 -15.800 -15.400 -15.245 
1.41414 -13.861 -14.583 -15.052 -15.621 -15.888 -16.072 -15.907 -15.582 -15.441 
1.61616 -13.517 -14.282 -15.064 -15.524 -15.862 -16.034 -15.852 -15.613 -15.166 
1.81818 -13.098 -14.029 -14.730 -15.374 -15.789 -15.796 -15.812 -15.486 -15.088 
2.02020 -12.954 -13.964 -14.646 -15.163 -15.529 -15.591 -15.690 -15.517 -14.930 
2.22222 -13.036 -13.845 -14.526 -15.098 -15.559 -15.695 -15.593 -15.412 -15.013 
2.42424 -12.704 -13.636 -14.270 -15.008 -15.391 -15.577 -15.490 -15.304 -15.195 
2.62626 -12.556 -13.590 -14.253 -14.917 -15.245 -15.323 -15.349 -15.221 -15.088 
2.82828 -12.146 -13.183 -14.035 -14.615 -15.247 -15.278 -15.308 -15.202 -14.986 
3.03030 -12.068 -12.954 -13.830 -14.584 -15.137 -15.294 -15.257 -15.116 -14.965 
3.23232 -11.615 -12.909 -13.749 -14.464 -14.971 -15.149 -15.219 -15.211 -14.931 
3.43434 -11.709 -12.926 -13.671 -14.500 -14.852 -15.100 -15.213 -15.113 -14.819 
3.63636 -11.269 -12.512 -13.513 -14.287 -14.793 -14.950 -15.079 -15.013 -14.957 
3.83838 -10.823 -12.238 -13.249 -14.131 -14.538 -14.880 -14.935 -14.971 -14.845 
4.04040 -10.445 -11.995 -13.203 -13.982 -14.556 -14.708 -14.826 -14.844 -14.813 
4.24242 -10.579 -12.070 -13.058 -13.871 -14.444 -14.710 -14.800 -14.844 -14.712 
4.44444 -9.889 -11.610 -12.878 -13.627 -14.348 -14.529 -14.748 -14.713 -14.672 
4.64646 -9.513 -11.539 -12.849 -13.512 -14.182 -14.462 -14.587 -14.645 -14.580 
4.84848 -9.472 -11.423 -12.593 -13.472 -14.095 -14.453 -14.509 -14.679 -14.648 
5.05051 -9.270 -10.978 -12.396 -13.283 -14.005 -14.326 -14.429 -14.627 -14.674 
5.25253 -9.831 -11.043 -12.242 -13.271 -13.829 -14.181 -14.255 -14.558 -14.488 
5.45455 -8.781 -10.714 -11.992 -13.141 -13.714 -13.918 -14.355 -14.342 -14.573 
5.65657 -8.894 -10.570 -11.929 -12.952 -13.633 -13.872 -14.206 -14.294 -14.423 
5.85859 -8.223 -10.443 -11.703 -12.884 -13.423 -13.811 -14.086 -14.342 -14.418 
6.06061 -7.715 -10.228 -11.575 -12.682 -13.355 -13.727 -13.978 -14.233 -14.333 
6.26263 -7.223 -9.995 -11.614 -12.619 -13.302 -13.581 -13.947 -14.164 -14.160 
6.46465 -7.486 -9.935 -11.577 -12.394 -13.189 -13.516 -13.817 -14.110 -14.170 
6.66667 -7.072 -9.640 -11.231 -12.382 -13.121 -13.431 -13.800 -14.002 -14.204 
6.86869 -6.769 -9.232 -11.011 -12.324 -12.998 -13.293 -13.739 -13.921 -14.050 
7.07071 -6.506 -9.135 -10.896 -12.041 -12.935 -13.217 -13.588 -13.849 -13.986 
7.27273 -6.361 -8.713 -10.807 -11.984 -12.755 -13.074 -13.494 -13.759 -14.044 
7.47475 -6.185 -8.758 -10.476 -11.875 -12.654 -13.021 -13.341 -13.663 -13.929 
7.67677 -6.068 -8.461 -10.528 -11.796 -12.636 -12.906 -13.247 -13.591 -13.784 
7.87879 -5.722 -8.388 -10.245 -11.623 -12.482 -12.854 -13.305 -13.569 -13.671 
8.08081 -5.116 -8.103 -10.097 -11.501 -12.385 -12.725 -13.052 -13.473 -13.771 
8.28283 -5.659 -7.785 -9.925 -11.301 -12.184 -12.631 -13.010 -13.477 -13.655 
8.48485 -5.366 -7.672 -9.776 -11.183 -12.149 -12.569 -12.923 -13.316 -13.466 
8.68687 -4.711 -7.395 -9.636 -11.243 -12.015 -12.464 -12.868 -13.271 -13.510 
8.88889 -4.434 -7.064 -9.539 -10.957 -11.911 -12.425 -12.747 -13.142 -13.366 
9.09091 -4.251 -7.024 -9.382 -10.914 -11.863 -12.311 -12.786 -13.118 -13.393 
9.29293 -3.904 -6.924 -9.467 -10.892 -11.820 -12.226 -12.702 -13.008 -13.304 
9.49495 -3.870 -6.738 -9.121 -10.723 -11.686 -12.123 -12.575 -12.940 -13.196 
9.69697 -4.640 -6.587 -8.947 -10.679 -11.748 -12.085 -12.494 -12.964 -13.195 
9.89899 -3.347 -6.587 -9.088 -10.733 -11.560 -12.036 -12.479 -12.897 -13.222 
10.10101 -3.543 -6.111 -9.138 -10.413 -11.435 -11.935 -12.395 -12.835 -13.213 
10.30303 -3.499 -6.089 -8.576 -10.406 -11.308 -11.900 -12.340 -12.759 -13.042 
10.50505 -4.026 -6.045 -8.543 -10.342 -11.310 -11.802 -12.253 -12.736 -13.069 
10.70707 -3.774 -5.906 -8.449 -10.150 -11.316 -11.792 -12.256 -12.699 -13.073 
10.90909 -2.693 -5.603 -8.387 -10.116 -11.178 -11.690 -12.217 -12.664 -12.920 
11.11111 -2.488 -5.673 -8.296 -10.105 -11.135 -11.640 -12.144 -12.624 -12.915 
11.31313 -2.437 -5.352 -8.098 -9.988 -11.051 -11.609 -12.125 -12.574 -12.866 
11.51515 -2.284 -5.209 -7.892 -9.953 -11.074 -11.500 -12.101 -12.521 -12.766 
11.71717 -3.103 -5.218 -7.953 -9.853 -10.965 -11.464 -12.034 -12.531 -12.794 
11.91919 -2.090 -4.922 -7.853 -9.818 -10.957 -11.452 -12.029 -12.434 -12.794 
12.12121 -1.961 -4.581 -7.412 -9.652 -10.833 -11.401 -11.938 -12.417 -12.768 
12.32323 -1.850 -5.165 -7.695 -9.572 -10.837 -11.279 -11.917 -12.418 -12.706 
12.52525 -1.954 -4.458 -7.527 -9.603 -10.727 -11.294 -11.863 -12.293 -12.678 
12.72727 -1.660 -4.360 -7.420 -9.528 -10.655 -11.270 -11.822 -12.290 -12.690 
12.92929 -2.165 -4.950 -7.471 -9.580 -10.648 -11.196 -11.787 -12.266 -12.624 
13.13131 -3.409 -4.155 -7.341 -9.312 -10.590 -11.119 -11.734 -12.211 -12.540 
13.33333 -1.252 -3.992 -7.077 -9.348 -10.528 -11.113 -11.715 -12.208 -12.555 
13.53535 -0.988 -4.316 -6.963 -9.192 -10.351 -11.137 -11.689 -12.226 -12.516 
13.73737 -0.849 -3.730 -7.029 -9.107 -10.368 -11.017 -11.649 -12.117 -12.517 
13.93939 -0.723 -3.540 -6.906 -9.086 -10.341 -10.999 -11.559 -12.130 -12.404 
14.14141 -1.524 -3.262 -7.040 -9.046 -10.281 -10.912 -11.515 -12.077 -12.462 
14.34343 -0.420 -3.330 -6.891 -8.915 -10.290 -10.874 -11.509 -11.999 -12.442 
14.54545 -0.237 -3.491 -6.747 -8.871 -10.200 -10.731 -11.463 -11.997 -12.342 
14.74747 -3.004 -3.290 -6.677 -9.054 -10.072 -10.777 -11.404 -11.962 -12.391 
14.94949 0.115 -2.767 -6.361 -8.704 -10.106 -10.668 -11.384 -11.955 -12.286 
15.15152 0.169 -2.914 -6.356 -8.752 -10.070 -10.724 -11.330 -11.882 -12.250 
15.35354 -1.787 -3.118 -6.110 -8.619 -9.926 -10.616 -11.263 -11.895 -12.250 
15.55556 0.460 -2.322 -6.200 -8.532 -9.833 -10.621 -11.303 -11.824 -12.227 
15.75758 0.516 -2.318 -6.108 -8.433 -9.734 -10.457 -11.183 -11.786 -12.170 
15.95960 0.477 -2.953 -6.086 -8.396 -9.769 -10.473 -11.170 -11.722 -12.134 
16.16162 0.860 -2.215 -5.777 -8.287 -9.699 -10.338 -11.139 -11.724 -12.098 
16.36364 1.011 -2.477 -6.025 -8.346 -9.657 -10.261 -11.074 -11.698 -12.097 
16.56566 0.983 -2.177 -5.771 -8.148 -9.483 -10.255 -11.043 -11.637 -12.040 
16.76768 1.403 -2.372 -5.715 -8.037 -9.527 -10.178 -10.944 -11.571 -11.978 
16.96970 0.669 -1.923 -5.901 -8.102 -9.527 -10.146 -10.915 -11.563 -12.076 
17.17172 1.582 -1.692 -5.490 -8.027 -9.356 -10.081 -10.875 -11.524 -11.974 
17.37374 1.681 -1.774 -5.331 -7.902 -9.324 -10.093 -10.801 -11.489 -11.966 
17.57576 1.996 -1.368 -5.224 -7.809 -9.333 -9.982 -10.787 -11.414 -11.922 
17.77778 -0.357 -1.280 -5.281 -7.878 -9.216 -9.857 -10.731 -11.448 -11.879 
17.97980 2.289 -0.994 -4.909 -7.957 -9.250 -9.934 -10.703 -11.341 -11.755 
18.18182 2.446 -1.829 -5.067 -7.704 -9.074 -9.862 -10.600 -11.330 -11.727 
18.38384 2.491 -1.116 -5.547 -7.552 -9.114 -9.736 -10.609 -11.273 -11.684 
18.58586 -1.980 -2.012 -5.143 -7.540 -8.939 -9.684 -10.524 -11.236 -11.707 
18.78788 2.810 -1.101 -5.125 -7.473 -8.919 -9.572 -10.504 -11.237 -11.702 
18.98990 -1.393 -2.064 -4.635 -7.276 -8.812 -9.567 -10.419 -11.138 -11.606 
19.19192 3.076 -0.670 -4.766 -7.309 -8.586 -9.399 -10.447 -11.094 -11.629 
19.39394 -2.228 -0.956 -4.961 -7.278 -8.742 -9.447 -10.281 -11.039 -11.504 
19.59596 1.403 -0.279 -4.456 -7.071 -8.473 -9.311 -10.287 -10.963 -11.424 
19.79798 3.422 -0.856 -4.227 -6.963 -8.486 -9.190 -10.103 -10.803 -11.302 
20.00000 3.601 -0.003 -3.942 -6.706 -8.304 -9.079 -9.981 -10.769 -11.244 
