# t[days] u g r i z y J H K
0.20202 60.030 135.054 193.277 nan nan nan nan nan nan 
0.40404 -12.142 -11.725 -12.230 -13.737 -13.128 -12.997 -12.188 -11.311 -7.999 
0.60606 -14.034 -13.842 -14.343 -14.161 -14.260 -13.680 -14.551 -13.097 -12.690 
0.80808 -14.308 -13.871 -14.208 -14.756 -14.714 -14.822 -15.072 -14.446 -12.791 
1.01010 -14.605 -14.743 -14.722 -15.359 -15.331 -15.763 -15.201 -15.269 -14.752 
1.21212 -14.618 -14.821 -15.043 -15.442 -15.654 -16.032 -15.605 -14.945 -15.002 
1.41414 -14.624 -15.041 -15.258 -15.729 -15.952 -15.995 -15.964 -15.425 -14.868 
1.61616 -14.515 -14.913 -15.312 -15.599 -16.074 -16.008 -15.874 -15.426 -15.263 
1.81818 -14.488 -14.692 -14.970 -15.441 -15.811 -15.909 -15.809 -15.409 -14.885 
2.02020 -13.880 -14.552 -15.047 -15.541 -15.858 -15.944 -15.750 -15.547 -15.016 
2.22222 -13.921 -14.389 -14.884 -15.426 -15.800 -15.997 -15.812 -15.467 -15.481 
2.42424 -13.813 -14.160 -14.835 -15.284 -15.628 -15.808 -15.670 -15.558 -15.391 
2.62626 -13.378 -14.202 -14.838 -15.310 -15.531 -15.863 -15.884 -15.642 -15.230 
2.82828 -13.665 -14.007 -14.743 -15.194 -15.733 -15.808 -15.783 -15.546 -15.238 
3.03030 -12.949 -13.784 -14.498 -15.166 -15.489 -15.694 -15.690 -15.505 -15.498 
3.23232 -13.053 -13.914 -14.512 -14.993 -15.465 -15.669 -15.624 -15.492 -15.313 
3.43434 -12.744 -13.614 -14.320 -14.985 -15.339 -15.530 -15.650 -15.403 -15.330 
3.63636 -12.483 -13.478 -14.436 -14.876 -15.315 -15.477 -15.500 -15.453 -15.136 
3.83838 -12.282 -13.416 -14.325 -14.855 -15.223 -15.467 -15.560 -15.485 -15.452 
4.04040 -12.197 -13.262 -14.116 -14.797 -15.218 -15.395 -15.522 -15.377 -15.203 
4.24242 -11.935 -13.276 -13.981 -14.645 -15.042 -15.429 -15.456 -15.346 -15.289 
4.44444 -11.951 -13.161 -13.936 -14.746 -15.156 -15.244 -15.492 -15.378 -15.309 
4.64646 -11.565 -12.920 -13.861 -14.568 -14.815 -15.052 -15.301 -15.348 -15.274 
4.84848 -11.098 -12.454 -13.501 -14.468 -14.871 -15.097 -15.273 -15.311 -15.117 
5.05051 -10.838 -12.509 -13.543 -14.297 -14.839 -15.036 -15.259 -15.293 -15.135 
5.25253 -10.760 -12.402 -13.539 -14.221 -14.675 -14.995 -15.169 -15.173 -15.085 
5.45455 -10.207 -12.256 -13.377 -14.124 -14.620 -14.837 -15.081 -15.217 -15.123 
5.65657 -10.065 -12.062 -13.092 -14.012 -14.505 -14.750 -15.095 -15.083 -15.178 
5.85859 -9.652 -11.816 -13.005 -13.978 -14.481 -14.635 -14.975 -15.073 -15.199 
6.06061 -9.248 -11.711 -12.966 -13.840 -14.343 -14.690 -15.030 -15.082 -14.970 
6.26263 -9.722 -11.412 -12.783 -13.702 -14.249 -14.601 -14.807 -15.004 -15.042 
6.46465 -9.394 -11.404 -12.644 -13.531 -14.126 -14.476 -14.811 -15.025 -15.044 
6.66667 -8.882 -11.117 -12.486 -13.507 -14.125 -14.508 -14.699 -14.875 -14.954 
6.86869 -8.758 -11.100 -12.333 -13.443 -14.200 -14.283 -14.761 -14.909 -14.933 
