# t[days] u g r i z y J H K
0.20202 37.840 7.125 11.317 nan nan nan nan nan nan 
0.40404 -13.092 -12.989 -13.515 -13.501 -14.144 -13.734 -14.890 -14.001 -12.360 
0.60606 -14.750 -14.342 -14.644 -15.015 -15.410 -15.620 -15.122 -14.381 -13.926 
0.80808 -15.079 -15.225 -15.527 -15.748 -16.017 -16.043 -15.772 -15.437 -14.996 
1.01010 -15.139 -15.263 -15.604 -16.025 -16.363 -16.618 -16.275 -15.732 -14.961 
1.21212 -15.254 -15.380 -15.730 -16.035 -16.446 -16.661 -16.283 -15.776 -15.210 
1.41414 -15.051 -15.297 -15.762 -16.117 -16.534 -16.699 -16.348 -15.968 -15.653 
1.61616 -14.911 -15.354 -15.731 -16.136 -16.581 -16.667 -16.426 -16.017 -15.602 
1.81818 -14.765 -15.302 -15.727 -16.153 -16.480 -16.671 -16.432 -16.052 -15.669 
2.02020 -14.691 -15.305 -15.704 -16.152 -16.437 -16.663 -16.515 -16.050 -15.815 
2.22222 -14.500 -15.110 -15.649 -16.100 -16.469 -16.607 -16.463 -16.103 -15.719 
2.42424 -14.250 -14.965 -15.540 -16.016 -16.444 -16.598 -16.440 -16.141 -15.797 
2.62626 -13.923 -14.736 -15.447 -15.968 -16.358 -16.599 -16.406 -16.216 -15.795 
2.82828 -13.781 -14.682 -15.435 -15.947 -16.304 -16.536 -16.396 -16.101 -15.801 
3.03030 -13.606 -14.505 -15.296 -15.821 -16.227 -16.484 -16.356 -16.102 -15.909 
3.23232 -13.271 -14.358 -15.155 -15.817 -16.180 -16.398 -16.281 -16.121 -15.816 
3.43434 -12.832 -14.207 -15.083 -15.649 -16.095 -16.250 -16.241 -16.143 -15.909 
3.63636 -12.694 -14.069 -14.998 -15.601 -16.012 -16.209 -16.228 -16.081 -15.787 
3.83838 -12.527 -13.886 -14.831 -15.460 -15.889 -16.072 -16.141 -16.037 -15.745 
4.04040 -12.030 -13.703 -14.692 -15.356 -15.850 -16.063 -16.085 -15.967 -15.688 
4.24242 -11.772 -13.462 -14.555 -15.289 -15.648 -15.973 -15.995 -15.950 -15.745 
4.44444 -11.395 -13.145 -14.343 -15.136 -15.604 -15.802 -15.971 -15.774 -15.700 
4.64646 -11.101 -13.045 -14.256 -15.063 -15.513 -15.757 -15.834 -15.837 -15.619 
4.84848 -10.649 -12.808 -14.049 -14.900 -15.428 -15.617 -15.793 -15.747 -15.604 
5.05051 -10.619 -12.671 -13.899 -14.737 -15.260 -15.560 -15.726 -15.718 -15.630 
5.25253 -10.157 -12.414 -13.693 -14.671 -15.156 -15.464 -15.588 -15.624 -15.494 
5.45455 -10.022 -12.242 -13.519 -14.451 -15.047 -15.321 -15.499 -15.608 -15.525 
5.65657 -9.511 -11.754 -13.304 -14.317 -14.934 -15.139 -15.396 -15.514 -15.487 
5.85859 -9.605 -11.645 -13.244 -14.251 -14.843 -15.115 -15.271 -15.423 -15.396 
6.06061 -8.840 -11.481 -13.112 -14.052 -14.649 -14.903 -15.228 -15.338 -15.411 
6.26263 -8.671 -11.303 -12.865 -13.962 -14.570 -14.896 -15.129 -15.263 -15.333 
6.46465 -8.330 -10.954 -12.662 -13.763 -14.440 -14.673 -15.031 -15.268 -15.241 
6.66667 -7.600 -10.702 -12.521 -13.653 -14.292 -14.569 -14.961 -15.155 -15.201 
6.86869 -7.347 -10.586 -12.372 -13.490 -14.186 -14.514 -14.824 -15.005 -15.147 
7.07071 -6.565 -10.230 -12.167 -13.317 -14.079 -14.348 -14.767 -14.938 -15.017 
7.27273 -6.387 -9.909 -11.960 -13.230 -13.946 -14.268 -14.633 -14.931 -14.911 
7.47475 -6.893 -9.768 -11.861 -13.093 -13.776 -14.104 -14.518 -14.869 -14.910 
7.67677 -5.783 -9.783 -11.614 -12.887 -13.654 -13.983 -14.435 -14.701 -14.893 
7.87879 -5.688 -9.283 -11.325 -12.758 -13.516 -13.874 -14.366 -14.657 -14.753 
8.08081 -5.561 -9.103 -11.237 -12.677 -13.409 -13.772 -14.256 -14.602 -14.707 
8.28283 -4.791 -8.839 -11.042 -12.563 -13.234 -13.695 -14.126 -14.499 -14.705 
8.48485 -5.160 -8.981 -10.997 -12.424 -13.161 -13.565 -14.034 -14.482 -14.618 
8.68687 -5.428 -8.399 -10.816 -12.238 -13.038 -13.414 -13.965 -14.462 -14.616 
8.88889 -4.283 -8.369 -10.681 -12.180 -12.864 -13.423 -13.914 -14.287 -14.563 
9.09091 -5.429 -8.005 -10.479 -11.945 -12.792 -13.152 -13.828 -14.197 -14.555 
9.29293 -4.537 -7.820 -10.287 -11.828 -12.756 -13.175 -13.738 -14.153 -14.440 
9.49495 -4.167 -7.725 -10.113 -11.801 -12.573 -13.081 -13.680 -14.112 -14.343 
9.69697 -4.267 -7.584 -10.015 -11.500 -12.500 -12.981 -13.565 -14.027 -14.334 
