# t[days] u g r i z y J H K
0.20202 112.358 104.598 nan nan nan nan nan nan nan 
0.40404 -13.824 -13.335 -13.998 -14.083 -13.530 -11.629 -12.858 -11.800 -12.190 
0.60606 -13.364 -13.492 -13.379 -14.688 -15.062 -14.649 -14.841 -14.698 -12.985 
0.80808 -14.737 -14.777 -15.278 -15.612 -15.767 -16.013 -15.858 -15.453 -14.470 
1.01010 -15.237 -15.261 -15.539 -15.891 -16.407 -16.524 -16.155 -15.109 -15.365 
1.21212 -15.833 -15.687 -15.993 -16.151 -16.468 -16.454 -16.399 -15.907 -15.673 
1.41414 -15.818 -15.831 -15.931 -16.270 -16.512 -16.680 -16.307 -15.860 -15.560 
1.61616 -15.536 -15.565 -15.706 -16.077 -16.507 -16.692 -16.262 -15.881 -15.378 
1.81818 -15.571 -15.799 -15.937 -16.273 -16.535 -16.628 -16.510 -15.975 -15.572 
2.02020 -15.423 -15.453 -15.799 -16.231 -16.503 -16.748 -16.410 -16.014 -15.780 
2.22222 -15.210 -15.458 -15.832 -16.225 -16.579 -16.631 -16.404 -16.248 -15.776 
2.42424 -15.181 -15.548 -15.774 -16.252 -16.585 -16.715 -16.496 -16.008 -15.850 
2.62626 -15.113 -15.524 -15.884 -16.184 -16.524 -16.688 -16.491 -16.283 -15.657 
2.82828 -14.843 -15.327 -15.763 -16.118 -16.495 -16.764 -16.510 -16.261 -15.863 
3.03030 -14.937 -15.407 -15.848 -16.218 -16.561 -16.666 -16.576 -16.290 -15.950 
3.23232 -14.263 -15.107 -15.673 -16.130 -16.478 -16.721 -16.541 -16.280 -15.889 
3.43434 -14.201 -15.151 -15.584 -16.060 -16.459 -16.720 -16.618 -16.366 -15.973 
3.63636 -14.198 -15.010 -15.560 -16.054 -16.469 -16.690 -16.598 -16.328 -15.942 
3.83838 -13.926 -14.800 -15.584 -16.081 -16.444 -16.671 -16.593 -16.296 -16.103 
4.04040 -13.803 -14.771 -15.516 -16.085 -16.424 -16.633 -16.598 -16.452 -15.962 
4.24242 -13.536 -14.750 -15.406 -15.992 -16.360 -16.608 -16.604 -16.394 -16.129 
4.44444 -13.177 -14.441 -15.282 -15.870 -16.275 -16.526 -16.565 -16.365 -16.227 
4.64646 -13.131 -14.444 -15.219 -15.836 -16.358 -16.594 -16.493 -16.303 -16.091 
4.84848 -13.074 -14.363 -15.180 -15.781 -16.266 -16.486 -16.524 -16.447 -16.238 
5.05051 -12.554 -14.136 -15.098 -15.692 -16.230 -16.470 -16.493 -16.407 -16.271 
5.25253 -12.432 -14.137 -14.909 -15.675 -16.154 -16.460 -16.518 -16.341 -16.223 
5.45455 -12.456 -13.826 -14.896 -15.590 -16.063 -16.317 -16.429 -16.438 -16.291 
5.65657 -11.783 -13.615 -14.711 -15.480 -15.932 -16.280 -16.392 -16.318 -16.182 
5.85859 -11.351 -13.489 -14.600 -15.428 -15.921 -16.197 -16.369 -16.348 -16.087 
6.06061 -11.289 -13.455 -14.585 -15.296 -15.844 -16.143 -16.290 -16.364 -16.088 
6.26263 -11.040 -13.068 -14.369 -15.264 -15.767 -16.052 -16.256 -16.281 -16.173 
6.46465 -10.819 -12.994 -14.310 -15.158 -15.708 -15.945 -16.225 -16.224 -16.097 
6.66667 -10.813 -12.767 -14.154 -15.002 -15.506 -15.942 -16.127 -16.178 -16.054 
6.86869 -10.091 -12.479 -14.047 -14.918 -15.565 -15.829 -16.092 -16.218 -16.073 
7.07071 -9.932 -12.283 -13.808 -14.916 -15.471 -15.863 -16.030 -16.109 -16.009 
7.27273 -9.673 -12.114 -13.739 -14.715 -15.370 -15.686 -15.922 -16.122 -15.966 
7.47475 -9.812 -12.070 -13.690 -14.556 -15.371 -15.669 -15.902 -15.983 -15.970 
