# t[days] u g r i z y J H K
0.20202 27.954 128.341 nan nan nan nan nan nan nan 
0.40404 -11.331 -11.777 -12.901 -13.488 -13.320 -13.412 -11.363 -7.703 -13.118 
0.60606 -12.793 -13.189 -13.742 -14.278 -14.264 -13.561 -13.547 -12.394 -10.194 
0.80808 -13.663 -13.957 -14.143 -14.380 -14.611 -14.571 -14.044 -12.746 -11.964 
1.01010 -13.759 -14.175 -14.397 -14.581 -14.786 -14.675 -14.197 -13.410 -13.154 
1.21212 -13.716 -14.120 -14.501 -14.740 -14.876 -14.670 -14.518 -14.263 -13.604 
1.41414 -13.364 -13.873 -14.209 -14.631 -14.593 -14.425 -14.371 -14.188 -13.916 
1.61616 -13.287 -13.652 -14.286 -14.617 -14.727 -14.610 -14.344 -14.260 -13.856 
1.81818 -12.968 -13.510 -13.877 -14.539 -14.579 -14.634 -14.482 -14.007 -13.914 
2.02020 -12.465 -13.410 -13.850 -14.426 -14.548 -14.577 -14.419 -14.193 -13.830 
2.22222 -12.185 -13.172 -13.945 -14.328 -14.459 -14.342 -14.540 -14.267 -13.983 
2.42424 -11.971 -12.691 -13.423 -14.164 -14.228 -14.482 -14.314 -14.497 -13.620 
2.62626 -11.524 -12.457 -13.214 -13.934 -14.070 -14.428 -14.344 -14.220 -13.981 
2.82828 -11.224 -12.261 -12.984 -13.895 -14.167 -14.224 -14.412 -14.202 -13.740 
3.03030 -10.989 -11.920 -12.885 -13.719 -14.028 -14.122 -14.176 -14.217 -14.082 
3.23232 -10.864 -11.746 -12.762 -13.512 -13.823 -14.012 -14.236 -14.304 -13.960 
3.43434 -10.532 -11.544 -12.327 -13.331 -13.714 -13.966 -14.323 -14.226 -14.369 
3.63636 -10.260 -11.155 -12.308 -13.276 -13.587 -13.720 -14.106 -14.241 -13.981 
3.83838 -10.007 -10.879 -11.866 -12.909 -13.456 -13.735 -14.046 -14.157 -14.003 
4.04040 -9.790 -10.629 -11.659 -12.777 -13.442 -13.612 -13.959 -14.080 -14.167 
4.24242 -9.585 -10.368 -11.541 -12.756 -13.220 -13.392 -13.904 -14.257 -14.025 
4.44444 -9.305 -10.206 -11.318 -12.458 -12.984 -13.263 -13.756 -14.069 -13.966 
4.64646 -9.084 -10.143 -10.963 -12.220 -12.838 -13.215 -13.694 -13.881 -13.900 
4.84848 -8.907 -9.829 -10.922 -12.117 -12.845 -13.155 -13.604 -14.072 -13.903 
5.05051 -8.676 -9.518 -10.641 -12.118 -12.740 -13.109 -13.535 -13.867 -13.990 
5.25253 -8.477 -9.323 -10.502 -11.768 -12.482 -12.829 -13.489 -13.797 -13.996 
5.45455 -8.283 -9.161 -10.343 -11.501 -12.459 -12.707 -13.367 -13.912 -13.847 
5.65657 -8.250 -9.084 -10.024 -11.409 -12.187 -12.555 -13.313 -13.804 -13.802 
5.85859 -7.888 -8.807 -9.778 -11.092 -12.132 -12.364 -13.318 -13.609 -13.870 
6.06061 -7.708 -8.651 -9.502 -11.014 -12.053 -12.378 -13.015 -13.557 -13.758 
6.26263 -7.512 -8.444 -9.440 -10.965 -11.758 -12.219 -12.950 -13.506 -13.682 
6.46465 -7.293 -8.248 -9.188 -10.643 -11.716 -12.234 -12.884 -13.517 -13.767 
6.66667 -7.080 -8.056 -9.058 -10.423 -11.658 -11.823 -12.617 -13.380 -13.595 
6.86869 -6.887 -7.875 -8.808 -10.134 -11.390 -11.972 -12.789 -13.332 -13.702 
7.07071 -6.686 -7.707 -8.557 -10.090 -11.363 -11.772 -12.518 -13.096 -13.560 
7.27273 -6.512 -7.592 -8.530 -10.112 -11.014 -11.564 -12.422 -13.200 -13.749 
7.47475 -6.289 -7.363 -8.178 -9.745 -10.945 -11.429 -12.422 -13.161 -13.502 
7.67677 -6.256 -7.200 -8.067 -9.549 -10.752 -11.461 -12.366 -13.143 -13.405 
7.87879 -5.917 -7.019 -7.981 -9.551 -10.577 -11.126 -12.059 -13.092 -13.538 
8.08081 -5.747 -6.848 -7.722 -9.387 -10.836 -10.935 -12.042 -12.965 -13.425 
8.28283 -5.558 -6.679 -7.629 -9.309 -10.216 -10.911 -11.993 -12.952 -13.141 
8.48485 -5.416 -6.545 -7.545 -9.065 -10.189 -10.954 -11.901 -12.775 -13.269 
8.68687 -5.271 -6.405 -7.362 -9.183 -10.180 -10.600 -11.817 -12.630 -13.140 
8.88889 -5.080 -6.249 -7.261 -8.753 -10.124 -10.785 -11.693 -12.672 -13.095 
9.09091 -4.918 -6.111 -6.959 -8.441 -10.232 -10.462 -11.694 -12.607 -13.272 
9.29293 -4.751 -5.945 -6.968 -8.540 -9.671 -10.228 -11.494 -12.542 -13.237 
9.49495 -4.553 -5.789 -6.988 -8.418 -9.897 -10.701 -11.473 -12.459 -13.012 
9.69697 -4.362 -5.679 -6.497 -8.178 -9.567 -10.204 -11.394 -12.364 -13.014 
9.89899 -4.212 -5.550 -6.632 -8.171 -9.313 -10.373 -11.232 -12.367 -13.018 
10.10101 -4.022 -5.407 -6.322 -7.998 -9.120 -9.796 -11.206 -12.124 -12.861 
10.30303 -3.807 -5.304 -6.233 -7.674 -9.348 -9.770 -11.023 -12.170 -12.971 
10.50505 -3.638 -5.148 -5.967 -7.909 -8.946 -9.865 -11.059 -12.074 -12.818 
10.70707 -3.499 -5.062 -6.011 -7.344 -8.978 -9.696 -11.007 -11.970 -12.731 
10.90909 -3.312 -4.918 -6.018 -7.613 -8.946 -9.396 -10.802 -11.923 -12.633 
11.11111 -3.142 -4.816 -5.810 -7.203 -8.706 -9.436 -10.599 -11.855 -12.670 
11.31313 -2.968 -4.702 -5.488 -7.049 -8.476 -9.444 -10.617 -11.857 -12.703 
11.51515 -2.898 -4.616 -5.643 -7.380 -8.842 -9.116 -10.516 -11.771 -12.486 
11.71717 -2.753 -4.566 -5.445 -7.150 -8.469 -9.035 -10.614 -11.713 -12.428 
11.91919 -2.596 -4.402 -5.421 -6.867 -8.424 -9.138 -10.330 -11.793 -12.356 
12.12121 -2.642 -4.434 -5.290 -7.013 -8.152 -9.228 -10.208 -11.518 -12.231 
12.32323 -2.355 -4.196 -5.303 -6.698 -8.371 -8.987 -10.243 -11.498 -12.341 
12.52525 -2.326 -4.063 -4.941 -6.563 -8.166 -9.220 -10.231 -11.502 -12.457 
12.72727 -2.162 -3.991 -4.977 -6.178 -8.005 -8.667 -10.052 -11.393 -12.286 
12.92929 -2.092 -3.863 -4.843 -6.300 -7.890 -8.625 -9.925 -11.374 -12.188 
13.13131 -1.988 -3.903 -5.106 -6.078 -7.850 -8.499 -9.937 -11.298 -12.099 
13.33333 -1.923 -3.702 -4.689 -6.385 -7.773 -8.580 -9.776 -11.077 -11.974 
13.53535 -1.782 -3.588 -4.570 -6.229 -7.624 -8.461 -9.969 -11.148 -12.190 
13.73737 -1.664 -3.477 -4.404 -6.252 -7.685 -8.307 -9.766 -10.976 -12.013 
13.93939 -1.512 -3.368 -4.396 -6.138 -7.532 -8.575 -9.798 -11.026 -11.968 
14.14141 -1.428 -3.263 -4.408 -5.713 -7.317 -8.264 -9.639 -11.022 -11.919 
14.34343 -3.516 -3.361 -4.167 -5.961 -7.217 -8.120 -9.440 -10.950 -11.815 
14.54545 -1.147 -3.040 -4.026 -5.623 -7.478 -8.158 -9.436 -10.800 -11.852 
14.74747 -1.038 -2.973 -3.997 -5.430 -7.217 -8.023 -9.404 -10.769 -11.693 
14.94949 -0.903 -2.882 -4.056 -5.762 -7.049 -7.773 -9.413 -10.793 -11.710 
15.15152 -0.743 -2.786 -3.839 -5.457 -7.114 -7.714 -9.247 -10.711 -11.634 
15.35354 -0.601 -2.674 -3.739 -5.572 -7.255 -7.818 -9.328 -10.647 -11.606 
15.55556 -0.432 -2.561 -4.264 -5.712 -7.108 -7.789 -9.267 -10.627 -11.526 
15.75758 -1.866 -2.477 -3.524 -5.326 -6.937 -7.849 -9.143 -10.449 -11.544 
15.95960 -0.076 -2.293 -3.450 -5.031 -6.778 -7.667 -9.128 -10.412 -11.395 
16.16162 -0.054 -2.259 -3.340 -4.945 -6.759 -7.773 -9.120 -10.431 -11.376 
16.36364 0.040 -2.208 -3.294 -5.325 -6.594 -7.610 -8.989 -10.457 -11.363 
16.56566 0.244 -2.323 -3.400 -4.956 -6.617 -7.533 -8.973 -10.428 -11.310 
16.76768 0.020 -1.875 -3.190 -5.054 -6.962 -7.688 -8.905 -10.254 -11.232 
16.96970 -1.950 -1.799 -3.254 -4.687 -6.582 -7.371 -8.794 -10.236 -11.231 
17.17172 0.715 -2.027 -2.927 -4.991 -6.542 -7.362 -8.737 -10.105 -11.187 
17.37374 0.769 -1.627 -2.802 -4.517 -6.684 -7.408 -8.743 -10.099 -11.218 
17.57576 -1.476 -1.462 -3.098 -4.239 -6.252 -7.479 -8.720 -10.101 -11.210 
17.77778 1.179 -1.313 -2.618 -4.367 -6.558 -7.137 -8.605 -9.907 -10.935 
17.97980 1.046 -2.015 -2.547 -4.480 -6.265 -7.185 -8.667 -9.980 -10.952 
18.18182 1.101 -1.086 -2.569 -4.823 -6.300 -7.364 -8.501 -9.963 -10.953 
18.38384 1.386 -0.962 -2.294 -4.304 -6.302 -7.187 -8.475 -9.938 -10.840 
18.58586 1.647 -0.854 -2.384 -4.414 -6.388 -7.293 -8.441 -9.809 -10.952 
18.78788 1.634 -0.744 -2.079 -4.205 -6.138 -7.011 -8.448 -9.991 -10.752 
18.98990 1.750 -0.607 -2.107 -4.445 -6.128 -7.018 -8.273 -9.645 -10.800 
19.19192 2.138 -0.670 -2.137 -3.962 -6.157 -7.101 -8.319 -9.708 -10.628 
19.39394 -1.027 -0.414 -1.955 -3.981 -5.942 -6.817 -8.261 -9.545 -10.686 
19.59596 0.116 -0.432 -1.791 -4.048 -6.099 -6.796 -8.228 -9.479 -10.543 
