# t[days] u g r i z y J H K
0.20202 108.337 103.184 nan nan nan nan nan nan nan 
0.40404 -12.417 -11.056 -12.358 -14.092 -13.663 -13.401 -13.652 -12.865 -11.618 
0.60606 -13.599 -13.293 -13.730 -13.688 -13.608 -14.467 -13.375 -14.354 -13.007 
0.80808 -14.105 -14.148 -14.310 -14.732 -14.558 -14.662 -13.730 -14.118 -14.070 
1.01010 -15.295 -15.074 -15.088 -14.905 -15.236 -15.017 -15.124 -14.515 -14.107 
1.21212 -14.675 -14.641 -14.689 -14.902 -15.139 -15.534 -15.141 -14.880 -14.164 
1.41414 -14.793 -14.820 -14.706 -14.946 -15.051 -15.295 -15.237 -14.452 -14.259 
1.61616 -14.923 -14.849 -14.827 -14.973 -15.040 -14.985 -15.007 -14.690 -14.401 
1.81818 -14.220 -14.343 -14.514 -14.798 -15.028 -15.170 -15.161 -14.859 -14.484 
2.02020 -13.810 -14.230 -14.427 -14.897 -14.900 -15.298 -15.162 -15.016 -14.138 
2.22222 -13.972 -14.133 -14.529 -14.823 -15.011 -15.079 -15.048 -14.846 -14.373 
2.42424 -13.842 -14.022 -14.330 -14.724 -14.983 -15.264 -15.131 -14.754 -14.483 
2.62626 -13.468 -13.944 -14.471 -14.798 -15.139 -15.216 -15.126 -14.839 -14.454 
2.82828 -13.148 -13.767 -14.199 -14.607 -14.824 -15.228 -15.141 -14.878 -14.321 
3.03030 -13.259 -13.855 -14.220 -14.640 -14.913 -15.066 -14.986 -14.858 -14.664 
3.23232 -12.909 -13.539 -14.235 -14.563 -14.885 -15.007 -15.095 -14.921 -14.780 
3.43434 -12.532 -13.441 -14.328 -14.614 -15.009 -15.161 -15.283 -14.959 -14.684 
3.63636 -12.466 -13.415 -14.013 -14.633 -14.857 -15.007 -15.120 -14.955 -14.738 
3.83838 -12.435 -13.196 -13.964 -14.401 -14.752 -15.006 -15.052 -15.055 -14.744 
4.04040 -11.663 -13.144 -13.712 -14.387 -14.664 -14.814 -15.110 -15.032 -14.809 
4.24242 -12.028 -12.940 -13.656 -14.335 -14.665 -14.814 -15.044 -15.058 -14.735 
4.44444 -11.398 -12.814 -13.690 -14.311 -14.573 -14.806 -15.138 -15.001 -14.801 
4.64646 -11.097 -12.599 -13.505 -14.237 -14.573 -14.868 -15.025 -15.092 -14.882 
4.84848 -10.522 -12.169 -13.234 -14.034 -14.409 -14.644 -14.878 -14.957 -14.746 
5.05051 -10.146 -11.835 -13.064 -13.761 -14.333 -14.661 -14.850 -14.935 -14.757 
5.25253 -10.468 -11.862 -12.894 -13.795 -14.295 -14.456 -14.894 -14.871 -14.880 
5.45455 -10.064 -12.057 -13.020 -13.705 -14.236 -14.584 -14.843 -15.029 -14.889 
5.65657 -9.618 -11.355 -12.795 -13.584 -14.199 -14.550 -14.733 -14.954 -14.962 
5.85859 -9.389 -11.459 -12.651 -13.573 -14.102 -14.405 -14.778 -14.782 -14.868 
6.06061 -9.561 -11.362 -12.658 -13.578 -13.951 -14.345 -14.628 -14.882 -14.854 
6.26263 -9.350 -11.044 -12.454 -13.456 -14.030 -14.363 -14.642 -14.905 -14.882 
6.46465 -8.600 -10.880 -12.208 -13.231 -13.779 -14.112 -14.568 -14.798 -14.832 
6.66667 -9.112 -10.972 -11.982 -13.087 -13.795 -13.901 -14.548 -14.860 -14.778 
6.86869 -7.873 -10.635 -11.892 -13.187 -13.654 -13.909 -14.428 -14.708 -14.758 
7.07071 -8.503 -10.703 -11.838 -12.958 -13.623 -13.992 -14.480 -14.696 -14.661 
7.27273 -7.583 -10.369 -11.559 -12.787 -13.609 -14.028 -14.191 -14.660 -14.734 
