# t[days] u g r i z y J H K
0.20202 31.080 27.189 41.048 nan nan nan nan nan nan 
0.40404 -12.270 -12.970 -12.590 -13.534 -13.540 -13.166 -13.122 -10.951 -8.584 
0.60606 -13.503 -13.570 -13.736 -14.134 -14.118 -13.916 -13.219 -12.395 -11.973 
0.80808 -13.430 -13.763 -14.140 -14.482 -14.292 -13.913 -13.990 -13.073 -13.033 
1.01010 -13.397 -13.683 -14.079 -14.382 -14.439 -14.386 -13.836 -13.626 -13.237 
1.21212 -12.950 -13.421 -13.916 -14.288 -14.415 -14.381 -14.027 -13.941 -12.524 
1.41414 -12.757 -13.221 -13.825 -14.296 -14.270 -14.373 -14.014 -13.877 -13.263 
1.61616 -12.369 -13.010 -13.677 -14.109 -14.505 -14.412 -14.238 -13.753 -13.569 
1.81818 -12.066 -12.863 -13.503 -14.196 -14.424 -14.383 -14.153 -13.832 -13.691 
2.02020 -11.585 -12.555 -13.222 -13.923 -14.243 -14.348 -14.251 -13.993 -13.993 
2.22222 -11.241 -12.313 -13.235 -13.725 -14.231 -14.169 -14.129 -14.108 -13.844 
2.42424 -10.915 -11.996 -13.041 -13.681 -13.964 -14.165 -14.116 -14.023 -13.835 
2.62626 -10.554 -11.679 -12.650 -13.460 -13.944 -14.163 -14.103 -14.054 -13.786 
2.82828 -10.188 -11.284 -12.304 -13.267 -13.696 -13.799 -14.038 -13.991 -13.885 
3.03030 -9.933 -10.858 -12.230 -13.176 -13.716 -13.914 -14.013 -14.019 -13.803 
3.23232 -9.574 -10.786 -12.063 -12.958 -13.488 -13.549 -13.960 -14.058 -13.817 
3.43434 -9.260 -10.557 -11.539 -12.784 -13.322 -13.647 -13.909 -13.939 -13.771 
3.63636 -8.976 -10.087 -11.248 -12.636 -13.221 -13.434 -13.761 -14.065 -13.810 
3.83838 -8.706 -9.837 -11.085 -12.273 -13.035 -13.267 -13.612 -13.973 -13.823 
4.04040 -8.452 -9.502 -10.803 -12.129 -12.843 -13.049 -13.670 -13.759 -13.618 
4.24242 -8.183 -9.527 -10.465 -12.006 -12.735 -13.038 -13.483 -13.794 -13.969 
4.44444 -7.925 -8.867 -10.333 -11.818 -12.525 -12.926 -13.359 -13.758 -13.714 
4.64646 -7.656 -8.613 -10.085 -11.594 -12.463 -12.833 -13.289 -13.619 -13.791 
4.84848 -7.377 -8.281 -9.760 -11.303 -12.190 -12.829 -13.142 -13.528 -13.753 
5.05051 -7.111 -8.156 -9.467 -11.350 -12.074 -12.441 -13.095 -13.462 -13.529 
5.25253 -6.849 -7.839 -9.256 -11.186 -11.887 -12.355 -13.082 -13.443 -13.405 
5.45455 -6.637 -7.721 -9.043 -10.854 -11.848 -12.125 -12.884 -13.324 -13.617 
5.65657 -6.381 -7.355 -8.899 -10.639 -11.692 -12.010 -12.767 -13.209 -13.549 
5.85859 -6.134 -7.249 -8.742 -10.570 -11.523 -11.978 -12.592 -13.301 -13.434 
6.06061 -5.878 -6.875 -8.221 -10.586 -11.392 -11.802 -12.602 -13.145 -13.444 
6.26263 -5.640 -6.641 -8.068 -9.865 -11.211 -11.503 -12.388 -12.986 -13.272 
6.46465 -5.403 -6.449 -8.050 -10.070 -10.985 -11.482 -12.291 -12.886 -13.256 
6.66667 -5.295 -6.284 -7.638 -9.826 -10.715 -11.339 -12.246 -12.782 -13.237 
6.86869 -4.938 -6.160 -7.548 -9.734 -10.442 -11.063 -12.095 -12.751 -13.259 
7.07071 -4.704 -5.948 -7.356 -9.256 -10.596 -10.992 -12.025 -12.703 -13.049 
7.27273 -4.429 -5.837 -7.149 -9.591 -10.441 -10.936 -11.860 -12.622 -13.159 
7.47475 -4.220 -5.508 -6.932 -9.133 -10.192 -10.801 -11.899 -12.594 -12.958 
7.67677 -4.012 -5.369 -6.958 -8.736 -10.219 -10.845 -11.660 -12.525 -12.908 
7.87879 -3.854 -5.179 -6.749 -8.581 -9.877 -10.537 -11.631 -12.307 -13.060 
8.08081 -3.716 -5.216 -6.727 -8.865 -9.735 -10.555 -11.475 -12.339 -12.892 
8.28283 -3.508 -4.910 -6.168 -8.538 -9.753 -10.381 -11.356 -12.180 -12.939 
8.48485 -3.316 -4.673 -6.255 -8.441 -9.556 -10.141 -11.235 -12.181 -12.762 
8.68687 -3.193 -4.613 -5.989 -8.091 -9.506 -10.161 -11.145 -12.087 -12.655 
8.88889 -3.047 -4.416 -5.764 -8.044 -9.362 -10.022 -11.074 -12.118 -12.605 
9.09091 -3.335 -4.807 -5.747 -7.834 -9.159 -10.049 -10.881 -12.008 -12.499 
9.29293 -2.724 -4.131 -6.009 -7.813 -8.996 -9.843 -10.885 -11.874 -12.548 
9.49495 -2.537 -3.994 -5.378 -7.644 -9.001 -9.560 -10.828 -11.781 -12.510 
9.69697 -2.398 -3.904 -5.351 -7.437 -9.161 -9.989 -10.691 -11.824 -12.494 
9.89899 -2.974 -3.762 -5.522 -7.395 -8.904 -9.685 -10.658 -11.813 -12.336 
10.10101 -2.071 -3.695 -5.246 -7.217 -8.672 -9.607 -10.559 -11.742 -12.320 
10.30303 -1.863 -3.440 -4.948 -7.019 -8.988 -9.578 -10.481 -11.515 -12.278 
10.50505 -1.665 -3.396 -4.810 -6.940 -8.573 -9.377 -10.447 -11.528 -12.268 
10.70707 -1.524 -3.196 -4.851 -6.927 -8.510 -9.194 -10.325 -11.514 -12.065 
10.90909 -1.320 -3.088 -4.669 -6.850 -8.607 -9.236 -10.236 -11.466 -12.130 
11.11111 -1.110 -2.920 -4.860 -6.692 -8.325 -8.877 -10.145 -11.223 -12.009 
11.31313 -1.035 -2.768 -4.290 -6.747 -8.237 -9.044 -10.222 -11.222 -11.913 
11.51515 -0.820 -2.670 -4.173 -6.689 -8.190 -8.979 -10.086 -11.141 -11.952 
11.71717 -0.795 -2.643 -3.993 -6.529 -8.122 -8.744 -9.922 -11.116 -11.881 
11.91919 -0.515 -2.394 -3.923 -6.434 -7.928 -8.665 -10.033 -11.016 -11.945 
12.12121 -0.340 -2.239 -3.766 -6.187 -8.015 -8.593 -9.815 -10.999 -11.793 
12.32323 -0.182 -2.114 -3.402 -6.042 -7.816 -8.496 -9.746 -10.916 -11.713 
12.52525 0.053 -1.928 -3.387 -5.963 -7.826 -8.502 -9.707 -10.880 -11.704 
12.72727 0.178 -1.780 -3.325 -5.973 -7.812 -8.542 -9.591 -10.906 -11.648 
12.92929 0.346 -1.682 -3.353 -5.982 -7.742 -8.669 -9.667 -10.811 -11.582 
13.13131 0.600 -1.651 -3.366 -6.124 -7.553 -8.363 -9.574 -10.671 -11.600 
13.33333 0.790 -1.375 -2.847 -5.825 -7.537 -8.159 -9.414 -10.670 -11.536 
13.53535 0.880 -1.209 -3.141 -5.722 -7.468 -8.311 -9.408 -10.669 -11.436 
13.73737 0.491 -1.142 -2.936 -5.625 -7.414 -8.165 -9.390 -10.554 -11.548 
13.93939 1.331 -0.893 -3.223 -5.498 -7.348 -8.191 -9.265 -10.453 -11.331 
14.14141 1.656 -0.734 -3.019 -5.433 -7.266 -8.181 -9.200 -10.413 -11.308 
14.34343 1.581 -0.643 -3.144 -5.395 -7.267 -7.883 -9.110 -10.351 -11.298 
14.54545 1.888 -0.660 -3.318 -5.423 -7.080 -7.953 -9.432 -10.330 -11.215 
14.74747 1.981 -0.334 -2.454 -5.346 -7.144 -7.704 -9.170 -10.230 -11.160 
14.94949 2.053 -0.254 -2.627 -5.216 -6.936 -7.922 -9.035 -10.165 -11.100 
15.15152 0.848 -0.099 -2.826 -5.451 -7.019 -7.677 -8.990 -10.098 -11.094 
15.35354 2.496 -0.063 -1.929 -5.083 -6.854 -7.753 -8.957 -10.048 -11.067 
15.55556 2.792 0.260 -2.693 -5.287 -7.080 -7.602 -8.852 -10.044 -11.037 
15.75758 3.035 0.268 -2.007 -5.162 -6.918 -7.643 -8.716 -9.929 -10.992 
15.95960 3.062 0.525 -2.143 -5.193 -6.810 -7.466 -8.715 -9.955 -10.836 
16.16162 3.231 0.673 -1.753 -4.845 -6.665 -7.412 -8.707 -9.860 -10.795 
16.36364 3.495 0.487 -1.831 -5.100 -6.687 -7.536 -8.608 -9.837 -10.795 
16.56566 2.058 -0.613 -2.621 -4.817 -6.756 -7.298 -8.587 -9.829 -10.771 
16.76768 3.686 0.370 -1.982 -4.942 -6.612 -7.322 -8.507 -9.754 -10.717 
16.96970 2.669 -2.432 -3.097 -4.642 -6.427 -7.161 -8.530 -9.770 -10.683 
17.17172 3.730 1.199 -1.317 -4.693 -6.532 -7.221 -8.476 -9.607 -10.621 
17.37374 0.552 1.311 -1.531 -4.641 -6.481 -7.394 -8.326 -9.589 -10.549 
17.57576 4.451 1.498 -1.440 -4.663 -6.419 -7.237 -8.296 -9.585 -10.446 
17.77778 4.202 1.457 -1.380 -4.539 -6.359 -7.121 -8.224 -9.469 -10.445 
17.97980 4.368 1.716 -1.510 -4.563 -6.268 -7.078 -8.208 -9.452 -10.357 
18.18182 4.565 1.667 -1.292 -4.528 -6.387 -7.089 -8.113 -9.439 -10.286 
18.38384 3.465 1.906 -1.668 -4.609 -6.101 -6.893 -8.138 -9.262 -10.314 
18.58586 4.918 1.997 -1.288 -4.427 -6.289 -7.057 -8.090 -9.216 -10.248 
18.78788 5.221 1.889 -1.482 -4.363 -6.213 -6.762 -8.053 -9.222 -10.219 
18.98990 5.123 2.425 -2.494 -4.217 -6.099 -6.725 -7.905 -9.068 -10.135 
19.19192 5.338 2.387 -1.220 -4.315 -6.048 -6.525 -7.899 -9.085 -10.027 
19.39394 5.643 2.304 -1.471 -4.178 -6.193 -6.796 -7.857 -8.954 -10.019 
19.59596 6.419 2.804 -1.036 -4.188 -6.077 -6.629 -7.879 -8.977 -9.924 
19.79798 4.306 0.782 -0.857 -4.002 -5.789 -6.591 -7.706 -8.871 -9.847 
20.00000 6.458 -0.937 -0.387 -3.812 -5.764 -6.507 -7.691 -8.715 -9.711 
