# t[days] u g r i z y J H K
0.20202 -9.675 -9.328 -8.680 -8.282 -7.412 -9.086 -9.271 -5.281 -4.981 
0.40404 -13.271 -12.837 -13.499 -13.630 -14.377 -14.553 -14.353 -12.706 -11.264 
0.60606 -13.913 -14.143 -14.516 -14.784 -14.903 -14.882 -14.683 -14.414 -13.758 
0.80808 -14.329 -14.705 -14.850 -15.439 -15.598 -15.594 -15.231 -15.112 -13.579 
1.01010 -14.164 -14.917 -15.436 -15.850 -16.120 -15.901 -15.795 -15.420 -14.485 
1.21212 -14.215 -14.768 -15.509 -15.943 -16.315 -16.253 -16.053 -15.507 -15.333 
1.41414 -14.337 -14.962 -15.587 -15.962 -16.267 -16.372 -16.170 -16.029 -15.709 
1.61616 -14.004 -14.708 -15.336 -15.882 -16.176 -16.213 -16.159 -15.952 -15.678 
1.81818 -13.915 -14.497 -15.269 -15.802 -16.127 -16.285 -16.166 -15.790 -15.599 
2.02020 -13.501 -14.171 -14.926 -15.649 -16.010 -16.119 -16.125 -15.723 -15.462 
2.22222 -13.613 -14.399 -14.932 -15.608 -15.917 -16.066 -15.965 -15.737 -15.452 
2.42424 -13.312 -14.114 -14.791 -15.450 -15.808 -16.084 -16.059 -15.760 -15.499 
2.62626 -12.908 -13.926 -14.603 -15.213 -15.702 -15.887 -15.846 -15.652 -15.462 
2.82828 -12.645 -13.540 -14.487 -15.022 -15.569 -15.828 -15.791 -15.711 -15.484 
3.03030 -12.629 -13.712 -14.368 -15.137 -15.494 -15.651 -15.683 -15.536 -15.320 
3.23232 -12.226 -13.229 -14.199 -14.964 -15.377 -15.551 -15.653 -15.386 -15.413 
3.43434 -12.322 -13.499 -14.280 -14.878 -15.279 -15.524 -15.533 -15.626 -15.213 
3.63636 -11.797 -13.013 -13.928 -14.631 -15.107 -15.502 -15.525 -15.472 -15.239 
3.83838 -11.660 -13.140 -13.987 -14.638 -15.139 -15.320 -15.466 -15.425 -15.232 
4.04040 -11.127 -12.619 -13.716 -14.499 -14.982 -15.242 -15.307 -15.280 -15.256 
4.24242 -10.898 -12.535 -13.510 -14.333 -14.949 -15.252 -15.288 -15.294 -15.173 
4.44444 -11.071 -12.329 -13.319 -14.252 -14.774 -15.044 -15.223 -15.257 -15.182 
4.64646 -10.568 -12.298 -13.335 -14.061 -14.745 -14.955 -15.095 -15.259 -15.138 
4.84848 -10.521 -12.115 -13.258 -13.971 -14.605 -14.868 -15.028 -15.130 -15.087 
5.05051 -9.963 -11.806 -13.110 -13.960 -14.552 -14.835 -14.931 -15.116 -15.124 
5.25253 -10.014 -11.573 -12.892 -13.896 -14.460 -14.692 -14.862 -15.042 -14.981 
