# t[days] u g r i z y J H K
0.20202 163.535 111.075 71.429 nan nan nan nan nan nan 
0.40404 -12.191 -11.047 -11.923 -14.317 -12.681 -13.745 -13.123 -12.683 -11.166 
0.60606 -13.790 -13.937 -14.106 -14.554 -15.031 -15.175 -14.977 -13.641 -14.120 
0.80808 -15.001 -14.821 -15.058 -15.362 -16.261 -16.264 -15.608 -15.137 -14.838 
1.01010 -15.071 -14.883 -15.311 -15.754 -16.269 -16.266 -16.193 -15.573 -15.600 
1.21212 -15.405 -15.424 -15.528 -16.171 -16.357 -16.404 -16.122 -15.938 -15.027 
1.41414 -15.425 -15.403 -15.778 -16.020 -16.401 -16.534 -16.101 -15.641 -15.300 
1.61616 -15.470 -15.387 -15.684 -16.009 -16.356 -16.462 -16.054 -15.664 -15.294 
1.81818 -15.157 -15.468 -15.797 -16.172 -16.439 -16.553 -16.256 -15.863 -15.487 
2.02020 -15.221 -15.438 -15.742 -16.133 -16.475 -16.702 -16.246 -15.847 -15.591 
2.22222 -15.251 -15.489 -15.869 -16.197 -16.493 -16.541 -16.399 -16.029 -15.441 
2.42424 -14.976 -15.394 -15.752 -16.070 -16.421 -16.564 -16.377 -16.083 -15.702 
2.62626 -14.728 -15.248 -15.661 -16.158 -16.455 -16.617 -16.359 -16.149 -15.793 
2.82828 -14.530 -15.240 -15.720 -16.125 -16.512 -16.681 -16.402 -16.127 -15.824 
3.03030 -14.504 -15.124 -15.625 -16.138 -16.425 -16.652 -16.461 -16.151 -15.911 
3.23232 -14.245 -15.047 -15.663 -16.152 -16.462 -16.691 -16.513 -16.247 -15.897 
3.43434 -14.229 -14.969 -15.506 -16.089 -16.441 -16.650 -16.541 -16.295 -15.766 
3.63636 -13.862 -14.886 -15.507 -15.948 -16.459 -16.615 -16.466 -16.270 -15.938 
3.83838 -13.674 -14.636 -15.414 -16.063 -16.413 -16.622 -16.479 -16.248 -16.072 
4.04040 -13.558 -14.628 -15.391 -15.975 -16.341 -16.547 -16.496 -16.323 -16.039 
4.24242 -13.206 -14.466 -15.324 -15.869 -16.378 -16.521 -16.469 -16.368 -16.041 
4.44444 -12.927 -14.236 -15.224 -15.815 -16.215 -16.433 -16.438 -16.333 -16.009 
4.64646 -12.871 -14.239 -15.146 -15.706 -16.177 -16.408 -16.463 -16.254 -16.037 
4.84848 -12.574 -14.054 -15.045 -15.662 -16.145 -16.272 -16.387 -16.241 -16.004 
5.05051 -12.253 -13.814 -14.821 -15.595 -16.087 -16.293 -16.384 -16.241 -16.112 
5.25253 -12.008 -13.650 -14.785 -15.566 -16.028 -16.232 -16.305 -16.196 -15.986 
5.45455 -11.477 -13.517 -14.574 -15.414 -15.960 -16.132 -16.249 -16.140 -16.122 
5.65657 -11.217 -13.254 -14.485 -15.341 -15.843 -16.055 -16.268 -16.164 -16.029 
5.85859 -11.141 -13.197 -14.380 -15.254 -15.790 -15.993 -16.175 -16.187 -16.028 
6.06061 -11.019 -12.956 -14.240 -15.125 -15.646 -15.891 -16.117 -16.101 -16.018 
6.26263 -10.768 -12.755 -14.173 -15.041 -15.596 -15.858 -16.082 -16.170 -16.029 
6.46465 -10.539 -12.419 -13.973 -14.946 -15.482 -15.798 -15.998 -16.053 -15.999 
6.66667 -10.139 -12.292 -13.809 -14.825 -15.378 -15.723 -15.913 -15.975 -15.873 
6.86869 -10.160 -12.007 -13.684 -14.719 -15.233 -15.626 -15.807 -15.961 -15.885 
7.07071 -9.254 -11.878 -13.486 -14.574 -15.216 -15.511 -15.746 -15.907 -15.903 
7.27273 -9.245 -11.787 -13.281 -14.434 -15.129 -15.427 -15.711 -15.818 -15.845 
7.47475 -8.765 -11.646 -13.182 -14.312 -14.972 -15.341 -15.594 -15.800 -15.823 
7.67677 -8.502 -11.303 -13.087 -14.215 -14.777 -15.174 -15.613 -15.752 -15.757 
7.87879 -9.147 -11.304 -12.961 -14.055 -14.762 -15.049 -15.476 -15.669 -15.710 
8.08081 -7.727 -10.850 -12.689 -13.915 -14.679 -15.087 -15.399 -15.620 -15.722 
8.28283 -8.089 -10.758 -12.549 -13.830 -14.509 -14.884 -15.317 -15.546 -15.558 
8.48485 -7.369 -10.554 -12.398 -13.662 -14.431 -14.671 -15.223 -15.552 -15.631 
8.68687 -7.482 -10.271 -12.111 -13.522 -14.287 -14.620 -15.199 -15.429 -15.512 
8.88889 -7.555 -10.197 -12.127 -13.390 -14.234 -14.594 -15.092 -15.423 -15.538 
9.09091 -8.378 -9.824 -11.998 -13.385 -14.111 -14.581 -14.982 -15.365 -15.428 
9.29293 -6.222 -10.187 -11.966 -13.221 -14.000 -14.400 -14.944 -15.381 -15.321 
9.49495 -7.710 -9.545 -11.711 -13.090 -13.805 -14.315 -14.834 -15.305 -15.408 
9.69697 -6.828 -9.435 -11.408 -12.948 -13.832 -14.229 -14.763 -15.157 -15.314 
9.89899 -7.130 -9.449 -11.223 -12.820 -13.659 -14.084 -14.699 -15.046 -15.200 
10.10101 -4.683 -8.755 -11.224 -12.738 -13.458 -14.003 -14.595 -15.092 -15.226 
10.30303 -5.406 -8.514 -10.991 -12.561 -13.392 -13.863 -14.546 -14.943 -15.172 
10.50505 -3.988 -8.377 -11.081 -12.480 -13.353 -13.754 -14.463 -14.962 -15.174 
10.70707 -5.202 -8.808 -10.803 -12.274 -13.201 -13.649 -14.429 -14.851 -15.126 
10.90909 -6.877 -8.168 -10.621 -12.158 -13.133 -13.537 -14.362 -14.853 -14.979 
11.11111 -6.110 -7.769 -10.430 -12.127 -13.193 -13.537 -14.215 -14.715 -15.064 
11.31313 -6.278 -7.706 -10.355 -11.993 -12.969 -13.394 -14.092 -14.661 -14.964 
11.51515 -4.928 -7.588 -9.942 -11.839 -12.845 -13.315 -14.038 -14.579 -14.882 
11.71717 -4.790 -7.293 -10.156 -11.658 -12.741 -13.277 -14.056 -14.631 -14.894 
11.91919 -2.929 -7.074 -10.030 -11.604 -12.691 -13.108 -13.873 -14.550 -14.769 
12.12121 -2.389 -6.963 -10.198 -11.517 -12.553 -13.065 -13.838 -14.381 -14.790 
12.32323 -4.107 -6.733 -9.668 -11.458 -12.391 -13.015 -13.759 -14.347 -14.746 
12.52525 -4.704 -6.505 -9.486 -11.252 -12.339 -13.010 -13.668 -14.327 -14.749 
12.72727 -4.134 -6.763 -9.304 -11.297 -12.344 -12.896 -13.663 -14.347 -14.651 
12.92929 -3.924 -6.480 -9.253 -11.264 -12.282 -12.787 -13.538 -14.269 -14.632 
13.13131 -5.431 -8.397 -9.090 -11.213 -12.090 -12.701 -13.471 -14.207 -14.605 
13.33333 -4.857 -5.830 -9.009 -10.900 -11.881 -12.766 -13.425 -14.102 -14.553 
13.53535 -5.090 -6.156 -8.791 -10.752 -11.856 -12.518 -13.406 -14.052 -14.484 
13.73737 -3.306 -6.038 -8.757 -10.562 -11.817 -12.446 -13.330 -14.012 -14.419 
13.93939 -3.748 -6.050 -8.676 -10.550 -11.773 -12.258 -13.266 -13.923 -14.415 
14.14141 -4.568 -5.787 -8.238 -10.429 -11.624 -12.228 -13.227 -13.926 -14.410 
14.34343 -4.628 -4.557 -8.184 -10.382 -11.604 -12.224 -13.114 -13.884 -14.292 
14.54545 -1.852 -5.172 -8.073 -10.451 -11.483 -12.307 -13.065 -13.815 -14.292 
14.74747 -3.428 -5.603 -7.976 -10.057 -11.345 -12.037 -13.010 -13.771 -14.210 
14.94949 -0.372 -5.573 -7.758 -10.295 -11.372 -11.970 -12.934 -13.726 -14.148 
15.15152 -4.148 -4.996 -7.865 -10.060 -11.361 -11.892 -12.887 -13.648 -14.129 
15.35354 -4.848 -5.084 -8.004 -9.899 -11.161 -11.815 -12.795 -13.639 -14.168 
15.55556 -1.513 -5.343 -7.681 -9.828 -10.998 -11.716 -12.693 -13.489 -14.119 
15.75758 -4.333 -3.378 -7.553 -9.804 -10.953 -11.541 -12.690 -13.451 -14.031 
15.95960 0.468 -4.097 -7.472 -9.676 -10.911 -11.709 -12.628 -13.370 -13.944 
16.16162 0.584 -3.927 -7.293 -9.683 -10.777 -11.488 -12.478 -13.406 -13.945 
16.36364 -3.702 -3.895 -7.128 -9.392 -10.627 -11.415 -12.517 -13.285 -13.839 
16.56566 -5.332 -4.710 -7.188 -9.339 -10.730 -11.466 -12.383 -13.344 -13.903 
16.76768 -4.819 -3.999 -7.459 -9.376 -10.694 -11.194 -12.312 -13.233 -13.786 
16.96970 -3.349 -3.852 -7.054 -9.231 -10.581 -11.282 -12.223 -13.095 -13.754 
17.17172 -4.072 -2.908 -6.786 -9.248 -10.459 -11.099 -12.114 -13.048 -13.764 
17.37374 0.558 -3.015 -6.433 -8.980 -10.335 -11.152 -12.113 -13.035 -13.744 
17.57576 -3.392 -3.569 -6.252 -8.882 -10.152 -10.878 -12.105 -13.070 -13.707 
17.77778 -2.646 -3.497 -6.709 -8.938 -10.180 -10.862 -11.990 -12.997 -13.588 
17.97980 -3.787 -4.162 -6.209 -8.622 -10.117 -10.862 -11.947 -12.863 -13.548 
18.18182 2.227 -1.867 -6.197 -8.674 -10.045 -10.754 -11.804 -12.825 -13.541 
18.38384 2.343 -3.383 -6.435 -8.962 -9.981 -10.746 -11.860 -12.805 -13.501 
18.58586 -6.890 -4.318 -6.060 -8.537 -9.937 -10.669 -11.811 -12.693 -13.372 
18.78788 2.588 -3.853 -5.896 -8.522 -9.803 -10.750 -11.771 -12.717 -13.391 
18.98990 0.987 -3.679 -6.686 -8.334 -9.682 -10.478 -11.618 -12.703 -13.270 
19.19192 -3.474 -3.423 -5.475 -8.346 -9.591 -10.487 -11.563 -12.546 -13.273 
19.39394 -0.791 -3.118 -5.617 -8.400 -9.614 -10.226 -11.543 -12.590 -13.244 
19.59596 1.655 -3.770 -5.871 -7.827 -9.591 -10.231 -11.360 -12.345 -13.148 
19.79798 -3.053 -3.253 -5.275 -8.025 -9.465 -10.108 -11.269 -12.379 -13.036 
20.00000 -0.757 -3.059 -4.710 -7.794 -9.274 -10.376 -11.264 -12.314 -13.004 
