# t[days] u g r i z y J H K
0.20202 36.528 12.341 41.820 nan nan nan nan nan nan 
0.40404 -12.667 -12.403 -13.003 -13.576 -12.425 -12.684 -12.746 -12.319 -13.176 
0.60606 -13.801 -14.327 -14.142 -14.501 -14.869 -14.539 -14.583 -13.788 -14.455 
0.80808 -14.560 -14.212 -14.609 -15.251 -15.319 -15.516 -15.387 -14.870 -13.779 
1.01010 -14.449 -14.615 -14.831 -15.116 -15.635 -15.681 -15.437 -15.187 -14.451 
1.21212 -14.614 -14.832 -15.046 -15.566 -15.705 -15.650 -15.476 -15.399 -14.494 
1.41414 -14.374 -14.720 -15.227 -15.569 -15.729 -15.900 -15.870 -15.451 -14.854 
1.61616 -14.201 -14.703 -15.155 -15.479 -15.792 -15.789 -15.777 -15.369 -15.120 
1.81818 -13.924 -14.512 -15.087 -15.493 -15.645 -15.866 -15.766 -15.380 -14.981 
2.02020 -13.743 -14.360 -15.011 -15.331 -15.713 -15.819 -15.751 -15.460 -14.929 
2.22222 -13.518 -14.400 -14.896 -15.421 -15.755 -15.874 -15.788 -15.531 -14.964 
2.42424 -13.403 -14.166 -14.758 -15.349 -15.681 -15.860 -15.711 -15.577 -15.100 
2.62626 -13.123 -14.037 -14.710 -15.203 -15.600 -15.837 -15.677 -15.483 -15.126 
2.82828 -12.965 -13.989 -14.698 -15.148 -15.535 -15.613 -15.734 -15.514 -15.072 
3.03030 -12.940 -13.711 -14.562 -15.043 -15.449 -15.645 -15.653 -15.479 -15.264 
3.23232 -12.525 -13.650 -14.403 -15.004 -15.372 -15.591 -15.583 -15.474 -15.220 
3.43434 -12.352 -13.548 -14.278 -15.007 -15.339 -15.539 -15.592 -15.461 -15.209 
3.63636 -11.933 -13.308 -14.199 -14.851 -15.330 -15.456 -15.559 -15.478 -15.266 
3.83838 -11.889 -13.180 -13.986 -14.669 -15.143 -15.340 -15.449 -15.388 -15.239 
4.04040 -11.480 -13.056 -13.920 -14.655 -15.031 -15.306 -15.401 -15.396 -15.185 
4.24242 -11.274 -12.762 -13.776 -14.569 -14.924 -15.260 -15.413 -15.444 -15.182 
4.44444 -11.402 -12.444 -13.462 -14.390 -14.895 -15.159 -15.290 -15.278 -15.101 
4.64646 -10.441 -12.320 -13.494 -14.288 -14.775 -15.017 -15.247 -15.314 -15.144 
4.84848 -10.464 -12.243 -13.387 -14.176 -14.777 -15.025 -15.156 -15.224 -15.117 
5.05051 -10.085 -12.105 -13.305 -14.103 -14.647 -14.846 -15.091 -15.086 -14.976 
5.25253 -9.711 -11.684 -13.066 -13.996 -14.494 -14.814 -15.026 -15.088 -15.024 
5.45455 -9.412 -11.706 -13.047 -13.851 -14.476 -14.830 -14.958 -15.041 -14.998 
5.65657 -9.443 -11.432 -12.873 -13.706 -14.402 -14.668 -14.895 -14.971 -15.059 
5.85859 -8.528 -11.240 -12.761 -13.598 -14.300 -14.525 -14.816 -15.022 -14.925 
6.06061 -8.236 -10.894 -12.462 -13.478 -14.183 -14.397 -14.723 -14.882 -14.890 
6.26263 -8.275 -10.768 -12.269 -13.378 -13.959 -14.308 -14.630 -14.798 -14.851 
6.46465 -8.501 -10.607 -12.221 -13.312 -13.904 -14.187 -14.549 -14.775 -14.761 
6.66667 -8.105 -10.369 -12.002 -13.136 -13.874 -14.112 -14.426 -14.630 -14.722 
6.86869 -7.506 -10.079 -11.843 -12.939 -13.710 -14.093 -14.482 -14.610 -14.726 
7.07071 -7.067 -10.029 -11.559 -12.772 -13.568 -13.841 -14.324 -14.552 -14.711 
7.27273 -6.873 -9.673 -11.498 -12.612 -13.477 -13.764 -14.237 -14.500 -14.637 
7.47475 -6.512 -9.300 -11.345 -12.533 -13.341 -13.694 -14.092 -14.430 -14.628 
7.67677 -5.701 -9.133 -11.241 -12.456 -13.278 -13.644 -14.039 -14.337 -14.455 
7.87879 -6.303 -9.116 -11.035 -12.339 -13.074 -13.514 -13.983 -14.278 -14.390 
8.08081 -5.864 -8.772 -10.935 -12.104 -12.934 -13.394 -13.817 -14.238 -14.358 
8.28283 -5.646 -8.489 -10.614 -12.037 -12.925 -13.306 -13.826 -14.200 -14.269 
8.48485 -5.303 -8.284 -10.585 -12.042 -12.810 -13.181 -13.686 -14.082 -14.321 
8.68687 -4.938 -8.068 -10.351 -11.764 -12.698 -13.146 -13.637 -14.018 -14.261 
8.88889 -5.017 -7.725 -10.049 -11.621 -12.541 -12.983 -13.542 -13.937 -14.154 
9.09091 -5.452 -7.494 -10.007 -11.616 -12.597 -12.909 -13.470 -13.813 -14.252 
9.29293 -5.062 -7.741 -9.919 -11.413 -12.375 -12.809 -13.374 -13.808 -14.156 
9.49495 -3.982 -7.421 -9.659 -11.302 -12.176 -12.718 -13.299 -13.816 -14.004 
9.69697 -4.948 -6.978 -9.731 -11.198 -12.205 -12.625 -13.239 -13.696 -14.039 
9.89899 -3.594 -6.808 -9.471 -11.106 -12.046 -12.502 -13.153 -13.614 -13.888 
10.10101 -4.812 -6.721 -9.382 -11.094 -11.921 -12.397 -13.058 -13.599 -13.874 
10.30303 -3.250 -6.714 -9.260 -10.869 -11.766 -12.374 -12.945 -13.439 -13.828 
10.50505 -3.537 -6.558 -8.934 -10.810 -11.769 -12.320 -12.922 -13.474 -13.807 
10.70707 -2.895 -6.156 -9.111 -10.720 -11.651 -12.092 -12.813 -13.365 -13.738 
10.90909 -3.352 -6.179 -8.659 -10.540 -11.636 -12.171 -12.827 -13.280 -13.715 
11.11111 -4.798 -5.987 -8.653 -10.527 -11.574 -12.078 -12.693 -13.302 -13.579 
11.31313 -4.174 -6.047 -8.668 -10.285 -11.462 -11.939 -12.628 -13.230 -13.611 
11.51515 -2.657 -5.991 -8.538 -10.318 -11.400 -11.891 -12.615 -13.191 -13.559 
11.71717 -2.312 -6.034 -8.332 -10.375 -11.375 -11.824 -12.546 -13.083 -13.524 
11.91919 -4.697 -5.759 -8.189 -10.288 -11.338 -11.797 -12.466 -13.063 -13.477 
12.12121 -3.562 -4.982 -8.042 -10.155 -11.076 -11.743 -12.444 -13.097 -13.430 
12.32323 -2.104 -4.915 -8.241 -9.915 -11.082 -11.692 -12.324 -13.000 -13.378 
12.52525 -3.455 -5.194 -7.819 -9.864 -11.205 -11.689 -12.307 -12.957 -13.283 
12.72727 -3.140 -4.516 -7.730 -9.822 -10.989 -11.609 -12.218 -12.864 -13.276 
12.92929 -1.699 -4.871 -7.796 -9.626 -10.836 -11.471 -12.184 -12.836 -13.215 
13.13131 -4.529 -4.375 -7.430 -9.674 -10.842 -11.675 -12.194 -12.802 -13.205 
13.33333 -1.545 -4.624 -7.411 -9.459 -10.732 -11.295 -12.088 -12.724 -13.198 
13.53535 -3.136 -4.853 -7.368 -9.574 -10.683 -11.308 -12.030 -12.660 -13.136 
13.73737 -3.026 -4.479 -7.144 -9.502 -10.757 -11.280 -12.007 -12.630 -13.111 
13.93939 -3.602 -4.139 -7.136 -9.423 -10.682 -11.355 -11.928 -12.645 -13.045 
14.14141 -2.232 -4.015 -7.184 -9.300 -10.545 -11.266 -11.908 -12.631 -13.024 
14.34343 -0.528 -3.549 -7.061 -9.194 -10.450 -11.137 -11.811 -12.505 -12.928 
14.54545 -1.062 -4.364 -6.851 -9.117 -10.378 -11.081 -11.812 -12.450 -12.961 
14.74747 -3.532 -4.791 -6.956 -9.010 -10.272 -10.961 -11.733 -12.440 -12.889 
14.94949 -0.050 -3.646 -6.764 -8.856 -10.273 -10.908 -11.641 -12.331 -12.939 
15.15152 0.151 -3.373 -6.584 -8.796 -10.214 -10.911 -11.659 -12.303 -12.794 
15.35354 -3.397 -4.099 -6.675 -8.857 -10.050 -10.782 -11.482 -12.313 -12.786 
15.55556 0.363 -3.434 -6.565 -8.815 -9.988 -10.598 -11.487 -12.212 -12.790 
15.75758 0.511 -2.618 -6.309 -8.663 -9.866 -10.537 -11.380 -12.173 -12.722 
15.95960 0.704 -2.629 -6.420 -8.677 -9.893 -10.584 -11.372 -12.137 -12.689 
16.16162 0.694 -3.500 -6.252 -8.537 -9.796 -10.542 -11.326 -12.081 -12.691 
16.36364 0.746 -2.214 -6.023 -8.478 -9.841 -10.516 -11.318 -12.045 -12.531 
16.56566 -0.893 -2.589 -6.017 -8.395 -9.774 -10.434 -11.233 -11.987 -12.623 
16.76768 1.272 -1.914 -5.810 -8.207 -9.604 -10.299 -11.196 -11.959 -12.550 
16.96970 1.366 -1.719 -5.618 -8.154 -9.598 -10.293 -11.099 -11.954 -12.468 
17.17172 1.539 -1.922 -5.708 -8.151 -9.544 -10.212 -11.086 -11.898 -12.436 
17.37374 1.745 -1.671 -5.597 -7.981 -9.579 -10.068 -11.014 -11.832 -12.437 
17.57576 1.894 -3.086 -5.352 -7.899 -9.475 -10.183 -10.962 -11.764 -12.331 
17.77778 1.980 -1.689 -5.362 -7.891 -9.190 -10.075 -10.888 -11.797 -12.342 
17.97980 2.203 -1.862 -5.405 -7.781 -9.309 -10.033 -10.856 -11.687 -12.290 
18.18182 -1.823 -2.517 -5.173 -7.732 -9.181 -9.870 -10.820 -11.612 -12.321 
18.38384 2.343 -2.014 -5.247 -7.681 -9.265 -9.819 -10.787 -11.604 -12.179 
18.58586 2.505 -1.049 -5.024 -7.624 -9.024 -9.814 -10.670 -11.534 -12.139 
18.78788 2.815 -1.258 -5.074 -7.655 -9.074 -9.725 -10.703 -11.538 -12.089 
18.98990 2.882 -2.344 -4.918 -7.454 -8.921 -9.727 -10.626 -11.434 -12.148 
19.19192 2.830 -1.726 -5.190 -7.519 -8.844 -9.808 -10.525 -11.319 -11.987 
19.39394 3.168 -0.655 -4.550 -7.345 -8.769 -9.489 -10.488 -11.268 -11.965 
19.59596 2.746 -0.431 -4.476 -7.342 -8.681 -9.472 -10.457 -11.176 -11.903 
19.79798 1.962 -2.344 -4.885 -7.162 -8.536 -9.430 -10.300 -11.150 -11.869 
20.00000 3.662 0.330 -4.081 -6.998 -8.390 -9.154 -10.200 -10.983 -11.710 
