# t[days] u g r i z y J H K
0.20202 -10.809 -12.473 -13.966 -14.105 -12.574 -11.185 -12.678 -4.020 -3.618 
0.40404 -14.492 -15.094 -15.501 -15.115 -14.237 -14.074 -13.250 -11.318 -11.075 
0.60606 -15.367 -15.962 -16.191 -15.816 -15.750 -15.945 -15.564 -14.475 -14.591 
0.80808 -15.364 -16.316 -16.622 -16.421 -16.145 -16.379 -15.531 -15.027 -15.285 
1.01010 -15.568 -16.687 -16.905 -16.916 -16.517 -16.120 -16.006 -15.344 -15.014 
1.21212 -15.401 -16.601 -16.982 -16.816 -16.590 -16.458 -16.465 -15.974 -15.392 
1.41414 -14.919 -16.571 -17.009 -16.786 -16.723 -16.524 -16.408 -15.997 -15.367 
1.61616 -14.675 -16.490 -16.981 -16.881 -16.769 -16.710 -16.543 -16.105 -16.030 
1.81818 -14.405 -16.348 -16.777 -16.739 -16.681 -16.504 -16.482 -16.571 -16.200 
2.02020 -14.099 -16.130 -16.739 -16.701 -16.651 -16.709 -16.490 -16.358 -15.997 
2.22222 -13.604 -15.882 -16.485 -16.526 -16.622 -16.655 -16.585 -16.179 -15.705 
2.42424 -13.290 -15.704 -16.349 -16.528 -16.665 -16.771 -16.661 -16.478 -16.284 
2.62626 -13.047 -15.506 -16.112 -16.315 -16.517 -16.564 -16.480 -16.125 -16.216 
2.82828 -12.774 -15.074 -15.937 -16.057 -16.338 -16.459 -16.397 -16.173 -16.043 
3.03030 -12.515 -14.894 -15.606 -15.897 -16.038 -16.151 -16.218 -16.164 -15.938 
3.23232 -12.223 -14.637 -15.440 -15.802 -15.986 -16.095 -16.248 -16.123 -15.872 
3.43434 -12.050 -14.300 -15.210 -15.631 -15.876 -16.088 -15.991 -15.833 -15.825 
3.63636 -11.719 -14.005 -14.991 -15.375 -15.682 -15.871 -16.037 -15.944 -15.978 
3.83838 -11.511 -13.965 -14.852 -15.298 -15.688 -15.897 -15.679 -15.846 -15.637 
4.04040 -11.579 -13.749 -14.713 -15.178 -15.649 -15.785 -15.717 -15.542 -15.554 
4.24242 -11.104 -13.377 -14.386 -15.014 -15.400 -15.544 -15.645 -15.529 -15.621 
4.44444 -11.063 -13.349 -14.453 -14.933 -15.333 -15.470 -15.614 -15.561 -15.530 
4.64646 -10.850 -13.190 -14.221 -14.719 -15.150 -15.423 -15.373 -15.453 -15.522 
4.84848 -10.954 -13.033 -13.968 -14.746 -15.177 -15.346 -15.377 -15.373 -15.198 
5.05051 -10.924 -12.874 -13.871 -14.606 -14.957 -15.217 -15.289 -15.308 -15.237 
5.25253 -10.619 -12.646 -13.718 -14.415 -14.949 -15.176 -15.178 -15.286 -15.158 
5.45455 -10.278 -12.511 -13.691 -14.260 -14.808 -15.135 -15.046 -15.112 -14.984 
5.65657 -10.433 -12.339 -13.547 -14.243 -14.807 -15.016 -15.063 -15.071 -14.930 
5.85859 -10.258 -12.158 -13.340 -14.154 -14.622 -14.867 -15.021 -14.961 -15.046 
