# t[days] u g r i z y J H K
0.20202 -10.997 -11.662 -9.803 -10.700 -7.262 -8.358 -5.341 -6.190 -4.084 
0.40404 -13.855 -14.953 -15.064 -14.796 -14.267 -13.440 -14.000 -13.523 -11.604 
0.60606 -14.855 -15.627 -16.021 -15.542 -15.265 -14.949 -14.107 -13.108 -14.087 
0.80808 -14.797 -15.947 -16.135 -15.845 -15.447 -15.192 -14.455 -13.919 -13.231 
1.01010 -14.662 -15.936 -16.297 -16.065 -15.443 -14.693 -14.879 -14.626 -14.751 
1.21212 -14.382 -15.973 -16.265 -16.151 -15.869 -15.148 -14.810 -14.968 -14.588 
1.41414 -14.216 -15.918 -16.345 -16.218 -15.901 -15.623 -15.111 -14.886 -14.162 
1.61616 -13.946 -15.867 -16.281 -16.021 -15.668 -15.733 -15.147 -15.105 -15.333 
1.81818 -13.354 -15.689 -16.254 -15.993 -15.797 -15.661 -15.192 -15.220 -14.596 
2.02020 -13.056 -15.367 -16.038 -16.033 -15.691 -15.636 -15.305 -15.309 -15.449 
2.22222 -12.601 -15.051 -15.917 -15.898 -15.672 -15.379 -15.178 -15.460 -15.153 
2.42424 -12.405 -14.729 -15.500 -15.640 -15.484 -15.310 -15.238 -15.314 -15.182 
2.62626 -11.918 -14.324 -15.227 -15.402 -15.122 -15.245 -14.887 -15.200 -15.082 
2.82828 -11.510 -14.106 -14.994 -15.066 -15.295 -15.063 -14.977 -15.000 -15.037 
3.03030 -11.396 -13.725 -14.657 -14.984 -14.986 -14.976 -14.950 -14.814 -14.856 
3.23232 -11.124 -13.331 -14.338 -14.742 -14.739 -14.726 -14.809 -14.966 -14.657 
3.43434 -11.120 -13.264 -14.143 -14.555 -14.614 -14.778 -14.647 -14.693 -14.842 
3.63636 -10.681 -12.914 -13.920 -14.344 -14.626 -14.594 -14.582 -14.571 -14.453 
3.83838 -10.441 -12.648 -13.574 -14.001 -14.538 -14.559 -14.692 -14.637 -14.803 
4.04040 -10.341 -12.481 -13.548 -14.072 -14.313 -14.546 -14.446 -14.600 -14.322 
4.24242 -10.064 -12.267 -13.338 -13.817 -14.373 -14.552 -14.474 -14.597 -14.555 
4.44444 -9.938 -12.004 -13.125 -13.937 -14.248 -14.384 -14.396 -14.400 -14.360 
4.64646 -9.794 -11.927 -13.056 -13.649 -14.086 -14.371 -14.283 -14.372 -14.390 
