# t[days] u g r i z y J H K
0.20202 -10.586 -9.899 -9.337 -9.537 -9.217 -8.958 -12.307 -6.573 -10.518 
0.40404 -12.585 -13.272 -13.852 -13.599 -13.870 -13.918 -13.510 -14.104 -10.972 
0.60606 -13.916 -14.375 -14.667 -15.108 -15.236 -14.981 -14.876 -13.491 -13.477 
0.80808 -13.409 -14.718 -15.202 -15.401 -15.475 -15.643 -15.022 -14.331 -14.128 
1.01010 -13.367 -14.540 -15.038 -15.583 -15.461 -15.620 -15.465 -15.203 -14.664 
1.21212 -11.928 -14.141 -15.246 -15.762 -15.768 -15.574 -15.727 -15.252 -14.682 
1.41414 -11.523 -14.436 -15.155 -15.646 -16.056 -15.846 -16.054 -15.230 -15.394 
1.61616 -10.770 -13.859 -14.910 -15.707 -15.764 -15.532 -15.713 -15.574 -15.807 
1.81818 -10.873 -13.460 -14.792 -15.551 -15.933 -16.050 -15.983 -15.980 -15.597 
2.02020 -11.119 -12.969 -14.418 -15.585 -15.967 -16.104 -16.127 -15.942 -15.904 
2.22222 -10.586 -12.823 -14.466 -15.423 -15.709 -15.888 -16.079 -15.946 -16.223 
2.42424 -10.895 -12.734 -14.129 -15.373 -15.873 -15.843 -16.136 -16.131 -15.953 
2.62626 -11.214 -12.362 -14.008 -15.137 -15.558 -15.947 -16.033 -16.249 -15.920 
2.82828 -11.307 -12.265 -13.755 -14.790 -15.702 -15.728 -15.997 -15.921 -15.777 
3.03030 -11.322 -12.071 -13.600 -14.738 -15.486 -15.724 -16.027 -16.045 -16.265 
3.23232 -11.301 -12.005 -13.442 -14.648 -15.416 -15.698 -15.847 -15.967 -16.034 
3.43434 -11.191 -11.829 -13.251 -14.382 -15.283 -15.709 -15.929 -15.905 -15.864 
3.63636 -11.162 -11.636 -12.966 -14.305 -15.244 -15.411 -15.678 -15.837 -15.817 
3.83838 -10.935 -11.632 -12.921 -14.173 -15.165 -15.400 -15.477 -15.666 -15.842 
4.04040 -10.795 -11.364 -12.767 -14.035 -14.872 -15.303 -15.413 -15.520 -15.750 
4.24242 -10.633 -11.338 -12.631 -14.059 -14.832 -15.195 -15.329 -15.584 -15.559 
4.44444 -10.492 -11.205 -12.557 -13.875 -14.674 -15.153 -15.192 -15.467 -15.469 
4.64646 -10.340 -11.097 -12.439 -13.849 -14.781 -14.988 -15.189 -15.468 -15.630 
4.84848 -10.352 -11.003 -12.560 -13.848 -14.642 -14.950 -15.123 -15.523 -15.505 
5.05051 -10.081 -11.006 -12.497 -13.776 -14.596 -14.913 -15.104 -15.234 -15.412 
5.25253 -9.883 -10.936 -12.211 -13.657 -14.497 -14.796 -15.122 -15.153 -15.201 
5.45455 -9.790 -10.920 -12.346 -13.477 -14.312 -14.778 -14.850 -15.061 -15.288 
5.65657 -9.596 -10.600 -12.050 -13.392 -14.295 -14.622 -14.756 -14.884 -15.233 
5.85859 -9.456 -10.630 -12.108 -13.326 -14.206 -14.567 -14.820 -14.929 -15.206 
6.06061 -9.378 -10.736 -12.239 -13.278 -14.092 -14.455 -14.575 -14.704 -14.771 
6.26263 -9.181 -10.714 -11.975 -13.146 -14.015 -14.325 -14.604 -14.806 -15.053 
6.46465 -9.061 -10.508 -11.890 -13.084 -14.078 -14.449 -14.517 -14.701 -14.781 
6.66667 -8.883 -10.453 -11.772 -13.101 -13.928 -14.276 -14.387 -14.677 -14.823 
6.86869 -8.780 -10.320 -11.762 -13.113 -13.818 -14.180 -14.415 -14.418 -14.797 
7.07071 -8.820 -10.498 -11.815 -13.060 -13.788 -14.184 -14.272 -14.491 -14.587 
7.27273 -8.549 -10.575 -11.825 -12.930 -13.710 -14.150 -14.235 -14.313 -14.430 
7.47475 -8.450 -10.160 -11.642 -12.898 -13.693 -14.107 -14.201 -14.315 -14.381 
7.67677 -8.331 -9.958 -11.620 -12.810 -13.634 -13.995 -14.136 -14.219 -14.402 
7.87879 -8.274 -9.984 -11.463 -12.766 -13.584 -13.995 -14.157 -14.174 -14.516 
8.08081 -8.086 -9.925 -11.448 -12.626 -13.622 -13.819 -14.067 -14.186 -14.399 
8.28283 -7.916 -9.744 -11.356 -12.632 -13.506 -13.899 -13.977 -14.092 -14.037 
8.48485 -7.723 -9.780 -11.311 -12.554 -13.437 -13.887 -13.911 -13.956 -14.075 
8.68687 -7.652 -9.632 -11.330 -12.593 -13.349 -13.743 -13.907 -13.995 -14.134 
8.88889 -7.520 -9.583 -11.189 -12.427 -13.330 -13.733 -13.853 -14.009 -14.059 
9.09091 -7.432 -9.627 -11.157 -12.427 -13.153 -13.601 -13.868 -13.866 -14.002 
9.29293 -7.399 -9.414 -11.196 -12.386 -13.187 -13.718 -13.835 -13.814 -13.844 
9.49495 -7.119 -9.528 -11.137 -12.350 -13.161 -13.560 -13.690 -13.846 -13.984 
9.69697 -7.086 -9.334 -10.926 -12.295 -13.058 -13.449 -13.728 -13.825 -13.769 
9.89899 -7.141 -9.347 -10.909 -12.193 -13.098 -13.361 -13.672 -13.812 -13.862 
10.10101 -6.844 -9.074 -10.800 -12.166 -12.996 -13.332 -13.634 -13.676 -13.749 
10.30303 -6.631 -8.882 -10.786 -12.021 -12.827 -13.283 -13.533 -13.633 -13.736 
10.50505 -6.497 -8.849 -10.755 -12.065 -12.922 -13.287 -13.480 -13.576 -13.745 
10.70707 -6.309 -8.666 -10.515 -11.870 -12.767 -13.171 -13.454 -13.557 -13.603 
10.90909 -6.188 -8.625 -10.445 -11.889 -12.696 -13.248 -13.417 -13.633 -13.469 
11.11111 -6.047 -8.473 -10.519 -11.754 -12.671 -13.192 -13.329 -13.462 -13.538 
11.31313 -5.857 -8.427 -10.314 -11.843 -12.618 -13.052 -13.386 -13.553 -13.332 
11.51515 -5.653 -8.209 -10.321 -11.761 -12.487 -13.049 -13.279 -13.357 -13.515 
11.71717 -5.632 -8.317 -10.210 -11.710 -12.505 -12.956 -13.206 -13.293 -13.381 
11.91919 -5.444 -8.234 -10.043 -11.436 -12.349 -12.833 -13.201 -13.322 -13.436 
12.12121 -5.546 -7.922 -9.936 -11.412 -12.408 -12.922 -13.066 -13.323 -13.429 
12.32323 -5.237 -7.754 -9.826 -11.274 -12.470 -12.682 -13.085 -13.166 -13.218 
