# t[days] u g r i z y J H K
0.20202 -11.595 -13.213 -13.053 -12.553 -12.397 -12.323 -9.038 4.399 nan 
0.40404 -13.829 -14.345 -14.262 -13.878 -14.017 -13.055 -12.445 -11.618 -1.966 
0.60606 -13.742 -14.685 -14.726 -14.194 -13.480 -13.606 -13.180 -13.265 -12.273 
0.80808 -13.563 -14.631 -14.627 -14.391 -13.809 -13.614 -13.661 -13.140 -13.024 
1.01010 -13.577 -14.852 -14.960 -14.702 -14.834 -14.691 -14.516 -14.099 -14.024 
1.21212 -13.390 -14.725 -15.030 -15.207 -15.169 -15.181 -14.907 -14.430 -14.539 
1.41414 -13.565 -14.789 -15.127 -15.192 -15.407 -15.493 -15.160 -14.762 -14.832 
1.61616 -13.250 -14.402 -14.875 -15.175 -15.423 -15.526 -15.281 -14.954 -14.808 
1.81818 -13.021 -14.266 -14.740 -15.137 -15.351 -15.478 -15.307 -14.973 -14.611 
2.02020 -12.536 -13.794 -14.408 -14.909 -15.288 -15.430 -15.292 -14.829 -14.671 
2.22222 -12.256 -13.491 -14.192 -14.741 -15.231 -15.349 -15.130 -14.894 -14.882 
2.42424 -12.344 -13.427 -14.117 -14.726 -15.134 -15.129 -15.036 -14.928 -14.669 
2.62626 -11.709 -13.021 -13.852 -14.532 -14.902 -15.068 -14.889 -14.756 -14.502 
2.82828 -11.756 -12.890 -13.643 -14.469 -14.891 -14.989 -14.843 -14.514 -14.375 
3.03030 -11.311 -12.569 -13.512 -14.288 -14.709 -14.950 -14.725 -14.468 -14.441 
3.23232 -11.232 -12.371 -13.419 -14.099 -14.591 -14.843 -14.619 -14.437 -14.231 
3.43434 -10.895 -12.329 -13.245 -14.044 -14.457 -14.612 -14.574 -14.268 -14.169 
3.63636 -10.660 -12.122 -13.066 -13.912 -14.340 -14.534 -14.383 -14.144 -13.934 
3.83838 -10.388 -11.900 -12.930 -13.678 -14.184 -14.419 -14.313 -14.082 -13.747 
4.04040 -10.157 -11.761 -12.793 -13.580 -14.095 -14.196 -14.088 -13.970 -13.684 
4.24242 -9.977 -11.475 -12.635 -13.365 -13.992 -14.169 -14.112 -13.742 -13.606 
4.44444 -9.784 -11.435 -12.610 -13.284 -13.767 -14.114 -13.963 -13.708 -13.579 
4.64646 -9.342 -11.162 -12.386 -13.180 -13.707 -13.950 -13.822 -13.570 -13.438 
4.84848 -9.160 -10.980 -12.271 -13.044 -13.600 -13.837 -13.740 -13.657 -13.227 
5.05051 -8.912 -10.866 -12.137 -12.980 -13.456 -13.590 -13.677 -13.452 -13.344 
5.25253 -8.406 -10.611 -11.955 -12.817 -13.382 -13.620 -13.495 -13.417 -13.206 
5.45455 -8.281 -10.377 -11.775 -12.647 -13.281 -13.506 -13.409 -13.293 -13.260 
5.65657 -7.974 -10.264 -11.719 -12.604 -13.197 -13.391 -13.365 -13.158 -12.937 
5.85859 -7.999 -10.163 -11.598 -12.497 -13.047 -13.305 -13.320 -13.190 -12.908 
6.06061 -7.493 -9.900 -11.434 -12.381 -12.953 -13.182 -13.188 -13.077 -12.871 
6.26263 -7.512 -9.847 -11.333 -12.337 -12.876 -13.119 -13.109 -13.035 -12.876 
6.46465 -7.180 -9.807 -11.245 -12.183 -12.746 -12.989 -13.058 -13.019 -12.786 
6.66667 -7.209 -9.409 -11.005 -12.036 -12.724 -12.951 -12.928 -12.889 -12.732 
6.86869 -6.396 -9.298 -10.918 -11.961 -12.543 -12.860 -12.980 -12.861 -12.652 
7.07071 -6.317 -9.017 -10.828 -11.832 -12.550 -12.800 -12.834 -12.779 -12.558 
7.27273 -6.170 -8.857 -10.692 -11.724 -12.388 -12.738 -12.762 -12.727 -12.629 
7.47475 -5.673 -8.887 -10.527 -11.662 -12.237 -12.542 -12.731 -12.642 -12.510 
7.67677 -5.158 -8.635 -10.372 -11.624 -12.255 -12.531 -12.713 -12.621 -12.524 
7.87879 -5.589 -8.403 -10.315 -11.521 -12.183 -12.503 -12.652 -12.582 -12.522 
8.08081 -5.317 -8.281 -10.142 -11.453 -12.168 -12.407 -12.598 -12.576 -12.474 
8.28283 -5.030 -8.185 -10.099 -11.358 -12.068 -12.364 -12.544 -12.565 -12.453 
8.48485 -4.168 -8.022 -10.014 -11.239 -11.939 -12.267 -12.459 -12.559 -12.399 
