# t[days] u g r i z y J H K
0.20202 -11.254 -11.742 -11.777 -12.136 -13.012 -12.723 -12.364 -11.914 -7.195 
0.40404 -12.760 -13.746 -14.100 -14.510 -14.054 -13.629 -13.649 -12.693 -12.022 
0.60606 -12.397 -13.781 -14.435 -14.780 -14.943 -14.620 -14.119 -13.449 -12.523 
0.80808 -11.214 -13.488 -14.473 -14.935 -15.077 -14.609 -14.318 -14.324 -14.218 
1.01010 -10.824 -13.077 -14.276 -15.128 -15.260 -15.267 -15.019 -14.670 -14.367 
1.21212 -10.799 -12.762 -14.350 -15.052 -15.556 -15.277 -15.287 -14.975 -15.174 
1.41414 -10.973 -12.844 -14.371 -15.185 -15.619 -15.599 -15.339 -15.268 -15.369 
1.61616 -10.938 -12.454 -14.271 -15.189 -15.532 -15.550 -15.560 -15.516 -15.196 
1.81818 -10.941 -12.358 -14.123 -15.139 -15.435 -15.572 -15.600 -15.502 -15.411 
2.02020 -10.786 -12.050 -13.870 -14.942 -15.411 -15.559 -15.392 -15.407 -15.299 
2.22222 -10.720 -11.954 -13.655 -14.689 -15.309 -15.413 -15.358 -15.299 -15.208 
2.42424 -10.497 -11.854 -13.533 -14.519 -15.050 -15.349 -15.151 -15.205 -15.253 
2.62626 -10.289 -11.822 -13.384 -14.401 -15.012 -15.191 -15.098 -15.030 -14.898 
2.82828 -10.209 -11.581 -13.143 -14.241 -14.865 -15.054 -15.011 -14.944 -15.073 
3.03030 -9.923 -11.473 -13.044 -14.039 -14.731 -14.929 -14.801 -14.858 -14.708 
3.23232 -9.906 -11.589 -12.917 -13.926 -14.622 -14.805 -14.703 -14.726 -14.687 
3.43434 -9.753 -11.410 -12.796 -13.799 -14.402 -14.573 -14.549 -14.608 -14.335 
3.63636 -9.470 -11.139 -12.639 -13.606 -14.268 -14.393 -14.441 -14.506 -14.386 
3.83838 -9.317 -11.196 -12.538 -13.520 -14.143 -14.344 -14.334 -14.310 -14.248 
4.04040 -9.388 -11.114 -12.530 -13.430 -14.003 -14.218 -14.172 -14.177 -14.152 
4.24242 -9.038 -11.029 -12.309 -13.320 -13.959 -14.117 -14.139 -14.015 -13.987 
4.44444 -8.857 -10.789 -12.072 -13.190 -13.786 -14.033 -14.006 -13.813 -13.861 
4.64646 -8.740 -10.782 -12.168 -13.053 -13.669 -13.911 -13.884 -13.743 -13.764 
4.84848 -8.531 -10.639 -12.011 -12.925 -13.488 -13.750 -13.730 -13.707 -13.561 
5.05051 -8.207 -10.544 -11.938 -12.883 -13.405 -13.728 -13.588 -13.521 -13.601 
5.25253 -7.966 -10.213 -11.707 -12.787 -13.374 -13.572 -13.520 -13.490 -13.446 
5.45455 -7.929 -10.181 -11.615 -12.661 -13.291 -13.494 -13.419 -13.271 -13.252 
5.65657 -7.468 -9.903 -11.381 -12.571 -13.112 -13.292 -13.302 -13.286 -13.186 
5.85859 -7.338 -9.753 -11.407 -12.410 -12.986 -13.276 -13.285 -13.200 -13.017 
6.06061 -7.044 -9.671 -11.242 -12.318 -12.868 -13.094 -13.174 -13.138 -12.902 
6.26263 -6.715 -9.396 -11.110 -12.207 -12.791 -13.075 -13.071 -12.962 -12.872 
6.46465 -6.833 -9.245 -11.041 -12.075 -12.736 -12.976 -12.896 -13.019 -12.813 
6.66667 -6.542 -9.202 -10.913 -12.047 -12.603 -12.875 -12.936 -12.855 -12.770 
6.86869 -6.072 -8.994 -10.716 -11.872 -12.520 -12.797 -12.877 -12.856 -12.736 
