# t[days] u g r i z y J H K
0.20202 -10.923 -10.762 -12.037 -13.253 -11.109 -9.766 -7.668 -6.238 -6.451 
0.40404 -13.387 -13.997 -13.845 -14.066 -13.794 -13.465 -12.962 -12.785 -12.701 
0.60606 -14.047 -14.478 -14.996 -15.325 -15.251 -14.983 -14.413 -14.527 -13.450 
0.80808 -13.691 -14.778 -15.260 -15.528 -15.504 -15.484 -15.335 -14.754 -14.228 
1.01010 -13.590 -14.828 -15.401 -15.822 -15.732 -15.595 -15.421 -15.278 -14.732 
1.21212 -13.145 -14.570 -15.341 -15.682 -15.828 -15.746 -15.631 -15.397 -14.853 
1.41414 -12.582 -14.188 -14.934 -15.537 -15.694 -15.764 -15.583 -15.276 -15.077 
1.61616 -11.980 -13.828 -14.811 -15.330 -15.573 -15.532 -15.499 -15.320 -15.145 
1.81818 -11.525 -13.462 -14.394 -15.101 -15.282 -15.370 -15.516 -15.258 -15.068 
2.02020 -11.227 -13.069 -14.068 -14.786 -15.144 -15.300 -15.283 -15.182 -14.946 
2.22222 -10.771 -12.448 -13.802 -14.555 -14.955 -15.078 -15.096 -15.104 -15.052 
2.42424 -10.370 -12.212 -13.530 -14.343 -14.689 -14.893 -14.990 -15.079 -15.019 
2.62626 -10.002 -11.762 -13.136 -14.063 -14.512 -14.796 -14.921 -14.837 -14.825 
2.82828 -9.843 -11.460 -12.772 -13.782 -14.244 -14.464 -14.787 -14.868 -14.888 
3.03030 -9.554 -11.230 -12.501 -13.513 -14.128 -14.326 -14.580 -14.734 -14.713 
3.23232 -9.297 -10.794 -12.313 -13.255 -13.934 -14.167 -14.429 -14.620 -14.708 
3.43434 -9.044 -10.490 -11.961 -13.043 -13.767 -14.096 -14.403 -14.515 -14.616 
3.63636 -8.824 -10.229 -11.812 -12.932 -13.639 -13.948 -14.172 -14.556 -14.546 
3.83838 -8.586 -10.163 -11.447 -12.792 -13.542 -13.871 -14.112 -14.348 -14.604 
4.04040 -8.425 -9.695 -11.276 -12.479 -13.368 -13.734 -14.028 -14.284 -14.436 
4.24242 -8.143 -9.505 -11.178 -12.432 -13.275 -13.558 -13.969 -14.214 -14.265 
4.44444 -7.916 -9.264 -11.014 -12.269 -13.145 -13.479 -13.857 -14.131 -14.379 
4.64646 -7.684 -9.198 -10.673 -12.189 -12.962 -13.413 -13.659 -14.050 -14.250 
4.84848 -7.408 -8.834 -10.549 -12.121 -12.854 -13.240 -13.617 -13.978 -14.138 
5.05051 -7.168 -8.774 -10.375 -11.863 -12.786 -13.139 -13.465 -13.836 -14.098 
5.25253 -6.961 -8.493 -10.326 -11.734 -12.627 -12.986 -13.430 -13.800 -13.904 
5.45455 -6.719 -8.200 -9.950 -11.580 -12.544 -12.882 -13.267 -13.674 -14.002 
5.65657 -6.511 -8.104 -9.932 -11.363 -12.414 -12.785 -13.238 -13.672 -13.771 
5.85859 -6.299 -8.068 -9.855 -11.374 -12.271 -12.687 -13.146 -13.533 -13.808 
6.06061 -6.022 -7.658 -9.670 -11.153 -12.225 -12.606 -12.980 -13.422 -13.673 
6.26263 -5.842 -7.602 -9.417 -11.065 -12.113 -12.449 -12.930 -13.221 -13.555 
6.46465 -5.620 -7.377 -9.384 -11.002 -11.886 -12.324 -12.736 -13.247 -13.608 
6.66667 -5.411 -7.133 -9.360 -10.972 -11.832 -12.276 -12.692 -13.165 -13.468 
6.86869 -5.167 -6.945 -9.073 -10.829 -11.818 -12.184 -12.615 -13.058 -13.384 
7.07071 -4.917 -6.908 -9.077 -10.666 -11.685 -12.080 -12.562 -12.946 -13.368 
7.27273 -4.746 -6.803 -8.908 -10.667 -11.567 -12.126 -12.382 -12.921 -13.170 
7.47475 -4.487 -6.505 -8.813 -10.519 -11.489 -11.996 -12.343 -12.792 -13.239 
7.67677 -4.299 -6.376 -8.719 -10.352 -11.421 -11.838 -12.278 -12.711 -13.160 
7.87879 -4.117 -6.253 -8.505 -10.370 -11.315 -11.769 -12.198 -12.679 -13.060 
8.08081 -4.019 -6.148 -8.466 -10.229 -11.291 -11.803 -12.112 -12.559 -12.999 
8.28283 -3.681 -5.796 -8.411 -10.248 -11.197 -11.623 -12.077 -12.573 -12.902 
8.48485 -3.627 -6.001 -8.328 -10.117 -11.140 -11.556 -12.022 -12.415 -12.841 
8.68687 -3.574 -5.834 -8.131 -9.948 -11.010 -11.513 -11.925 -12.366 -12.818 
8.88889 -3.217 -5.773 -8.110 -9.950 -11.044 -11.413 -11.933 -12.340 -12.726 
9.09091 -3.096 -5.490 -8.124 -9.922 -11.014 -11.413 -11.855 -12.349 -12.682 
9.29293 -3.224 -6.198 -8.061 -9.850 -10.935 -11.437 -11.746 -12.220 -12.664 
9.49495 -2.757 -5.172 -7.860 -9.731 -10.839 -11.263 -11.719 -12.178 -12.600 
9.69697 -2.743 -5.192 -7.825 -9.775 -10.774 -11.265 -11.782 -12.196 -12.482 
9.89899 -2.535 -5.066 -7.679 -9.667 -10.695 -11.226 -11.660 -12.116 -12.491 
10.10101 -2.524 -4.832 -7.647 -9.605 -10.713 -11.168 -11.618 -12.052 -12.406 
10.30303 -2.293 -4.662 -7.586 -9.579 -10.676 -11.148 -11.640 -12.037 -12.390 
10.50505 -2.451 -4.555 -7.632 -9.458 -10.565 -11.064 -11.555 -11.991 -12.335 
10.70707 -1.952 -4.440 -7.387 -9.443 -10.549 -11.037 -11.515 -11.972 -12.328 
10.90909 -2.047 -4.503 -7.326 -9.363 -10.522 -11.016 -11.450 -11.994 -12.249 
11.11111 -1.651 -4.436 -7.184 -9.290 -10.442 -10.937 -11.429 -11.907 -12.299 
11.31313 -1.485 -4.674 -7.151 -9.197 -10.378 -10.896 -11.379 -11.857 -12.198 
11.51515 -1.250 -4.242 -7.089 -9.229 -10.321 -10.843 -11.355 -11.845 -12.152 
11.71717 -1.192 -4.094 -7.077 -9.147 -10.264 -10.795 -11.303 -11.739 -12.117 
