# t[days] u g r i z y J H K
0.20202 -10.647 -10.417 -9.775 -9.003 -8.488 -8.151 -8.567 -6.622 -12.311 
0.40404 -13.487 -13.156 -14.026 -13.840 -13.824 -12.347 -11.962 -12.848 -9.538 
0.60606 -13.723 -14.449 -14.427 -15.102 -15.093 -15.180 -14.411 -13.815 -14.281 
0.80808 -13.969 -14.803 -15.514 -15.706 -15.805 -15.851 -15.424 -15.410 -14.474 
1.01010 -14.349 -14.988 -15.567 -15.937 -16.060 -16.231 -15.931 -15.071 -15.175 
1.21212 -13.634 -14.868 -15.620 -16.230 -16.135 -16.426 -15.871 -15.918 -15.220 
1.41414 -13.295 -14.680 -15.616 -16.025 -16.317 -16.335 -16.336 -16.093 -15.700 
1.61616 -12.505 -14.054 -15.410 -16.246 -16.440 -16.412 -16.387 -16.374 -16.132 
1.81818 -11.691 -13.834 -15.141 -15.993 -16.337 -16.321 -16.541 -16.371 -16.285 
2.02020 -11.643 -13.367 -14.955 -15.912 -16.272 -16.245 -16.472 -16.455 -16.115 
2.22222 -11.260 -12.920 -14.545 -15.609 -16.204 -16.242 -16.485 -16.400 -16.136 
2.42424 -11.335 -12.687 -14.199 -15.450 -15.909 -16.159 -16.337 -16.304 -16.320 
2.62626 -11.290 -12.341 -13.960 -15.156 -15.927 -16.201 -16.275 -16.330 -16.110 
2.82828 -11.282 -12.006 -13.578 -15.078 -15.738 -15.851 -16.078 -16.304 -16.269 
3.03030 -11.232 -12.282 -13.284 -14.804 -15.476 -15.623 -16.108 -16.315 -16.110 
3.23232 -11.158 -11.827 -13.013 -14.535 -15.178 -15.592 -15.997 -16.076 -16.101 
3.43434 -11.035 -11.535 -13.024 -14.288 -14.957 -15.288 -15.744 -16.076 -15.983 
3.63636 -10.911 -11.490 -12.636 -14.097 -14.961 -15.274 -15.591 -15.941 -16.110 
3.83838 -10.789 -11.356 -12.483 -13.919 -14.850 -15.157 -15.610 -15.922 -16.052 
4.04040 -10.659 -11.141 -12.225 -13.779 -14.629 -14.927 -15.465 -15.825 -15.979 
4.24242 -10.525 -11.018 -11.809 -13.539 -14.628 -14.839 -15.227 -15.661 -16.081 
4.44444 -10.411 -10.841 -11.790 -13.353 -14.266 -14.672 -15.184 -15.650 -15.795 
4.64646 -10.267 -10.922 -11.702 -13.213 -14.181 -14.587 -15.190 -15.675 -15.796 
4.84848 -10.124 -10.630 -11.506 -13.102 -13.958 -14.494 -15.109 -15.536 -15.683 
5.05051 -9.995 -10.551 -11.292 -13.174 -14.074 -14.360 -15.040 -15.481 -15.837 
5.25253 -9.844 -10.473 -11.023 -12.831 -13.904 -14.298 -14.927 -15.300 -15.597 
5.45455 -9.702 -10.326 -10.978 -12.521 -13.674 -14.225 -14.752 -15.381 -15.532 
