# t[days] u g r i z y J H K
0.20202 -10.851 -11.442 -11.918 -10.651 -11.846 -12.200 -9.181 -8.599 -7.666 
0.40404 -13.994 -14.726 -14.364 -14.235 -14.459 -13.879 -13.651 -12.459 -10.256 
0.60606 -14.073 -15.116 -15.605 -15.570 -15.107 -15.133 -14.957 -14.457 -13.733 
0.80808 -14.234 -15.232 -15.822 -16.157 -15.911 -15.732 -15.635 -14.843 -15.025 
1.01010 -14.124 -15.602 -15.871 -16.068 -16.114 -15.780 -15.649 -15.274 -15.241 
1.21212 -13.707 -15.300 -15.753 -15.769 -16.033 -16.190 -15.948 -15.732 -15.446 
1.41414 -13.088 -15.191 -15.837 -15.918 -16.064 -16.063 -15.923 -16.047 -15.777 
1.61616 -13.054 -14.750 -15.488 -15.903 -16.168 -16.187 -16.031 -15.952 -15.650 
1.81818 -12.444 -14.676 -15.601 -15.824 -16.116 -16.096 -16.183 -16.132 -16.064 
2.02020 -12.587 -14.673 -15.348 -15.904 -16.334 -16.312 -16.176 -16.024 -16.230 
2.22222 -12.047 -14.415 -15.400 -15.785 -16.327 -16.315 -16.265 -16.467 -16.352 
2.42424 -12.320 -14.155 -14.999 -15.717 -16.075 -16.286 -16.423 -16.275 -16.008 
2.62626 -12.316 -14.230 -14.999 -15.653 -15.969 -16.286 -16.195 -16.422 -16.174 
2.82828 -12.366 -14.069 -14.865 -15.485 -15.873 -16.146 -16.258 -16.188 -16.082 
3.03030 -11.848 -13.559 -14.515 -15.299 -15.696 -16.101 -16.191 -16.149 -16.225 
3.23232 -11.726 -13.294 -14.273 -15.182 -15.724 -15.933 -16.015 -15.984 -16.268 
3.43434 -11.516 -13.050 -14.083 -14.908 -15.517 -15.765 -15.834 -16.047 -16.026 
3.63636 -11.328 -12.722 -13.793 -14.771 -15.351 -15.482 -15.786 -16.025 -15.857 
3.83838 -11.249 -12.769 -13.691 -14.595 -15.243 -15.636 -15.732 -15.871 -15.842 
4.04040 -10.844 -12.408 -13.620 -14.501 -15.109 -15.450 -15.630 -15.687 -15.888 
4.24242 -10.979 -12.344 -13.536 -14.428 -15.089 -15.457 -15.598 -15.543 -15.762 
4.44444 -10.636 -12.133 -13.289 -14.345 -14.924 -15.274 -15.352 -15.442 -15.475 
4.64646 -10.737 -12.006 -13.117 -14.194 -14.869 -15.203 -15.275 -15.364 -15.498 
4.84848 -10.667 -11.881 -12.998 -14.037 -14.761 -15.016 -15.296 -15.285 -15.572 
5.05051 -10.213 -11.921 -13.009 -13.964 -14.635 -14.939 -14.989 -15.312 -15.429 
5.25253 -10.283 -11.894 -12.959 -13.914 -14.587 -14.908 -14.980 -15.084 -15.132 
5.45455 -10.545 -11.746 -12.925 -13.735 -14.401 -14.771 -14.898 -15.179 -15.288 
5.65657 -9.808 -11.690 -12.866 -13.836 -14.456 -14.719 -14.854 -15.117 -15.035 
5.85859 -9.739 -11.555 -12.644 -13.569 -14.276 -14.699 -14.685 -14.907 -15.243 
6.06061 -9.392 -11.136 -12.445 -13.456 -14.208 -14.496 -14.715 -14.815 -14.791 
6.26263 -9.295 -11.099 -12.426 -13.478 -14.072 -14.433 -14.634 -14.770 -14.998 
6.46465 -9.261 -10.867 -12.459 -13.260 -14.104 -14.385 -14.562 -14.526 -14.814 
6.66667 -9.459 -10.876 -12.479 -13.265 -14.029 -14.294 -14.459 -14.680 -14.723 
6.86869 -9.003 -11.016 -12.378 -13.372 -13.942 -14.158 -14.426 -14.543 -14.686 
7.07071 -8.814 -10.768 -12.149 -13.113 -13.895 -14.206 -14.454 -14.430 -14.772 
7.27273 -8.748 -10.811 -11.885 -13.107 -13.885 -14.052 -14.287 -14.374 -14.519 
7.47475 -8.563 -10.814 -11.927 -12.923 -13.663 -14.205 -14.275 -14.238 -14.463 
7.67677 -8.494 -10.380 -11.847 -12.977 -13.658 -14.017 -14.049 -14.229 -14.422 
7.87879 -8.162 -10.305 -11.727 -12.868 -13.537 -13.862 -14.033 -14.209 -14.308 
8.08081 -8.050 -10.142 -11.770 -12.788 -13.485 -13.930 -14.027 -14.174 -14.303 
8.28283 -8.238 -10.580 -11.764 -12.730 -13.483 -13.837 -13.933 -14.126 -14.103 
8.48485 -7.783 -10.134 -11.602 -12.623 -13.303 -13.726 -13.918 -14.018 -14.196 
8.68687 -7.715 -10.200 -11.434 -12.572 -13.422 -13.609 -13.783 -13.935 -14.025 
8.88889 -7.400 -9.772 -11.381 -12.424 -13.308 -13.696 -13.785 -13.907 -13.980 
9.09091 -7.226 -9.748 -11.205 -12.372 -13.102 -13.473 -13.716 -13.808 -13.747 
9.29293 -6.926 -9.558 -11.105 -12.418 -13.110 -13.531 -13.684 -13.758 -13.865 
9.49495 -6.831 -9.322 -11.055 -12.245 -13.008 -13.403 -13.635 -13.682 -13.956 
9.69697 -6.711 -9.504 -11.045 -12.237 -13.128 -13.450 -13.537 -13.705 -13.884 
9.89899 -6.788 -9.117 -11.005 -12.296 -12.970 -13.431 -13.571 -13.760 -13.659 
10.10101 -6.593 -9.127 -10.876 -12.059 -12.888 -13.324 -13.564 -13.623 -13.587 
10.30303 -6.149 -8.935 -10.686 -11.977 -12.813 -13.126 -13.485 -13.528 -13.637 
10.50505 -6.205 -8.832 -10.614 -11.936 -12.715 -13.195 -13.416 -13.469 -13.517 
10.70707 -5.946 -8.805 -10.622 -11.788 -12.702 -13.045 -13.333 -13.453 -13.702 
10.90909 -5.693 -8.518 -10.371 -11.725 -12.541 -13.061 -13.328 -13.404 -13.384 
11.11111 -5.502 -8.418 -10.342 -11.644 -12.519 -12.989 -13.188 -13.330 -13.280 
11.31313 -5.754 -8.229 -10.264 -11.612 -12.448 -12.983 -13.173 -13.278 -13.273 
11.51515 -5.278 -8.133 -10.178 -11.463 -12.452 -12.941 -13.110 -13.287 -13.406 
11.71717 -5.243 -8.021 -9.919 -11.395 -12.375 -12.910 -13.096 -13.218 -13.271 
11.91919 -5.048 -8.058 -10.027 -11.423 -12.294 -12.828 -13.063 -13.232 -13.256 
12.12121 -4.631 -7.682 -9.772 -11.338 -12.140 -12.639 -12.981 -13.117 -13.154 
12.32323 -4.775 -7.580 -9.645 -11.224 -12.113 -12.594 -13.027 -13.155 -13.114 
12.52525 -4.475 -7.442 -9.610 -11.127 -12.049 -12.568 -12.871 -13.149 -13.173 
12.72727 -4.417 -7.402 -9.466 -10.980 -11.968 -12.499 -12.882 -13.073 -13.078 
12.92929 -4.175 -7.089 -9.428 -11.023 -11.909 -12.487 -12.912 -13.103 -13.226 
13.13131 -4.040 -7.128 -9.508 -10.957 -11.854 -12.362 -12.816 -12.953 -13.053 
13.33333 -3.966 -6.980 -9.225 -10.932 -11.796 -12.369 -12.769 -12.970 -13.018 
13.53535 -3.848 -6.882 -9.184 -10.709 -11.703 -12.295 -12.743 -12.933 -12.942 
13.73737 -3.852 -6.803 -8.953 -10.691 -11.622 -12.238 -12.670 -12.988 -13.021 
13.93939 -3.849 -6.800 -9.074 -10.757 -11.673 -12.122 -12.658 -12.934 -12.953 
14.14141 -3.530 -6.718 -8.878 -10.480 -11.604 -12.071 -12.584 -12.876 -12.910 
14.34343 -3.421 -6.354 -8.845 -10.446 -11.443 -12.080 -12.516 -12.790 -12.885 
14.54545 -3.339 -6.477 -8.672 -10.388 -11.465 -11.976 -12.480 -12.853 -12.828 
14.74747 -3.203 -6.223 -8.560 -10.386 -11.520 -11.961 -12.446 -12.754 -12.770 
14.94949 -3.415 -5.733 -8.522 -10.259 -11.297 -11.919 -12.494 -12.803 -12.893 
15.15152 -2.973 -5.940 -8.501 -10.227 -11.305 -11.862 -12.431 -12.692 -12.764 
15.35354 -3.349 -5.833 -8.379 -10.172 -11.152 -11.800 -12.362 -12.690 -12.727 
